Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	4.295039e-26	3.066658e-23	0	0	2.427571e+00	1.417938e+02	RPL4;RPL3;TFRC;RPL31;RPL34;EIF4A3;HNRNPR;ENO1;RPL8;RPL9;RPL6;RRP8;RPL7;TIAL1;RPS16;RPL18A;SNRPD1;DHX57;RPL36;LUC7L;RPS12;SEC63;ABT1;DDX18;HLA-A;SND1;JMJD6;DYNC1LI1;SUB1;RPL27;RPL26;PFN1;RPL28;DUS3L;SLBP;PRKDC;PRKRIP1;RPN1;MRPL14;ZC3HAV1;TXN;AKAP17A;RPS4Y1;HTATSF1;MTDH;FXR1;DHX30;DHX36;RRS1;GAR1;DHX38;LTA4H;RBM12;LYAR;TRMT1L;BTF3;XRCC6;PRPF38B;PRPF38A;APOBEC3G;XRCC5;RDX;MRPL28;MAGOHB;EIF1;MANF;RPS26;BST2;CS;HNRNPM;RPS27;HNRNPK;LAS1L;RPL27A;HNRNPC;RPS24;MRPS14;RPLP0;NKAP;MRPL32;WDR43;MRPL41;TUBA1B;CSRP1;C1QBP;TMSB4X;DHX16;SEC61B;ANXA2;PRMT1;PABPC4;MRPS23;PPHLN1;GNL3;SLTM;HNRNPH1;ALDOA;RPL10;AKAP8;NOL8;EXOSC9;RPS3;RPL14;RPL13;RPL15;RPS2;RPS27A;RPL17;RAE1;RPL19;NQO1;NPM1;MDH2;CDKN2A;MCRS1;RRP1B;KTN1;NUDT21;XPOT;SERBP1;PKN2;SRP19;NUCKS1;MSI2;YARS2;CWC22;ZNF207;PNISR;PCID2;SUPT16H;RPS8;RPS6;RPSA;ZCRB1;ILF2;TUFM;SLFN11;RPL7L1;MRTO4;SNRPG;S100A4;SNRPF;PPIB;PPIA;FKBP3;KPNB1;SNRPA;DAP3;RPS19BP1;CORO1A;HSP90B1;HNRNPDL;UBC;BRIX1;NDUFV3;HSPA9;FDPS;CPSF4;UBE2I;PNPT1;CPSF6;FUS;NONO;TBCA;EIF2S1;CLK3;DIAPH1;YRDC;LSM7;EIF2S3;CAPRIN1;MKRN1;RSL24D1;DIDO1;RBM25;DDX3X;DDX46;HMGB2;ZC3H8;ADAR;HMGB1;YBX1;SYNE1;RPS4X;RBM3;MRPL4;RBM4;SUMO1;SNRNP70;UBTF;WDR6;LRRFIP1;MRPL9;RBM34;EIF5B;RBM14;GLRX3;NCBP1;RPL13A;RPS3A;TRNAU1AP;REXO4;DDX19A;SFPQ;OAS3;RPL37A;MYH9;SNRPA1;EIF4E2;SLC25A5;DDX27;SLC3A2;JAKMIP1;ADD1;HSPD1;REPIN1;IFI16;PUF60;U2AF2;TRA2B;BMS1;RALY;ZNF622;HNRNPA1;DUT;GPKOW;DDX31;PDAP1;IMMT;DEK;SSRP1;HSPE1;P4HB;FAM98A;SSBP1;TPT1;RAN;EIF3B
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	3.279292e-09	1.170707e-06	0	0	2.674524e+00	5.224854e+01	DDX3X;YWHAB;RPL34;ENO1;RPL6;MPRIP;BSG;LRRFIP1;NCK1;UNC45A;USP8;NUDC;ANXA1;ANXA2;AHSA1;SND1;HCFC1;MYH9;PFN1;ALDOA;CHMP5;SLC3A2;IQGAP1;ZC3HAV1;NDRG1;ADD1;PSMB6;CNN2;DNAJB1;LDHA;PUF60;RPL14;CCT8;RPL15;RPS2;PDLIM5;ARGLU1;EPS15;S100A11;SNX5;HSPA5;RDX;KTN1;RAB11B;RPS26;EHD4;HNRNPK;EIF2S3;STK24;VAPA;CAPZA1;SERBP1;CHMP2B;CTNNB1;PKN2;FXYD5;RAN
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	2.201911e-05	5.240548e-03	0	0	4.152409e+00	4.452877e+01	NDUFA9;CYB5A;NDUFB7;NDUFA6;NDUFB10;NDUFA5;NDUFB5;NDUFA4;NDUFB3;UQCR10;COX6A1;CYB561D2;NDUFS6;UQCRQ;NDUFV3;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	2.318950e-04	3.311461e-02	0	0	4.529779e+00	3.791075e+01	NDUFA9;NDUFB7;NDUFA6;NDUFB10;NDUFA5;NDUFB5;NDUFA4;NDUFS6;NDUFB3;NDUFV3;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	2.318950e-04	3.311461e-02	0	0	4.529779e+00	3.791075e+01	NDUFA9;NDUFB7;NDUFA6;NDUFB10;NDUFA5;NDUFB5;NDUFA4;NDUFS6;NDUFB3;NDUFV3;NDUFV2
GO_Molecular_Function_2021	protein heterodimerization activity (GO:0046982)	8.943305e-04	1.064253e-01	0	0	2.185786e+00	1.534298e+01	TENM1;PHB;SRI;CD3E;PHB2;ADD1;FXR1;PPP2CA;SDCBP;PPP2R1A;MLX;PSMF1;FBXO7;MCL1;YWHAH;KRT10;VAPA;DDIT3;UBA3;BAX;TAF7;TCF3;P4HB;RAN;PAFAH1B1
GO_Molecular_Function_2021	oligosaccharyl transferase activity (GO:0004576)	1.264131e-03	1.289414e-01	0	0	1.805560e+01	1.204917e+02	RPN2;OSTC;ALG5;RPN1
GO_Molecular_Function_2021	ubiquitin binding (GO:0043130)	2.507272e-03	2.237740e-01	0	0	2.565119e+00	1.536137e+01	UBXN1;UBXN2A;ADRM1;CXCR4;UBE2L6;RAD23A;CKS1B;RNF168;NSFL1C;CKS2;MVB12A;BUB3;FBXO7;RAE1;OTUB1
GO_Molecular_Function_2021	MHC protein binding (GO:0042287)	3.240227e-03	2.395212e-01	0	0	4.519428e+00	2.590587e+01	LAG3;CD8B;CD81;FCRL6;CD8A;PILRB;HLA-E
GO_Molecular_Function_2021	single-stranded DNA binding (GO:0003697)	3.528545e-03	2.395212e-01	0	0	2.300448e+00	1.299033e+01	HMGB2;NUCKS1;RAD23A;HMGB1;MLH1;REXO4;HSPD1;RAD51B;ERCC4;POLR3C;SUB1;RPA3;DHX36;NABP2;POLR2H;SSBP1;HNRNPA1
