Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	1.344455e-36	9.263295e-34	0	0	2.820873e+00	2.329958e+02	RPL4;EIF4A2;RPL5;POP5;RPL30;RPL3;RPL32;RPL31;RPL34;PPAN;HNRNPR;THUMPD1;RPL8;RPL9;RPL6;RPL7;CCAR1;RPS15;TIAL1;RPS14;PNN;RPS16;RPS19;RPL18A;SNRPD2;RPS18;RPL36;RPL35;RPL38;RPL37;RPS10;RPL39;RPS13;RPS12;EIF2A;DDX18;MBNL1;RPL21;RPL23;ACTN1;SECISBP2;RPL22;CIRBP;DNTTIP2;HLA-A;DDX39B;RPL24;RPL27;RPL26;RPL29;RPL28;DUS3L;SF1;MACF1;DHX9;ZC3HAV1;TXN;RPS4Y1;HTATSF1;HNRNPLL;SAMSN1;GSPT1;RRS1;GAR1;SPTBN1;BTF3;JUN;RPL41;XRCC6;PRPF38B;PA2G4;RPS26;AIMP1;RPS25;RPS28;RPS27;RPL27A;HNRNPF;MPHOSPH10;RPS20;DCP1A;RPS21;RPS24;RPS23;RPLP0;C1QBP;ANXA7;CCT3;PRMT1;PABPC4;MRPS21;PPHLN1;NUDT16L1;SRP9;NSA2;CSDE1;RPUSD2;TCP1;STRAP;ARHGEF1;PABPC1;HNRNPH3;MAPRE1;RPL10;RNMT;RPL12;NIP7;RPL11;MRPS31;RPS27L;MRPS30;BCLAF1;RPS15A;SRP72;RPS3;RPL14;RPL13;RPS2;RPL15;RPS27A;RPL18;RPL17;SF3B1;SRSF11;RPL19;CCT4;SF3A3;NPM1;YTHDF2;TRMT10C;SF3A2;STAT3;RSRC2;RRP1B;SRP68;NPM3;RSL1D1;NUDT21;CMSS1;XPOT;PRKRA;APEX1;SERBP1;PRPF31;FAU;SRP19;PEBP1;NUCKS1;RPL10A;FBL;PPP1CC;PNISR;RPS9;PCID2;RPS7;RPS8;DIMT1;EIF1AX;RPS5;RPS6;NOSIP;ANXA11;RPSA;EEF1A1;PRPF6;HNRNPUL1;MRTO4;SBDS;NHP2;MATR3;SRSF5;SNRPF;PPIG;SRSF7;DAP3;KHDRBS1;DDX5;MAZ;ZFP36L2;HNRNPDL;TPR;G3BP1;G3BP2;BRIX1;ZC3H15;HSPA8;FUS;API5;TBCA;EEF2;LSM5;EIF2S2;YRDC;SON;EIF2S3;RCAN3;UBE2N;LSM14A;EIF4G2;DDX3Y;HSP90AB1;CELF2;PSIP1;HSPB1;ZC3H8;HMGB1;CHD3;CHD2;MTO1;DUSP14;RPS4X;DUSP11;RPL7A;RBM4;MRPL3;MRPL1;WDR6;MRPL9;HSP90AA1;NCBP2;DDX58;RPL13A;RPS3A;YWHAZ;DDX19A;NEMF;RPL37A;RBMS1;DDX24;USP10;SRSF1;RPL36A;SLC3A2;HSPD1;TBRG4;HNRNPA1;EIF4B;HNRNPA0;PTCD3;NOP56;RBM39;NOP58;DUT;SSB;CNBP;RPL35A;RPL23A;NAP1L1;HSPE1;NAP1L4;EIF3L;EIF3H;EIF3E;CEBPZ;SSBP1;VIM;NAA15;RBMX;EIF3D;TPT1;RAN;METAP2;TNRC6B
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	3.320191e-09	1.143806e-06	0	0	2.933675e+00	5.727485e+01	RPL5;CELF2;HNRNPR;RPL7;RPS14;RBM4;C1QBP;RPL35;RPS13;EIF2A;RPS7;NCBP2;SECISBP2;PABPC4;RPS5;CIRBP;RPL13A;RPS3A;RBMS1;RPL26;PABPC1;SRSF5;SF1;KHDRBS1;DDX5;DHX9;SRSF1;HNRNPLL;G3BP1;TPR;RPS3;G3BP2;RPS2;SF3B1;HNRNPA0;RPL41;YTHDF2;SSB;CNBP;EIF2S2;RPS26;NUDT21;RSL1D1;SERBP1;DCP1A;LSM14A;EIF3D;RBMX;EIF4G2
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	1.504241e-07	3.454739e-05	0	0	2.429152e+00	3.816150e+01	ITGB1;HSP90AB1;DOCK9;RPL34;RPL6;RPL7A;MPRIP;EMD;SPTAN1;TBC1D10A;EIF2A;LYPLA2;ANXA1;YWHAZ;EEF1G;EEF1D;RPL24;ITGA6;RPL29;CD46;MAPRE1;MACF1;TXNDC9;SLC3A2;ZC3HAV1;CORO1B;CNN2;DNAJB1;RPL14;EPS8L2;RPL15;RPS2;SPTBN1;ZC3H15;NOP56;HSPA8;STAT1;RPL23A;EEF2;PAICS;EHD1;RPS26;RSL1D1;DLG1;EIF2S3;GIPC1;GLOD4;SERBP1;EIF3E;FXYD5;EIF4G2;PFKP;RAN
GO_Molecular_Function_2021	rRNA binding (GO:0019843)	2.400145e-07	4.134249e-05	0	0	6.613083e+00	1.008004e+02	PTCD3;RPL5;RPS9;RPL12;RPL23;RPS5;RPL11;RPLP0;PPAN;CIRBP;GTF3A;RPS14;RPS3;RRS1;SBDS;RPS13
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	7.187867e-07	9.904880e-05	0	0	6.333871e+01	8.959705e+02	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	2.953361e-06	3.391443e-04	0	0	3.166679e+01	4.031995e+02	RPS15;RPL5;RPS7;RPL23;RPL11;RPS20;RPL37
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	2.874194e-04	2.829028e-02	0	0	3.026096e+00	2.467650e+01	RPL5;DDX5;RPL41;RPS7;CELF2;PABPC4;SECISBP2;CIRBP;ZFP36L2;RBM4;NUDT21;RSL1D1;EXOSC8;SERBP1;RBMS1;PABPC1;HNRNPA0
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	9.030561e-04	7.777570e-02	0	0	3.689434e+00	2.586192e+01	EIF4A2;EIF2S3;EIF3L;EIF3H;EIF2D;EIF3E;EIF3F;EIF2S2;EIF3D;EIF4G2;EIF2A
GO_Molecular_Function_2021	mRNA 5'-UTR binding (GO:0048027)	1.213372e-03	9.289033e-02	0	0	4.823869e+00	3.238916e+01	RPL5;RPS14;RSL1D1;RPL41;RPS7;RPS3A;RPL26;RPS13
GO_Molecular_Function_2021	phosphatase binding (GO:0019902)	3.110274e-03	2.035049e-01	0	0	2.209784e+00	1.275718e+01	CDKN1B;MVP;STAT3;NFATC2;RPA2;PIK3R1;SH3YL1;DLG1;CNST;KIF3A;LCK;RCAN3;TERF2IP;ANAPC5;IKBKE;JAK3;SFI1;SKAP1;MAPK3
