Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	2.801531e-19	1.127336e-15	0	0	3.204750e+00	1.369036e+02	FCN1;SRP14;PYCARD;PSMD7;FTH1;PSMD3;C3AR1;PSMD1;SIRPA;CAPN1;OSTF1;GOLGA7;CD93;SLC11A1;ATP11B;CYBA;RNASE2;S100A9;KPNB1;S100A8;FTL;CFD;BRI3;FPR1;A1BG;PRDX4;RAP1A;ALDH3B1;PSAP;NEU1;S100A12;MLEC;NCKAP1L;CD14;S100A11;ATP6V0A1;GSDMD;SIGLEC14;RAB27A;LYZ;EEF2;PRDX6;DERA;BST1;DIAPH1;NIT2;ARHGAP9;GPI;CTSZ;CTSS;ALAD;HEBP2;GM2A;ITGAX;CTSH;RAC1;SPTAN1;CTSC;CAP1;CCT2;HGSNAT;SERPINB1;MANBA;ANXA2;APAF1;DYNLT1;RNASET2;RHOG;PLAUR;NDUFC2;KCNAB2;DDOST;RHOA;SERPINB6;PSMA5;DNAJC3;FGR;NPC2;PAFAH1B2;DNASE1L1;CD63;ASAH1;GRN;GSTP1;MOSPD2;AGPAT2;CST3;ALOX5;RAB24;GCA;CMTM6;PDAP1;LILRB3;CPPED1;IMPDH1;QPCT;PSMC2;RAB18;LAMTOR2;FOLR3;ACTR10;SIGLEC5
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	5.995535e-19	1.206302e-15	0	0	3.161807e+00	1.326634e+02	FCN1;SRP14;PYCARD;PSMD7;FTH1;PSMD3;C3AR1;PSMD1;SIRPA;CAPN1;OSTF1;GOLGA7;CD93;SLC11A1;ATP11B;CYBA;RNASE2;S100A9;KPNB1;S100A8;FTL;CFD;BRI3;FPR1;A1BG;PRDX4;RAP1A;ALDH3B1;PSAP;NEU1;S100A12;MLEC;NCKAP1L;CD14;S100A11;ATP6V0A1;GSDMD;SIGLEC14;RAB27A;LYZ;EEF2;PRDX6;DERA;BST1;DIAPH1;NIT2;ARHGAP9;GPI;CTSZ;CTSS;ALAD;HEBP2;GM2A;ITGAX;CTSH;RAC1;SPTAN1;CTSC;CAP1;CCT2;HGSNAT;SERPINB1;MANBA;ANXA2;APAF1;DYNLT1;RNASET2;RHOG;PLAUR;NDUFC2;KCNAB2;DDOST;RHOA;SERPINB6;PSMA5;DNAJC3;FGR;NPC2;PAFAH1B2;DNASE1L1;CD63;ASAH1;GRN;GSTP1;MOSPD2;AGPAT2;CST3;ALOX5;RAB24;GCA;CMTM6;PDAP1;LILRB3;CPPED1;IMPDH1;QPCT;PSMC2;RAB18;LAMTOR2;FOLR3;ACTR10;SIGLEC5
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	1.051731e-18	1.410722e-15	0	0	3.130330e+00	1.295834e+02	FCN1;SRP14;PYCARD;PSMD7;FTH1;PSMD3;C3AR1;PSMD1;SIRPA;CAPN1;OSTF1;GOLGA7;CD93;SLC11A1;ATP11B;CYBA;RNASE2;S100A9;KPNB1;S100A8;FTL;CFD;BRI3;FPR1;A1BG;PRDX4;RAP1A;ALDH3B1;PSAP;NEU1;S100A12;MLEC;NCKAP1L;CD14;S100A11;ATP6V0A1;GSDMD;SIGLEC14;RAB27A;LYZ;EEF2;PRDX6;DERA;BST1;DIAPH1;NIT2;ARHGAP9;GPI;CTSZ;CTSS;ALAD;HEBP2;GM2A;ITGAX;CTSH;RAC1;SPTAN1;CTSC;CAP1;CCT2;HGSNAT;SERPINB1;MANBA;ANXA2;APAF1;DYNLT1;RNASET2;RHOG;PLAUR;NDUFC2;KCNAB2;DDOST;RHOA;SERPINB6;PSMA5;DNAJC3;FGR;NPC2;PAFAH1B2;DNASE1L1;CD63;ASAH1;GRN;GSTP1;MOSPD2;AGPAT2;CST3;ALOX5;RAB24;GCA;CMTM6;PDAP1;LILRB3;CPPED1;IMPDH1;QPCT;PSMC2;RAB18;LAMTOR2;FOLR3;ACTR10;SIGLEC5
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	4.470107e-15	4.496927e-12	0	0	6.369010e+00	2.104408e+02	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL11;RPL36A;SRP14;RPS4Y1;RPL6;RPL7;RPS4X;RPS14;SEC61A1;RPS16;RPL14;RPL13;RPS11;SEC62;RPL18;RPS27A;SIL1;RPS13;RPS9;RPL41;RPL23;SSR2;RPL22;RPL13A;RPL35A;RPL23A;RPS25;RPS27;RPL27;RPS20;RPS24
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	2.102322e-14	1.691949e-11	0	0	3.118404e+00	9.820837e+01	RPL4;RPL5;HBS1L;RPL3;RPL32;RPL31;RPL34;UBE2D2;RPLP0;MRPS12;ARAF;NAGPA;RPL6;MRPL32;RPL7;MRPL41;RPS4X;RPS14;LGALS1;RPS16;SERP1;CTSH;TIMP1;MRPL9;RPS11;RPS13;PSENEN;RPS9;MANBA;RPL23;RPL22;DHPS;MRPS18B;RPL13A;RABGGTB;MRPS6;PDIA6;DNAJC3;VCAN;MRPL51;RPL27;STOML2;RPN2;MRPS36;RPL11;RPL36A;DENND3;FURIN;NEDD8;RPS4Y1;MRPL11;APH1A;CST3;RPL14;RPL13;TMEM208;RPL18;RPS27A;RPL41;SIAH2;CCDC59;MRPL28;RPL35A;WWP2;RPL23A;UBE2G1;UBE2G2;RPS25;RPS27;TNIP1;UBE2S;QPCT;RPS20;P4HB;RPS24;MSRB1
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	2.817107e-14	1.889340e-11	0	0	6.085605e+00	1.898738e+02	RPL4;EIF4A1;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL11;RPL36A;RPL6;RPL7;RPS4X;RPS14;RPS16;RPL14;RPL13;RPS11;RPL18;RPS27A;RPS13;RWDD1;RPS9;RPL41;RPL23;RPL22;TMA7;RPL13A;RPL35A;RPL23A;RPS25;EIF3M;RPS27;RPL27;RPL22L1;RPS20;RPS24
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	3.714244e-14	2.135160e-11	0	0	4.576689e+00	1.415296e+02	RPL4;RPL5;HBS1L;RPL3;RPL32;RPL31;MRPS36;RPL34;MRPS12;RPLP0;RPL11;RPL36A;FURIN;RPS4Y1;RPL6;MRPL32;RPL7;MRPL11;MRPL41;RPS4X;RPS14;RPS16;RPL14;RPL13;MRPL9;RPS11;RPL18;RPS27A;RPS13;RPS9;RPL41;RPL23;RPL22;DHPS;MRPS18B;MRPL28;RPL13A;RPL35A;RPL23A;MRPS6;RPS25;RPS27;MRPL51;TNIP1;RPL27;RPS20;RPS24
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	5.162218e-14	2.596596e-11	0	0	6.136829e+00	1.877552e+02	RPL4;RPL5;RPL3;RPL32;RPL31;RPL34;RPLP0;RPL11;RPL36A;SRP14;RPS4Y1;RPL6;RPL7;RPS4X;RPS14;SEC61A1;RPS16;RPL14;RPL13;SEC61B;RPS11;RPL18;RPS27A;RPS13;RPS9;RPL41;RPL23;RPL22;RPL13A;RPL35A;RPL23A;RPS25;RPS27;RPL27;RPS20;RPS24
GO_Biological_Process_2021	translation (GO:0006412)	2.778197e-13	1.186318e-10	0	0	3.764194e+00	1.088296e+02	RPL4;RPL5;HBS1L;RPL3;RPL32;RPL31;RPL34;MRPS12;RPLP0;RPL6;MRPL32;RPL7;FARS2;MRPL41;RPS4X;RPS14;RPS16;MRPL9;RPS11;RPS13;RPS9;RPL23;RPL22;DHPS;MRPS18B;RPL13A;MRPL47;MRPS6;EEF1G;MRPL51;EEF1D;RPL27;MRPS36;RPL11;RPL36A;RPS4Y1;MRPL11;RPL14;RPL13;RPL18;RPS27A;RWDD1;RPL41;TMA7;MRPL28;RPL35A;RPL23A;EEF2;RPS25;RPS27;TNIP1;RPS20;RPL22L1;RPS24
GO_Biological_Process_2021	gene expression (GO:0010467)	2.948106e-13	1.186318e-10	0	0	2.902088e+00	8.373234e+01	RPL4;RPL5;HBS1L;RPL3;RPL32;RPL31;RPL34;EIF4A3;MRPS12;RPLP0;RPL6;MRPL32;RPL7;MRPL41;RBM3;RPS4X;RPS14;ALKBH5;HHEX;RPS16;NUP62;EPC1;MRPL9;RPS11;RPS13;RBM5;RBM6;UPF2;RPS9;RPL23;RPL22;DHPS;MRPS18B;RPL13A;THOC3;TFIP11;MRPS6;SRRM1;THOC6;NUP93;DDX19B;MRPL51;XRN2;SRSF2;RPL27;SRSF4;SRSF5;SRSF9;MRPS36;RPL11;RPL36A;BAZ2A;AAAS;RPS4Y1;MRPL11;HSPD1;RPL14;RPL13;POLR2F;POLR2G;RPL18;RPS27A;POLR2J;RPL41;GALNT2;MRPL28;RPL35A;RPL23A;SORL1;RPS25;GOLPH3;RPS27;TNIP1;HNRNPD;RNPS1;RPS20;RPS24
