Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	3.760205e-18	1.301031e-15	0	0	1.295628e+01	5.198324e+02	RPL5;RPL30;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPL18A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPL18;RPL17;RPL19;RPL41;RPL21;RPL23A;RPL37A;RPL24;RPL27;RPL29;RPL26L1
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	6.671673e-17	1.154199e-14	0	0	1.095944e+01	4.081963e+02	RPL5;RPL30;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPL18A;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPL18;RPL17;RPL19;RPL41;RPL21;RPL23A;RPL37A;RPL24;RPL27;RPL29;RPL26L1
GO_Cellular_Component_2021	ribosome (GO:0005840)	2.263453e-14	2.610515e-12	0	0	8.869275e+00	2.786664e+02	RPL30;RPL31;RPL11;RPL10A;RPL8;RPL9;RPL18A;RPS19;RPS18;RPL36;RPL38;RPL15;RPS11;RPL18;RPL19;BTF3;RPL41;RPS7;RPS5;LARP4B;MRPS7;RPS25;RPS27;RPS29;RPL24;EIF3H;RPL27;RPS21;RPS23
GO_Cellular_Component_2021	polysomal ribosome (GO:0042788)	1.056665e-11	9.140153e-10	0	0	1.491473e+01	3.769448e+02	BTF3;RPL30;RPL41;RPL31;RPL11;LARP4B;RPL10A;RPL8;RPL18A;RPS29;RPL36;EIF3H;RPL24;RPL38;RPL18;RPS21;RPL19;RPS23
GO_Cellular_Component_2021	MHC protein complex (GO:0042611)	6.715978e-11	4.647457e-09	0	0	2.545792e+01	5.963250e+02	HLA-DRB5;HLA-C;HLA-F;HLA-E;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;B2M;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	MHC class II protein complex (GO:0042613)	5.286663e-09	3.020979e-07	0	0	4.533799e+01	8.640549e+02	HLA-DRB5;HLA-DMA;HLA-DMB;HLA-DPB1;HLA-DRA;HLA-DOB;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	6.984923e-09	3.020979e-07	0	0	1.272380e+01	2.389468e+02	CD74;HLA-DRB5;HLA-C;HLA-F;SPPL3;HLA-E;TAPBP;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	lumenal side of endoplasmic reticulum membrane (GO:0098553)	6.984923e-09	3.020979e-07	0	0	1.272380e+01	2.389468e+02	CD74;HLA-DRB5;HLA-C;HLA-F;SPPL3;HLA-E;TAPBP;HLA-DPB1;HLA-DRA;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	nuclear lumen (GO:0031981)	1.350531e-08	5.192040e-07	0	0	1.932449e+00	3.501633e+01	RPL5;SMARCB1;TMEM179B;POP4;HNRNPR;PWP1;RPL7;PYCARD;RPS19;MYC;RPL36;ZNF207;RPL35;MACROD2;MAF1;RPS11;IER5;CDK5RAP3;DDX18;TSPYL1;RPS7;NGDN;RPS6;WDR74;LARP4B;EWSR1;NCL;CMPK1;RPL27;SRSF5;ATF3;ZCCHC7;BLM;INO80E;DDX5;RPS19BP1;ZCCHC9;NOLC1;RPAP2;RPF1;DDRGK1;ARL14EP;JUN;IQSEC1;UPF3A;PA2G4;TBCA;ISG20;RPS25;GNL3L;UBLCP1;CDK4;GRB2;MAGED2;NOL11;CUTC;CDCA7L;PHF6;COIL;RBM4;MRPL40;SPIN1;RBM7;PARP1;DDX56;AEN;GNL3;TRAF7;ARL4A;RCN2;NFX1;POLR1B;C1D;TOP1;ERGIC2;DDX27;RRN3;DDX24;RPL11;AKAP8;NOL8;DDX21;SDAD1;TMA16;TAF1D;EXOSC10;TRA2A;RPL13;DNAJB9;RPL18;EXOSC3;DCAF13;RPL19;SMARCE1;NOP58;NAA10;RPL23A;NOC3L;PML;VMP1;SMUG1;RSL1D1;KLF6;CENPH;TCEA1;PTPN6;RAN
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	2.011655e-08	6.741954e-07	0	0	1.403403e+00	2.487072e+01	ITSN2;ATF1;RPL5;ATF2;RPL30;TES;ZNF292;DCAF8;EHMT1;HNRNPR;SMC6;RPL9;SMC4;RPL7;SPIB;PSMD9;MYC;BBX;ADNP2;IER5;CDK5RAP3;DDX17;MEF2C;DAXX;TSPYL1;PRKCB;FNBP1;WDR74;MED4;SND1;DDX39A;EWSR1;RPL27;UBA52;ASF1A;ATF3;SRCAP;SHMT2;FLII;SHMT1;ZNF24;RNPC3;MTDH;LDHA;PRDX4;NTHL1;PRDX1;LTA4H;BTF3;NAA50;ARL14EP;JUN;CREBBP;TRIP4;UPF3A;PA2G4;FLI1;EIF1;EHD1;HNRNPK;TADA2A;EHD4;REL;HBP1;PKIG;BTG1;SERPINA1;ARPC1A;ADK;SNX10;ZNF45;PHF6;OSBPL10;MED12;MRPL40;SPIN1;ANXA7;HLA-DPA1;UPF2;ZNF485;RIPK3;DUSP1;ANXA4;PAWR;AEN;PAX5;GNL3;WDR33;PSMA5;DDB1;NCOR1;ERGIC2;ERGIC1;SF3B5;RPL10;SAMD9;CCNDBP1;HLA-DMA;HLA-DMB;EXOSC10;PSMB2;PPP1R7;RPL13;ANKRD54;ZNF227;RPL15;RPL18;RPL17;MEF2D;NKTR;EGLN1;CDKN2D;MBD4;SF3A1;CRBN;PCGF5;WWP2;TRMT1;GTF2H2;PSMB8;WDR11;PSMB9;PSMC6;CENPH;SNX14;GID8;SERBP1;LAMTOR4;YPEL5;CRLF3;ZNF335;RPL10A;PYCARD;ZNF207;KPNA6;NEK1;SLC25A42;MACROD2;MAF1;BNIP3L;ZNF561;ANKRD49;TLE1;RPS7;SWAP70;RPS6;UBE2E2;RPSA;GTF2F1;NCL;SRSF4;ZNF675;KPNB1;CSNK1G2;SNRPB;KMT2E;BLM;KMT2A;ITPR1;HSP90B1;BAG6;STIP1;SAFB2;IP6K1;SAC3D1;NEK8;OSBPL9;AKIRIN2;ARPC5;EEF2;LSM5;NFKB2;LSM7;COPS5;ARPC2;UBLCP1;ARPC3;CDK4;MDM4;SP140L;RAD9A;ISY1;HSP90AB1;CALCOCO2;CDCA7L;PTPN22;ARRB1;DUSP18;DUSP11;HHEX;LBH;VPS72;HIF1AN;EID2B;ZNF641;EIF5A;ACTR3;EIF5B;ZNF880;ACTR6;ATRX;PLRG1;PTP4A1;TRAF7;ARL4A;PKM;RPL37A;C1D;MCM5;TOP1;SLC25A11;BIRC3;MTPN;SMARCD1;CEBPB;HDAC3;WBP2;PRCC;PBXIP1;CXXC5;HDAC9;TMA16;MALT1;HDAC7;POLR2C;TNNI2;POLR2G;RBBP7;DRAM2;HNRNPA1;SMARCE1;CYB5A;CNBP;FOXJ3;RPL23A;PML;KLF6;PTPN6;TPT1;PANK4;TCERG1;SMARCB1;CCNI;RTCB;UBE2L6;IFI35;LDLRAD4;IFI30;PWP1;RPS15;MT2A;SNRPD2;RPS18;FAM53C;KAT8;UBAP2L;TRIM22;TIPIN;SFMBT1;NFKBIL1;CIRBP;RECQL;CSNK1D;CRNKL1;RRAGA;THAP7;AKAP9;CSNK2B;BTK;VDAC1;UPRT;NEIL1;ANKRA2;CCDC82;TELO2;TMEM63A;ANP32A;SP140;MYCBP2;RPAP2;OSGEP;NUAK2;ZNHIT3;TP53BP2;SNX5;DECR1;SEC31A;CTSA;APOBEC3C;XBP1;GADD45B;IQSEC1;SIAH2;SMARCA5;PARP14;RPS25;STAG1;RPS27;SNW1;FUBP1;GRB2;RNPS1;INTS6;CALM2;CUTC;RPS24;CLIC4;RSF1;PTPRK;SPPL3;CTSS;COIL;HINT3;C1QBP;UIMC1;RAC2;CTSH;CLIC1;TMED5;GRIPAP1;PARP1;PRMT1;PABPC4;STRBP;CACYBP;RHOA;GAK;HCK;HNRNPH1;NFX1;TFEC;WAC;PTMA;SP100;DTYMK;AKAP8;AIF1;RELB;NT5C;PPP2CA;HIRA;SERTAD1;EXOSC8;METTL4;SHOC2;SCAND1;EXOSC3;RANBP2;CD74;PTGES3;YIPF4;RPA2;PER1;STK17A;HNRNPA2B1;CCNG1;DPAGT1;CRTC3;JADE1;INPPL1;PEBP1;CWC25;UBE2Z;ETS1;EEF1B2;RGS2;POGZ;TRAPPC12;FBXW11;PUS1;ARID5B;TSC2;CGRRF1;WBP11;RSBN1;ZNF91;CMPK1;UBE2V2;CHMP4B;PPIH;WDFY2;ISCU;DDX5;AKNA;RBM8A;PSMD14;UBA7;PSMD13;UBA5;DDX1;HTRA2;STK4;ZFP36L1;SDCBP;PMAIP1;LPXN;STAP1;SUDS3;DMAP1;UBE2I;HSPA4;CHCHD10;CWC15;POU2F2;COQ7;ISG20;NFKBIA;HOOK2;NASP;BHLHE40;TCF4;SERGEF;DDX3X;DPY30;HSPB1;YBX1;HMGB1;YBX3;RBM4;SFR1;TRPS1;PDE4B;RBM7;RBM5;USP48;CAMK1D;PPP2R5C;ARID1A;LATS1;CREB3;LMBRD1;CREB1;RABEP2;IRF1;IRF2;CRY2;NAA38;EAPP;RBM22;USP16;RRN3;USP12;CSTF2T;NXF1;CAND1;DNPEP;TGS1;TRA2A;BNIP2;MAPK1;KDM4B;WTAP;NAA10;SGTA;MX1;CCS;PIKFYVE;GOLPH3;TEN1;GNPDA2;PITHD1;ERCC4;CDK2AP2;RANGRF;CHPT1;RBMX;RAN
