Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	1.028792e-22	6.913483e-20	0	0	2.294520e+00	1.161681e+02	EIF4A2;RPL5;TCERG1;RPL30;TES;RPL31;RPL34;POP4;RTCB;IFIT5;HNRNPR;THUMPD1;RPL8;IFIT1;RPL9;IFIT3;RPL7;IFIT2;LSM10;RPS15;PNN;RPL18A;RPS19;SNRPD2;RPS18;DHX58;RPL36;RPL35;LUC7L;RPL38;DENR;UBAP2L;RPL37;RPS11;DDX17;DDX18;RPL21;NGDN;CIRBP;CRNKL1;CDC40;SND1;DDX39A;EWSR1;TEP1;RPL24;RPL27;SUCLG1;RPL29;EZR;EIF1B;ANP32A;MRPL16;NOLC1;MRPL12;MTDH;MRPL20;PRDX1;LTA4H;BTF3;APOBEC3C;JUN;RPL41;ZRANB2;MRPL28;PRRC2C;PA2G4;EIF1;AIMP1;RPS25;RPS27;HNRNPK;SNW1;FUBP1;GRB2;RNPS1;NOL11;RPS21;DZIP3;RPS24;RPS23;GDI2;ADK;PHF6;MRPL32;MRPL40;PCF11;C1QBP;ANXA7;PARP1;PRMT1;PABPC4;STRBP;PPHLN1;MRPL45;MRPS7;MRPL43;GNL3;WDR33;NSA2;HNRNPH1;NFX1;CSDE1;TCP1;DCP2;SF3B5;STAU1;RPL10;MRPS35;RPL12;RPL11;USO1;AKAP8;NOL8;RPS15A;EXOSC10;RPL13;RPL15;RPL18;EXOSC3;RPL17;RPL19;CCT4;SF3A1;TRMT1;NOC3L;RSL1D1;HNRNPA2B1;SERBP1;RPL22L1;FAU;PEBP1;RPL10A;EDC3;ZNF207;RARS2;PNISR;SUPT16H;RPS7;EIF1AX;RPS5;PUS1;RPS6;RPSA;LARP4B;POLRMT;GTF2F1;WBP11;NCL;SRSF4;SRSF5;KPNB1;SNRPB;ZCCHC7;LRRC59;DDX5;RBM8A;RPS19BP1;PEF1;DDX1;IREB2;ZCCHC9;ZFP36L1;RPF1;HSP90B1;STIP1;RNASEH1;HNRNPDL;SAFB2;ZC3H15;UBE2I;TBCA;CWC15;EEF2;LSM5;CHERP;LSM7;GNL3L;ISY1;DIDO1;HSP90AB1;DDX3X;HSPB1;YBX1;HMGB1;YBX3;MTO1;DUSP11;RBM4;LRRFIP1;RBM7;RBM5;RBM33;EIF5A;EIF5B;DDX56;PKM;RPL37A;C1D;RP9;TOP1;SLC25A11;RBM22;TRIM56;DDX27;DDX24;DDX21;CSTF2T;U2AF1;NXF1;TRA2A;POLR2G;HNRNPA1;EIF4E;DCAF13;ABCF1;PTCD3;NOP58;CNBP;CCDC59;PDAP1;RPL23A;EIF3L;EIF3I;EIF3H;RBMX;TPT1;RAN;RPL26L1
GO_Molecular_Function_2021	MHC class II protein complex binding (GO:0023026)	9.721791e-07	3.266522e-04	0	0	1.294846e+01	1.792550e+02	CD74;HLA-DMA;HSP90AB1;HLA-DMB;PKM;CD81;HLA-DRA;HLA-DOB;MS4A1;HLA-DRB1
GO_Molecular_Function_2021	MHC class II receptor activity (GO:0032395)	2.953361e-06	6.615529e-04	0	0	3.166679e+01	4.031995e+02	HLA-DRA;HLA-DOB;HLA-DQA2;HLA-DQA1;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	8.779981e-06	1.475037e-03	0	0	2.317929e+00	2.698773e+01	RPL5;DDX5;DDX3X;RBM8A;SHMT2;SHMT1;IREB2;CSTF2T;HNRNPR;YBX3;RPL7;EDC3;ZFP36L1;RBM4;PCF11;C1QBP;LUC7L;RPL35;DENR;RBM5;RPL41;RPS7;PABPC4;RPS5;CNBP;CIRBP;LARP4B;MRPS7;GNL3;RSL1D1;CARHSP1;HNRNPK;PKM;FUBP1;NCL;HNRNPA2B1;SERBP1;RNPS1;SRSF4;SRSF5;RBMX
GO_Molecular_Function_2021	mRNA 5'-UTR binding (GO:0048027)	2.162818e-04	2.430358e-02	0	0	5.819226e+00	4.910803e+01	RPL5;RSL1D1;RPL41;DDX3X;RPS7;SHMT2;SHMT1;NCL;GNL3
GO_Molecular_Function_2021	translation initiation factor activity (GO:0003743)	2.169963e-04	2.430358e-02	0	0	4.183053e+00	3.528669e+01	EIF4A2;EIF5B;EIF3M;COPS5;EIF3L;EIF3I;EIF3J;EIF3H;EIF3F;EIF4E;EIF1B;EIF1
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	3.915142e-04	3.600174e-02	0	0	1.861746e+00	1.460630e+01	LRRC59;TES;DDX3X;HSP90AB1;YWHAB;RPL34;USO1;CBL;CNN2;PDLIM1;LDHA;SNX2;PRDX1;KIF5B;COBLL1;RPL15;LRRFIP1;CLIC1;SNX5;ZC3H15;VASP;USP8;NUDC;SWAP70;CSNK1D;RPL23A;EEF2;SND1;EHD1;RSL1D1;CCS;EHD4;HNRNPK;PKM;VAPA;SERBP1;PI4KA;RPL24;CHMP4B;TAGLN2;EZR;RPL29;RAN
GO_Molecular_Function_2021	ubiquitin ligase inhibitor activity (GO:1990948)	4.285922e-04	3.600174e-02	0	0	1.505612e+01	1.167603e+02	RPS15;RPL5;RPS7;RPL11;RPL37
GO_Molecular_Function_2021	mRNA 3'-UTR binding (GO:0003730)	8.815397e-04	5.946399e-02	0	0	2.791030e+00	1.963166e+01	RPL5;DDX5;RPL41;RPS7;PABPC4;CIRBP;LARP4B;YBX3;ZFP36L1;RBM4;RSL1D1;CARHSP1;EXOSC8;HNRNPA2B1;SERBP1;RNPS1
GO_Molecular_Function_2021	ubiquitin-protein transferase inhibitor activity (GO:0055105)	8.848808e-04	5.946399e-02	0	0	1.129118e+01	7.937764e+01	RPS15;RPL5;RPS7;RPL11;RPL37
