Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	ficolin-1-rich granule (GO:0101002)	1.778639e-32	6.118517e-30	0	0	7.814974e+00	5.713283e+02	FCN1;CDA;GPI;SERPINA1;TMEM179B;GMFG;CTSZ;ITGB2;TCIRG1;CTSS;LGALS3;HK3;PSMD7;FTH1;LAMP2;COTL1;ITGAX;CTSH;OSTF1;RAC1;GUSB;GYG1;CTSD;CTSB;ACTR2;DBNL;FCER1G;DYNLT1;CD300A;SLC11A1;GAA;PGAM1;ATP6AP2;COMMD3;DYNLL1;RHOA;SERPINB6;PSMA5;DYNC1LI1;DOK3;PKM;BIN2;CSNK2B;CAT;PLEKHO2;ALDOA;CFD;CSTB;ASAH1;PSMD11;PSMD13;GSTP1;MVP;FGL2;FPR1;GNS;LILRA3;CST3;PSMB7;COMMD9;PRDX4;ALOX5;PSMB1;MAPK1;NCKAP1L;LTA4H;CD55;ARPC5;LILRB2;PFKL;PSMC3;IMPDH1;PSMC2;MNDA;YPEL5;HSPA1A
GO_Cellular_Component_2021	secretory granule lumen (GO:0034774)	2.396234e-27	4.121523e-25	0	0	5.228385e+00	3.204785e+02	FCN1;CDA;GPI;SERPINA1;GMFG;CTSZ;GDI2;PYCARD;HK3;PSMD7;TMSB4X;COTL1;CTSH;TIMP1;OSTF1;ACAA1;GUSB;CTSD;GYG1;CTSC;CAP1;SRGN;ACTR2;SERPINB1;DBNL;ANXA2;DYNLT1;PGAM1;TUBB;RNASET2;PRKCD;OSCAR;PSMA5;FGR;PKM;BIN2;NPC2;CSNK2B;CAT;ALDOA;DOCK2;S100A9;S100A8;FTL;CFD;CSTB;GRN;PDXK;PSMD11;TEX264;PSMD13;GSTP1;MVP;RETN;CFP;GNS;PLAC8;PSMB7;SDCBP;COMMD9;PRDX4;DPP7;ALOX5;PSMB1;MAPK1;S100A11;CTSA;TGFB1;TRAPPC1;GCA;FUCA2;ARPC5;LYZ;TUBB4B;PRDX6;CPPED1;ERP44;PFKL;PSMC3;IMPDH1;TOLLIP;PSMC2;MAGED2;MNDA;PTPN6;FERMT3
GO_Cellular_Component_2021	secretory granule membrane (GO:0030667)	1.515833e-25	1.738155e-23	0	0	5.291472e+00	3.024005e+02	SLC44A2;TMEM179B;ITGB2;SNAP23;TCIRG1;ITGAL;SIRPB1;LGALS3;STK10;GLIPR1;LAMP2;C3AR1;ITGAX;RAC1;SNAP29;CD33;FCER1G;CD300A;SLC11A1;GAA;APLP2;ATP6AP2;HLA-B;RHOG;PLAUR;CYBB;NDUFC2;CYBA;RHOF;TMC6;KCNAB2;DYNLL1;TNFRSF1B;RHOA;CKAP4;SERPINB6;CEACAM3;VAMP8;DYNC1LI1;DOK3;RAB31;TYROBP;DNAJC5;CD47;CD44;RAB7A;CD63;RAB5C;CLEC12A;BRI3;C5AR1;FPR1;IQGAP1;PSEN1;SRI;LILRA3;AGPAT2;RAP1B;RAP1A;ALDH3B1;PSAP;RAB24;NCKAP1L;CD55;LAIR1;CMTM6;LILRB2;LILRB3;BST2;RAB10;TSPAN14;PTPRC;FCGR2A;VAPA;P2RX1;RAB18;CYSTM1;LAMTOR2;CD68
GO_Cellular_Component_2021	ficolin-1-rich granule lumen (GO:1904813)	1.036041e-23	8.909955e-22	0	0	7.866671e+00	4.163361e+02	FCN1;CDA;GPI;SERPINA1;GMFG;CTSZ;CTSS;HK3;PSMD7;FTH1;COTL1;CTSH;OSTF1;GUSB;GYG1;CTSD;CTSB;ACTR2;DBNL;DYNLT1;PGAM1;COMMD3;PSMA5;PKM;BIN2;CSNK2B;CAT;PLEKHO2;ALDOA;CFD;CSTB;ASAH1;PSMD11;PSMD13;GSTP1;MVP;FGL2;GNS;CST3;PSMB7;COMMD9;PRDX4;ALOX5;PSMB1;MAPK1;LTA4H;ARPC5;PFKL;PSMC3;IMPDH1;PSMC2;MNDA;YPEL5;HSPA1A
GO_Cellular_Component_2021	azurophil granule (GO:0042582)	1.207687e-21	8.308886e-20	0	0	6.798067e+00	3.274328e+02	TMEM179B;GDI2;SNAP23;PYCARD;GLIPR1;LAMP2;C3AR1;GUSB;SNAP29;CTSC;CAP1;ACTR2;ANXA2;GAA;RNASET2;TUBB;PRKCD;STX7;NDUFC2;CKAP4;VAMP8;NPC2;DNAJC5;FTL;CD63;GRN;RAB5C;BRI3;STXBP2;FPR1;PSEN1;RETN;GNS;PLAC8;RAP1B;SDCBP;DPP7;PSAP;MAPK1;CTSA;TRAPPC1;GCA;FUCA2;CMTM6;LYZ;TUBB4B;PRDX6;CPPED1;BST2;VAPA;IMPDH1;TOLLIP;MNDA;CD68
GO_Cellular_Component_2021	tertiary granule (GO:0070820)	1.250550e-20	7.169821e-19	0	0	6.490606e+00	2.974522e+02	CDA;TMEM179B;ITGB2;SNAP23;TCIRG1;CTSS;LGALS3;FTH1;LAMP2;ITGAX;CTSH;RAC1;CTSD;CD33;DBNL;FCER1G;CD300A;SLC11A1;GAA;STX7;ATP6AP2;CYBB;CYBA;KCNAB2;TMC6;DYNLL1;RHOA;OSCAR;SERPINB6;VAMP8;DYNC1LI1;DOK3;CD47;ALDOA;CSTB;ASAH1;CLEC12A;STXBP2;FPR1;CFP;LILRA3;CST3;NCKAP1L;LTA4H;CD55;LAIR1;LILRB2;LYZ;TSPAN14;CYSTM1;LAMTOR2;PTPN6;YPEL5
GO_Cellular_Component_2021	cytoplasmic vesicle lumen (GO:0060205)	1.102612e-17	5.418549e-16	0	0	6.858317e+00	2.677917e+02	FCN1;CFD;CDA;GPI;CSTB;PDXK;PSMD11;PSMD13;GMFG;GSTP1;MVP;GDI2;PYCARD;HK3;PSMB7;PSMD7;COMMD9;PRDX4;ALOX5;PSMB1;COTL1;CTSH;OSTF1;GYG1;S100A11;SERPINB1;DBNL;DYNLT1;PGAM1;ARPC5;FGR;PSMA5;PFKL;PKM;BIN2;PSMC3;IMPDH1;CSNK2B;CAT;PSMC2;ALDOA;S100A9;S100A8
GO_Cellular_Component_2021	vacuolar lumen (GO:0005775)	4.348094e-17	1.869680e-15	0	0	6.126065e+00	2.307946e+02	SCARB2;ASAH1;GRN;GDI2;RETN;IFI30;LIPA;GNS;CTSS;PYCARD;PLAC8;SDCBP;DPP7;CTSL;LAMP2;PSAP;MAPK1;GUSB;GYG1;CTSD;CTSC;CTSA;CAP1;ACTR2;CD74;TRAPPC1;ANXA2;GCA;GAA;RNASET2;TUBB;PRKCD;FUCA2;LYZ;TUBB4B;PRDX6;CPPED1;NPC2;IMPDH1;TOLLIP;NAAA;PPT1;TPP1;MNDA;FTL
GO_Cellular_Component_2021	cytoplasmic vesicle membrane (GO:0030659)	2.632882e-16	1.006346e-14	0	0	3.421420e+00	1.227376e+02	SCARB2;TMEM179B;SPPL2A;AP2A1;ARRB1;TCIRG1;SIRPB1;LGALS3;CHMP1B;AP1S2;ITGAX;VPS35;RAC1;CTSD;HLA-DPA1;PSENEN;ATP6V0B;ATP6V0E1;ATP6AP2;HLA-B;RHOG;WIPI1;RHOF;RHOA;RHOB;SERPINB6;VAMP8;DYNC1LI1;DOK3;RAB31;TYROBP;IRF7;ATP6V0D1;VPS25;VAMP5;VPS28;CD44;RAB7A;CD63;TSG101;LRP1;C5AR1;FPR1;IQGAP1;CORO1C;SNX3;SNX1;APH1B;SNX2;RAP1A;ALDH3B1;UBC;RAB24;AP2S1;NCKAP1L;SLC15A3;HLA-DQA1;CD55;CD74;HLA-DRB5;RAB4A;SNF8;LILRB3;MCOLN1;RAB11A;RAB10;PTPRC;FCGR2A;SNX17;P2RX1;HLA-DPB1;RAB18;HLA-DRA;LAMTOR2;HLA-DRB1;ITM2B;MYD88
GO_Cellular_Component_2021	lysosomal membrane (GO:0005765)	5.819995e-16	2.002078e-14	0	0	3.426491e+00	1.202015e+02	IFITM3;SCARB2;IFITM1;IFITM2;RNF13;SLC44A2;TMEM179B;SPPL2A;CLTA;AP2A1;ARRB1;TCIRG1;SLC2A6;GLIPR1;LAPTM4A;LAMP2;AP1S2;C3AR1;VPS35;ATP6V1E1;CTSD;SNAP29;HLA-DPA1;RAB2A;ATP6V0B;SEC13;ATP6V0E1;ANXA2;GAA;STX7;ATP6AP2;NDUFC2;CKAP4;VAMP8;DNAJC5;ATP6V1B2;CDIP1;ATP6V0D1;RAB7A;CD63;GRN;RAB5C;AHNAK;LRP1;BRI3;FPR1;GNAI3;PSEN1;RAP1B;HLA-DMA;BLOC1S1;PSAP;AP2S1;SLC15A3;HLA-DQA1;CTSA;CD74;HLA-DRB5;CMTM6;LAPTM5;MCOLN1;GPR137B;WDR11;BST2;VAPA;RHEB;GNB2;GNB1;HLA-DPB1;HLA-DRA;LAMTOR2;CD68;LAMTOR4;HLA-DRB1;LAMTOR5
