Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	3.233025e-21	2.337477e-18	0	0	1.688777e+01	7.967796e+02	NDUFA13;NDUFB7;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;UQCR10;COX6A1;COX5B;COX5A;CYB561D2;UQCRFS1;NDUFV3;NDUFV2;COX8A;NDUFA6;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;COX6B1;COX7A2L;NDUFS7;NDUFS6;UQCRQ;NDUFS4;NDUFS3;UQCRC1;NDUFS2
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	5.558755e-15	1.339660e-12	0	0	1.828317e+01	6.001159e+02	NDUFA13;NDUFB7;NDUFA6;NDUFB6;NDUFA12;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC2;NDUFC1;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFV3;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	5.558755e-15	1.339660e-12	0	0	1.828317e+01	6.001159e+02	NDUFA13;NDUFB7;NDUFA6;NDUFB6;NDUFA12;NDUFB5;NDUFA4;NDUFB4;NDUFB3;NDUFA2;NDUFB2;NDUFA1;NDUFB1;NDUFC2;NDUFC1;NDUFS7;NDUFS6;NDUFS4;NDUFS3;NDUFS2;NDUFV3;NDUFV2
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	1.464445e-10	2.646984e-08	0	0	2.866074e+00	6.490045e+01	YWHAE;YWHAB;HDLBP;ENO1;PARK7;PCMT1;LASP1;CAPZB;BSG;EFHD2;LRRFIP1;CLIC1;TMPO;SH3GLB1;DBNL;ANXA2;TMOD3;PKM;CHMP4B;MYH9;EZR;PFN1;TLN1;ALDOA;CHMP5;LRRC59;AHNAK;TWF2;CAPG;IQGAP1;PSEN1;CORO1B;RTN4;PSMB6;LDHA;SNX1;LARP1;SNX2;PUF60;PCBP1;PRDX1;CDH23;EIF4H;FLNA;PDLIM5;WASF2;S100A11;SNX5;VASP;PRDX6;PPP1CA;RAB11B;RAB10;EIF5;STK24;VAPA;CAPZA1;CHMP2B;DHX29;HSPA1A
GO_Molecular_Function_2021	guanyl ribonucleotide binding (GO:0032561)	1.823191e-08	2.636335e-06	0	0	3.140367e+00	5.596164e+01	ARF1;RAB5C;RALB;RAB1B;GNAI3;RAP1B;CDC42;TUBA1B;TUBA1A;RAP1A;RRAS;RAC2;RAC1;NUDT16;GBP2;RAB8A;RAB2A;RAB4A;GCH1;TUBB;MX2;RHOG;RHOF;RHOC;TUBB4B;RHOA;RHOB;RAB11B;RAB32;RAB10;DYNC1LI1;GLUD1;ARL4A;RAB31;RHEB;RAB18;KRAS;ARF5;ARF6;RAB7A
GO_Molecular_Function_2021	GTP binding (GO:0005525)	5.928963e-08	7.144400e-06	0	0	3.142144e+00	5.228789e+01	ARF1;RALB;RAB1B;RAP1B;CDC42;TUBA1B;RAP1A;TUBA1A;RRAS;RAC2;NUDT16;RAC1;GBP2;RAB8A;RAB2A;RAB4A;GCH1;TUBB;MX2;RHOG;RHOF;RHOC;TUBB4B;RHOA;RHOB;RAB11B;RAB32;RAB10;DYNC1LI1;GLUD1;ARL4A;RAB31;RHEB;KRAS;ARF5;ARF6;RAB7A
GO_Molecular_Function_2021	GTPase activity (GO:0003924)	7.242246e-07	6.345627e-05	0	0	2.778387e+00	3.928130e+01	RAB5C;RALB;RAB1B;GNAI3;GNAI2;RAP1B;CDC42;RAP1A;RRAS;GNG5;ARHGDIB;RAB24;RAC2;RAC1;GBP2;RAB8A;RAB2A;RAB4A;GCH1;MX2;MX1;RHOG;RHOF;RHOC;RHOA;RAB11A;RHOB;RAB11B;RAB32;RAB31;RHEB;GNB2;GNB1;GNAS;RAB18;KRAS;RAB7A
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	7.476549e-07	6.345627e-05	0	0	2.397516e+00	3.382013e+01	YWHAE;GPI;CDKN1A;UBXN1;TSG101;RALB;HM13;UBE2L6;NEDD8;ARRB1;ARRB2;TANK;GABARAP;RTN4;UBE2L3;UBE2J1;ACTG1;BAG6;MAP1LC3B;TUBA1B;BAG1;UBC;TNFRSF14;CKB;PRKACA;TPI1;UBE2B;ARRDC1;TUBB;LAPTM5;ISG15;UBE2A;TNFRSF1B;PRDX6;RBX1;NFKBIA;DNAJA1;PSMA3;PRKAR1A;JKAMP;TCP1;UQCRC1;UBE2N;NDUFS2;EIF4E2;SLC25A5;HSPA1A;OTUB1
GO_Molecular_Function_2021	proton transmembrane transporter activity (GO:0015078)	8.367585e-07	6.345627e-05	0	0	7.867649e+00	1.100978e+02	COX8A;NDUFA4;UQCR10;COX5B;COX6A1;COX5A;COX6B1;COX7A2L;UQCRQ;ATP6V1B2;UQCRC1;UQCRFS1;ATP6V1F
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	8.776801e-07	6.345627e-05	0	0	2.333642e+00	3.254493e+01	YWHAE;GPI;CDKN1A;UBXN1;UBE2L6;ARRB1;ARRB2;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;SUMO3;PRKACA;TPI1;ARRDC1;TUBB;TNFRSF1B;RBX1;PSMA3;PRKAR1A;TCP1;UQCRC1;NDUFS2;EIF4E2;SLC25A5;OTUB1;TSG101;RALB;HM13;NEDD8;TANK;GABARAP;RTN4;UBE2J1;BAG6;BAG1;UBC;TNFRSF14;CKB;UBE2B;STAT2;LAPTM5;ISG15;UBE2A;PRDX6;NFKBIA;DNAJA1;JKAMP;UBE2N;HSPA1A
