Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	platelet degranulation (GO:0002576)	9.518992e-15	2.899293e-11	0	0	6.629933e+00	2.140506e+02	LGALS3BP;APP;SPARC;WDR1;ITGB3;ITGA2B;SERPINE1;STXBP2;PLEK;ENDOD1;F13A1;CLU;THBS1;CYB5R1;TMSB4X;FLNA;TIMP1;LY6G6F;SRGN;TGFB1;BRPF3;ACTN1;RAB27B;PPBP;GTPBP2;SYTL4;TUBA4A;MMRN1;CD9;TAGLN2;MAGED2;TLN1;ALDOA;VCL;FERMT3;PF4
GO_Biological_Process_2021	homotypic cell-cell adhesion (GO:0034109)	1.428575e-14	2.899293e-11	0	0	1.918467e+01	6.115978e+02	P2RY12;ITGB3;ACTN1;PLEK;HSPB1;ILK;GP1BA;PIK3CB;ACTB;MYL12A;PIK3CG;ACTG1;RAP2B;GNAS;FLNA;TLN1;MYL9;CD99;VCL;FERMT3;TJP2
GO_Biological_Process_2021	platelet aggregation (GO:0070527)	2.529864e-13	3.422907e-10	0	0	1.925920e+01	5.586217e+02	P2RY12;ITGB3;ACTN1;PLEK;HSPB1;ILK;GP1BA;PIK3CB;ACTB;MYL12A;PIK3CG;ACTG1;RAP2B;GNAS;FLNA;TLN1;MYL9;VCL;FERMT3
GO_Biological_Process_2021	regulated exocytosis (GO:0045055)	9.089463e-13	9.223532e-10	0	0	4.787339e+00	1.327361e+02	LGALS3BP;APP;SPARC;WDR1;ITGB3;ITGA2B;SERPINE1;STXBP2;PLEK;ENDOD1;F13A1;CLU;THBS1;CYB5R1;TMSB4X;FLNA;TIMP1;LY6G6F;SNCA;SRGN;SNAPIN;TGFB1;BRPF3;ACTN1;RAB27B;PPBP;GTPBP2;SYTL4;TUBA4A;RAB10;RAB31;MMRN1;CD9;TAGLN2;MAGED2;TLN1;ALDOA;VCL;FERMT3;PF4
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	1.696664e-07	1.377352e-04	0	0	2.076965e+00	3.237871e+01	PYGB;B4GALT1;SLC44A2;SNAP23;PYGL;TCIRG1;HMGB1;ITGAL;SRP14;HK3;FTH1;COTL1;CAPN1;CEP290;B2M;CTSD;KCMF1;CAP1;DBNL;TUBB;PRKCD;HLA-C;COMMD3;ATP11B;ANO6;DYNLL1;DNAJC3;RAP2C;RAB31;PKM;RAP2B;RAB37;TMBIM1;ALDOA;KPNB1;VCL;FTL;ASAH1;VCP;CANT1;PTAFR;STXBP2;GNS;RAP1B;CST3;NCSTN;NRAS;PGRMC1;CYB5R3;RAP1A;STOM;ATP6V1D;ELANE;CTSA;GSN;TRAPPC1;CMTM6;ARPC5;PPBP;TUBB4B;MAPK14;PRDX6;SVIP;RAB10;DIAPH1;RAB14;VAPA;TOLLIP;P2RX1;LCN2;PTX3;LAMTOR1;YPEL5;GLA
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	2.542308e-07	1.719871e-04	0	0	2.051408e+00	3.115068e+01	PYGB;B4GALT1;SLC44A2;SNAP23;PYGL;TCIRG1;HMGB1;ITGAL;SRP14;HK3;FTH1;COTL1;CAPN1;CEP290;B2M;CTSD;KCMF1;CAP1;DBNL;TUBB;PRKCD;HLA-C;COMMD3;ATP11B;ANO6;DYNLL1;DNAJC3;RAP2C;RAB31;PKM;RAP2B;RAB37;TMBIM1;ALDOA;KPNB1;VCL;FTL;ASAH1;VCP;CANT1;PTAFR;STXBP2;GNS;RAP1B;CST3;NCSTN;NRAS;PGRMC1;CYB5R3;RAP1A;STOM;ATP6V1D;ELANE;CTSA;GSN;TRAPPC1;CMTM6;ARPC5;PPBP;TUBB4B;MAPK14;PRDX6;SVIP;RAB10;DIAPH1;RAB14;VAPA;TOLLIP;P2RX1;LCN2;PTX3;LAMTOR1;YPEL5;GLA
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	3.423525e-07	1.985155e-04	0	0	2.032639e+00	3.026076e+01	PYGB;B4GALT1;SLC44A2;SNAP23;PYGL;TCIRG1;HMGB1;ITGAL;SRP14;HK3;FTH1;COTL1;CAPN1;CEP290;B2M;CTSD;KCMF1;CAP1;DBNL;TUBB;PRKCD;HLA-C;COMMD3;ATP11B;ANO6;DYNLL1;DNAJC3;RAP2C;RAB31;PKM;RAP2B;RAB37;TMBIM1;ALDOA;KPNB1;VCL;FTL;ASAH1;VCP;CANT1;PTAFR;STXBP2;GNS;RAP1B;CST3;NCSTN;NRAS;PGRMC1;CYB5R3;RAP1A;STOM;ATP6V1D;ELANE;CTSA;GSN;TRAPPC1;CMTM6;ARPC5;PPBP;TUBB4B;MAPK14;PRDX6;SVIP;RAB10;DIAPH1;RAB14;VAPA;TOLLIP;P2RX1;LCN2;PTX3;LAMTOR1;YPEL5;GLA
GO_Biological_Process_2021	Ras protein signal transduction (GO:0007265)	1.131174e-06	5.739295e-04	0	0	3.191963e+00	4.370517e+01	DNMT1;CDKN1A;RALB;BRK1;PARK7;RASGRP2;RASGRP1;ARHGAP6;CRKL;RAP1B;GNA13;NRAS;RAP1A;RRAS;GRAP2;ARHGDIB;CFL1;G3BP1;G3BP2;CTNNAL1;DBNL;MAPK14;RAP2C;RAP2B;CDK2;TAX1BP3;RGL2;KPNB1;LAT
GO_Biological_Process_2021	plasma membrane bounded cell projection assembly (GO:0120031)	1.845383e-06	8.322677e-04	0	0	2.468860e+00	3.259593e+01	ITGB1;ASAP1;PKD1;HSPB11;HDAC6;MYLK;PPP1R9B;RPGR;RAP1B;NUDCD3;RAP1A;TCTN2;INPP5K;FLNA;POC1B;ATP6V1D;CEP290;RILP;RAB8A;P2RY12;IQCB1;DMTN;GSN;DNAAF1;WDR19;ANO6;PARVB;DYNLL1;DYNLL2;RAB11A;CD2AP;RAP2C;DNM3;CCDC88A;EHD3;RAP2B;TTLL3;CENPJ;FXYD5;TNIK;SSX2IP;VCL
GO_Biological_Process_2021	maintenance of blood-brain barrier (GO:0035633)	3.826258e-06	1.553078e-03	0	0	1.006939e+01	1.256018e+02	ITGB1;CLDN5;LSR;ESAM;F11R;ACTB;VCL;ACTG1;JAM3;TJP2
GO_Biological_Process_2021	membrane organization (GO:0061024)	7.468802e-06	2.755988e-03	0	0	2.396185e+00	2.828642e+01	SNAP23;CLTA;ARRB1;STON2;MOSPD3;ACTB;NAPG;STX11;ACTG1;CORO1C;SNX3;SERP1;UBB;OPA1;AP2S1;PACSIN2;SNX9;LDLRAP1;AP2M1;SH3GLB1;CHRNB1;AP3D1;STAM;EPS15L1;SYP;ARPC5;GAPVD1;DNM2;DNM3;CCDC88A;RABIF;DAB2;CTTN;VAPA;LPCAT3;TRIP10;CHMP6;RAB5A;PICALM
GO_Biological_Process_2021	muscle contraction (GO:0006936)	1.951566e-05	6.601173e-03	0	0	3.599683e+00	3.903601e+01	CHRNB1;TPM4;TPM3;TMOD3;TPM1;TNNC2;TACR2;MYL12A;MYLK;MYL6;CALD1;GALR2;FXYD1;TNNI2;TLN1;ALDOA;MYL9;VCL;SNTA1
GO_Biological_Process_2021	regulation of actin filament polymerization (GO:0030833)	2.201911e-05	6.875044e-03	0	0	4.152409e+00	4.452877e+01	VASP;KANK1;MTPN;DBNL;PRKCD;TWF2;ARHGAP18;SSH2;VIL1;CTTN;COTL1;NCK2;SNX9;ESAM;PFN1;NCK1
GO_Biological_Process_2021	protein transport (GO:0015031)	4.311607e-05	1.250058e-02	0	0	1.956714e+00	1.966813e+01	ARF3;ARF1;SYS1;TCIRG1;CLU;RPGR;ARL6IP5;TMED3;TLK1;ARFIP1;VPS35;ATP6V1E1;TBC1D22A;CEP290;RAB8A;YWHAH;PRKCB;TANGO2;DNM2;RUFY1;RAB32;RAB31;CTTN;TBC1D5;TBC1D25;RAB38;SLU7;BLZF1;COPA;TBC1D9B;STXBP2;VPS26A;NAPG;STX11;HDAC6;GGA3;SCFD2;SNX9;STX4;ATP6V1D;RAB6B;RILP;TBC1D15;SEC31A;CTSA;RABGAP1L;CMTM6;AP3D1;RAB10;RAB14;RAB5A
GO_Biological_Process_2021	cellular protein localization (GO:0034613)	5.176986e-05	1.400892e-02	0	0	2.054919e+00	2.027938e+01	ARF3;ARF1;COPA;TBC1D9B;STXBP2;VPS26A;NAPG;STX11;BICD2;HDAC6;RPGR;NIPBL;GGA3;WNT11;SCFD2;TMED3;FLNA;TLK1;ARFIP1;VPS35;SNX9;STX4;TBC1D22A;RAB6B;TBC1D15;SEC31A;JAM3;YWHAH;CTSA;RABGAP1L;AP3D1;WIPI1;RAB32;RAB31;CTTN;RAB14;TBC1D5;TBC1D25;RAB38;ESAM;LAMTOR1;SLU7;RAB5A;VCL
GO_Biological_Process_2021	negative regulation of actin filament polymerization (GO:0030837)	5.867072e-05	1.488403e-02	0	0	7.408090e+00	7.218124e+01	VIL1;KANK1;GSN;TMSB4X;TMSB4Y;PRKCD;TWF2;SSH2;PFN1
GO_Biological_Process_2021	negative regulation of signal transduction (GO:0009968)	9.912914e-05	2.366854e-02	0	0	2.317415e+00	2.136445e+01	KANK1;VCP;LEPROT;IRS1;PLEK;ARRB1;PIK3CB;GATA2;NLK;THBS1;SMPD1;CCL5;INPP5K;PIP4K2B;NCK1;SNCA;ACVR1;PTPN18;EGFL7;PTGIR;PRKCB;METTL3;PRKCD;CTNNBIP1;NFATC1;DKK3;TMBIM1;TAX1BP3;TRIB1;CACTIN;VGLL4
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	1.198349e-04	2.702277e-02	0	0	2.850149e+00	2.573513e+01	LAG3;ARF1;SEC23A;AP1B1;CLTA;KIF22;DYNLL1;DYNLL2;HLA-E;DNM2;CLEC4A;KLC2;KIF2A;CTSL;CAPZA2;AP2S1;KIFAP3;CTSD;RILP;AP2M1;SEC31A
GO_Biological_Process_2021	positive regulation of fibroblast migration (GO:0010763)	1.751942e-04	3.656580e-02	0	0	2.258602e+01	1.953604e+02	ITGB1;DMTN;TGFB1;THBS1;PTK2
GO_Biological_Process_2021	post-Golgi vesicle-mediated transport (GO:0006892)	1.865982e-04	3.656580e-02	0	0	2.925935e+00	2.512370e+01	APP;ARF1;MON2;SYS1;SNAP23;AP1B1;CLTA;ARRB1;CLINT1;DNM2;RAB10;BLOC1S6;RABIF;RAB14;FTH1;GOLGB1;STX4;CORO7;FTL
GO_Biological_Process_2021	small GTPase mediated signal transduction (GO:0007264)	2.116251e-04	3.656580e-02	0	0	2.796333e+00	2.365892e+01	DNMT1;CDKN1A;RALB;ARHGAP18;PARK7;RASGRP2;MAPK14;RASGRP1;CRKL;CCDC88A;NRAS;RRAS;RHEB;GRAP2;G3BP1;CDK2;G3BP2;RAB38;RGL2;LAT
GO_Biological_Process_2021	regulation of actin polymerization or depolymerization (GO:0008064)	2.162818e-04	3.656580e-02	0	0	5.819226e+00	4.910803e+01	DBNL;WDR1;CTTN;TMSB4Y;COTL1;ARHGAP18;BRK1;ESAM;PFN1
GO_Biological_Process_2021	receptor internalization (GO:0031623)	2.169963e-04	3.656580e-02	0	0	4.183053e+00	3.528669e+01	ITGB1;DNM3;RAB31;CD9;ARRB1;LDLRAP1;RAB5A;AP2M1;SCYL2;DNM2;SNCA;PICALM
GO_Biological_Process_2021	regulation of focal adhesion assembly (GO:0051893)	2.169963e-04	3.656580e-02	0	0	4.183053e+00	3.528669e+01	DMTN;PTPRA;RCC2;ARHGAP6;THBS1;VCL;CLASP1;PTK2;ACTG1;CORO1C;CLASP2;LIMS1
GO_Biological_Process_2021	positive regulation of cell migration (GO:0030335)	2.290471e-04	3.656580e-02	0	0	2.161126e+00	1.811366e+01	ITGB1;CD151;THBS1;SYNE2;HDAC6;CCAR1;CRKL;MYLK;ACTG1;CXCL16;NIPBL;WNT11;PDCD10;CCL5;PDGFC;STX4;CLASP1;CLASP2;ACVR1;DMTN;TGFB1;WNT5B;SPHK1;GAB1;RHOC;SOD2;PTK2;RAB11A;VIL1;DAB2;PFN1;FERMT3
GO_Biological_Process_2021	regulation of wound healing (GO:0061041)	2.342229e-04	3.656580e-02	0	0	5.031023e+00	4.205551e+01	ITGB1;VIL1;KANK1;DMTN;SERPINE1;GP1BA;SRSF6;PTK2;ACTG1;MYLK
