Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	4.470107e-15	1.653584e-11	0	0	6.369010e+00	2.104408e+02	RPL4;RPL5;SRP19;RPL3;ARL6IP1;RPL34;RPL12;RPL11;RPL10A;RPL6;RPS4X;RPS14;SEC61A1;RPS15A;RPS19;SRP72;RPL37;RPL15;RPS2;SEC62;RPL18;RPL41;RPS7;RPL23;RPL22;RPS6;RPL35A;RPS3A;RPSA;RPL23A;SRP68;SRP9;RPL27A;RPL24;RPS20;RPL29;RPS21;RPS24
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	8.115750e-15	1.653584e-11	0	0	6.431643e+00	2.086745e+02	RPL4;RPL5;SRP19;RPL3;RPL34;RPL12;ZFAND2B;RPL11;RPL10A;RPL6;RPS4X;RPS14;SEC61A1;RPS15A;RPS19;SRP72;RPL37;RPL15;RPS2;RPL18;RPL41;RPS7;RPL23;RPL22;RPS6;RPL35A;RPS3A;RPSA;RPL23A;SRP68;SRP9;RPL27A;RPL24;RPS20;RPL29;RPS21;RPS24
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	1.826132e-14	2.480496e-11	0	0	5.799659e+00	1.834663e+02	RPL4;RPL5;SRP19;RPL3;RPL34;RPL12;ZFAND2B;RPL11;RPL10A;RPL6;RPS4X;RPS14;SEC61A1;RPS15A;RPS19;SRP72;RPL37;RPL15;RPS2;SEC62;RPL18;RPL41;RPS7;RPL23;RPL22;RPS6;RPL35A;RPSA;RPS3A;RPL23A;SRP68;SRP9;RPL27A;CHMP4B;RPL24;RPS20;RPL29;RPS21;RPS24
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	1.697766e-13	1.729599e-10	0	0	5.812419e+00	1.709101e+02	EIF4A2;RPL4;RPL5;RPL3;RPL34;RPL12;RPL11;RPL10A;RPL6;RPS4X;RPS14;RPS15A;RPS19;RPL37;RPL15;RPS2;RPL18;RWDD1;RPL41;RPS7;RPL23;RPL22;RPS6;RPL35A;RPS3A;RPSA;RPL23A;FTSJ1;EIF3I;RPL27A;DRG1;RPL24;RPS20;RPL29;RPS21;RPS24
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	3.587100e-13	2.572300e-10	0	0	2.650848e+00	7.596340e+01	ARHGAP9;GHDC;SLC44A2;GMFG;ITGB2;LPCAT1;HMGB1;PSMD6;GLIPR1;PSMD7;LAMP1;TOM1;RAC1;CAPN1;OSTF1;B2M;GOLGA7;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;MANBA;DBNL;FCER1G;NHLRC3;CD300A;PGAM1;HLA-B;RHOG;HLA-C;TMC6;MIF;RHOF;DYNLL1;UNC13D;DDOST;PSMA5;EEF1A1;FGR;ACLY;VAMP7;TYROBP;BIN2;RAB37;CSNK2B;DOCK2;PPIA;VAMP2;RAB7A;CD63;PSMD14;GSTP1;PLAC8;RAP1B;SDCBP;SYNGR1;PRDX4;PSMB1;ORMDL3;MAPK1;STOM;LTA4H;CCT8;HMOX2;LAIR1;CTSA;DYNC1H1;HSPA8;GSN;TRAPPC1;TMEM30A;XRCC5;CMTM6;EEF2;BST2;GALNS;ERP44;DIAPH1;PTPRC;SELL;TOLLIP;RAB18;LAMTOR2;PTPN6;LAMTOR1;YPEL5
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	3.787435e-13	2.572300e-10	0	0	2.631268e+00	7.525931e+01	ARHGAP9;GHDC;SLC44A2;GMFG;ITGB2;LPCAT1;HMGB1;PSMD6;GLIPR1;PSMD7;LAMP1;TOM1;RAC1;CAPN1;OSTF1;B2M;GOLGA7;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;MANBA;DBNL;FCER1G;NHLRC3;CD300A;PGAM1;HLA-B;RHOG;HLA-C;TMC6;MIF;RHOF;IRAK4;DYNLL1;UNC13D;DDOST;PSMA5;EEF1A1;FGR;ACLY;VAMP7;TYROBP;BIN2;RAB37;CSNK2B;DOCK2;PPIA;VAMP2;RAB7A;CD63;PSMD14;GSTP1;PLAC8;RAP1B;SDCBP;SYNGR1;PRDX4;PSMB1;ORMDL3;MAPK1;STOM;LTA4H;CCT8;HMOX2;LAIR1;CTSA;DYNC1H1;HSPA8;GSN;TRAPPC1;TMEM30A;XRCC5;CMTM6;EEF2;BST2;GALNS;ERP44;DIAPH1;PTPRC;SELL;TOLLIP;RAB18;LAMTOR2;PTPN6;LAMTOR1;YPEL5
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	6.476771e-13	3.770406e-10	0	0	2.616738e+00	7.343976e+01	ARHGAP9;GHDC;SLC44A2;GMFG;ITGB2;LPCAT1;HMGB1;PSMD6;GLIPR1;PSMD7;LAMP1;TOM1;RAC1;CAPN1;OSTF1;B2M;GOLGA7;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;MANBA;DBNL;FCER1G;NHLRC3;CD300A;PGAM1;HLA-B;RHOG;HLA-C;TMC6;MIF;RHOF;DYNLL1;UNC13D;DDOST;PSMA5;EEF1A1;FGR;ACLY;VAMP7;TYROBP;BIN2;RAB37;CSNK2B;DOCK2;PPIA;VAMP2;RAB7A;CD63;PSMD14;GSTP1;PLAC8;RAP1B;SDCBP;SYNGR1;PRDX4;PSMB1;ORMDL3;MAPK1;STOM;LTA4H;CCT8;HMOX2;LAIR1;CTSA;DYNC1H1;HSPA8;GSN;TRAPPC1;TMEM30A;XRCC5;CMTM6;EEF2;BST2;GALNS;ERP44;DIAPH1;PTPRC;SELL;TOLLIP;RAB18;LAMTOR2;PTPN6;LAMTOR1;YPEL5
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	1.866991e-12	9.509985e-10	0	0	6.552147e+00	1.769518e+02	PSMD14;PSMA7;PSMB10;PSMD8;PSMD9;PSMD6;PSMD7;PSMB3;PSMB1;PSMF1;B2M;PDIA3;FCER1G;HLA-B;HLA-C;TAP1;LNPEP;HLA-A;HLA-F;PSMB8;HLA-E;PSMB9;PSMA5;PSMA6;PSMC6;PSMA1;PSMC4;PSME1;PSME2;CALR
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	2.448586e-12	1.002598e-09	0	0	2.443284e+00	6.532244e+01	IFITM3;IFITM1;IFITM2;TRADD;ITGB2;IFIT5;SLA;IRS2;FASLG;PSMD8;PSMD9;PSMD6;PSMD7;GRAP2;CFL1;PIM1;MAP3K8;TIMP1;B2M;TRIM22;JAK1;SKP1;HSP90AA1;ANXA1;FCER1G;CISH;TNFRSF18;HLA-B;HLA-C;IL16;HLA-A;MIF;IRAK4;HLA-F;COMMD7;YWHAZ;VAV1;HLA-E;PSMA5;PSMA6;PSMA1;IFNG;OAS1;CSNK2B;CANX;PSME1;XCL2;IRF7;CDIP1;PSME2;XCL1;SNRPA1;LCP1;LTB;SQSTM1;PPIA;CEBPD;PSMD14;IL2RG;PSMA7;RELA;PSMB10;RAP1B;SOCS1;HNRNPDL;PSMB3;INPP5D;PSMB1;CCL4;CCL3;PTK2B;STAT6;STX4;NCAM1;PSMF1;IP6K2;HSPA9;HSPA8;TGFB1;STAT3;MSN;ISG15;PSMB8;PSMB9;SMARCA4;BST2;NFKBIA;PSMC6;PSMC4;HNRNPF;TOLLIP;IL2RB;HNRNPA2B1;UBE2N;PTPN6;GRB2
GO_Biological_Process_2021	gene expression (GO:0010467)	2.460363e-12	1.002598e-09	0	0	2.799306e+00	7.482743e+01	RPL4;RPL5;MRPS15;RPL3;RPL34;MRPS11;CELF2;MRPS12;HNRNPU;RPL10A;RPL6;RPS4X;RPS14;RPS19;EPC1;RPL37;RBM5;DDX17;SEC13;RPS7;RPL23;RPL22;RPS6;RPSA;RPS3A;MRPS7;MRPS6;MRPL43;EEF1A1;DDX19B;DDX39A;XRN2;DNAJB11;SRSF2;RPL24;SRSF3;RBMS1;SRSF4;RPL29;PTMA;SLU7;SRSF7;SRSF9;FYTTD1;RBM8A;RPL12;RPL11;SRSF1;MRPL10;TSPAN32;NXF1;RPS15A;TPR;POLR2G;RPL15;RPS2;RPL18;POLR2L;RBM39;RPL41;MRPL28;RPL35A;RPL23A;MRPL23;SORL1;HNRNPF;RPL27A;HNRNPA2B1;HNRNPD;DRG1;MMS19;RPS20;STUB1;RPS21;RPS24
