Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	3.296346e-14	2.399740e-11	0	0	1.933498e+00	6.002229e+01	RPL30;RTCA;NUDT1;ENO1;RPL7;RRP9;UBE2L3;CRKL;CCAR1;RPS15;LGALS3;LGALS1;RPS19;RPL18A;RPL35;RPL37;SNRPD3;RPS12;DDX17;DDX18;RPL21;IMP3;RPL23;ACTN1;METTL3;CIRBP;ACTN4;CDC40;SND1;RPL24;CCDC86;SUCLG1;RPL26;RPL29;RPL28;RPN1;CSTF2;RTF1;SAMSN1;MRPL10;HELZ2;LARP1;PRDX1;PCBP1;PCBP2;APOBEC3G;PA2G4;MRPL23;MRPL21;EIF1;PUM2;MANF;RPS26;CCT6A;AIMP1;BST2;HNRNPM;SNW1;HNRNPF;FUBP1;RPS21;MRPS15;MRPS11;GDI2;ADK;NKAP;SMG5;TUBA1B;TMSB4X;NELFCD;LRRC47;MRPS26;MRPS21;MRPS7;UCHL5;RPUSD4;CSDE1;FRG1;ARHGEF1;PABPC1;ALDOA;DCP2;CSTB;RPL10;AHNAK;RPL12;SRRT;NOL7;RPS27L;PURA;PES1;RRP36;RPL15;CCT4;SF3A3;UTP6;MDH2;MCRS1;STAT3;RSRC2;KTN1;APEX1;SERBP1;ZYX;PRPF31;SRP19;RPP30;NUCKS1;THG1L;PPP1CC;KHSRP;NUDT16;SLC16A3;CHCHD1;PDIA3;PNISR;PUS1;TRNT1;ZCRB1;GTF2F1;HNRNPUL2;NCL;NHP2;RPP21;SRSF3;S100A4;SNRPF;PPIB;SRSF6;SNRPC;DAP3;KHDRBS1;VCP;RBM8A;RPS19BP1;RTN4;GTF2E2;UBC;G3BP1;G3BP2;NLRP1;LLPH;HSPA8;FUS;CPSF3;LSM1;EIF2S2;LSM4;EIF2S1;LSM3;CLK3;CNOT4;LSM6;SON;UBE2O;RSL24D1;EIF4G2;RBM25;HSP90AB1;DDX46;PSIP1;ADAR;YBX1;DDX41;RBM3;DUSP11;RPL7A;MRPL3;HSP90AA1;DDX58;NCBP2;DDX56;DDX54;DDX50;TSN;PKM;OAS1;THRAP3;SYF2;RPL37A;RBMS1;EIF4E2;NSRP1;LRP1;DDX23;U2AF1;SLC3A2;SAMHD1;ADD1;PUF60;POLR2D;EIF4H;ZNF622;CNBP;DEK;TPD52L2;SNRNP40;EIF3L;EIF3G;EIF3H;VIM;NAA15;RBMX
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	1.862649e-07	6.780044e-05	0	0	5.406550e+00	8.378042e+01	COX8A;NDUFA13;NDUFB6;NDUFA5;NDUFB5;NDUFA2;NDUFB2;NDUFA1;CYB561A3;COX5B;COX5A;CYB561D2;COX6B1;NDUFS6;NDUFS5;NDUFS4;UQCRFS1;NDUFS2;NDUFV2
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	1.813479e-06	3.772715e-04	0	0	2.332922e+00	3.084185e+01	VCP;HSP90AB1;DERL1;UBE2L6;NEDD8;BCL10;FHIT;GABARAP;SMG5;RELA;RTN4;HDAC6;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;BAG5;PCBP2;UBC;SNX9;CKB;RFFL;CCDC50;HSPA8;MOAP1;HSP90AA1;TPI1;SMAD3;DDX58;RPL23;PYHIN1;TUBB;LAPTM5;ISG15;PA2G4;TNFRSF1B;RBX1;NFKBIA;RRAGA;PSMA3;PINK1;JKAMP;TXNIP;NDUFS2;TMBIM6;EIF4E2;SQSTM1
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	2.072920e-06	3.772715e-04	0	0	2.273510e+00	2.975241e+01	HSP90AB1;UBE2L6;SMG5;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CCDC50;HSP90AA1;TPI1;DDX58;RPL23;TUBB;TNFRSF1B;RBX1;RRAGA;PSMA3;TXNIP;NDUFS2;TMBIM6;EIF4E2;SQSTM1;VCP;DERL1;NEDD8;BCL10;FHIT;GABARAP;RELA;RTN4;HDAC6;BAG5;PCBP2;UBC;SNX9;CKB;RFFL;HSPA8;MOAP1;SMAD3;STAT1;PYHIN1;STAT2;LAPTM5;ISG15;PA2G4;NFKBIA;PINK1;JKAMP
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	4.562905e-05	5.020429e-03	0	0	5.181121e+00	5.178512e+01	NDUFA13;NDUFB6;NDUFA5;NDUFB5;NDUFS6;NDUFS5;NDUFA2;NDUFS4;NDUFB2;NDUFA1;NDUFS2;NDUFV2
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	4.562905e-05	5.020429e-03	0	0	5.181121e+00	5.178512e+01	NDUFA13;NDUFB6;NDUFA5;NDUFB5;NDUFS6;NDUFS5;NDUFA2;NDUFS4;NDUFB2;NDUFA1;NDUFS2;NDUFV2
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	4.827336e-05	5.020429e-03	0	0	2.025435e+00	2.013005e+01	HSP90AB1;AHNAK;CAPG;SLC3A2;ENO1;BZW2;CLINT1;RTN4;ADD1;CRKL;GOLGA3;RPL7A;LDHA;LARP1;PUF60;PCBP1;PRDX1;PACSIN2;EFHD2;EIF4H;SNX9;RPL15;PAK2;S100A11;NCK1;VASP;SH3GLB1;UNC45A;LYPLA2;HSPA8;STAT1;SWAP70;SND1;KTN1;RAB11B;EHD1;RPS26;PKM;EEF1D;GLOD4;SERBP1;RPL24;CHMP4B;RPL29;ALDOA;EIF4G2
GO_Molecular_Function_2021	ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	9.117817e-04	6.049288e-02	0	0	7.746311e+00	5.422503e+01	ATP6V1A;ATP6V0B;ATP6V0E1;TCIRG1;ATP6V0D1;ATP6V1D
GO_Molecular_Function_2021	proton-transporting ATPase activity, rotational mechanism (GO:0046961)	9.117817e-04	6.049288e-02	0	0	7.746311e+00	5.422503e+01	ATP6V1A;ATP6V0B;ATP6V0E1;TCIRG1;ATP6V0D1;ATP6V1D
GO_Molecular_Function_2021	mRNA binding (GO:0003729)	9.367414e-04	6.049288e-02	0	0	1.898547e+00	1.323876e+01	KHDRBS1;RBM25;RBM8A;SHMT2;MRPS11;CSTF2;RPL7;LARP1;PCBP1;KHSRP;PCBP2;G3BP1;G3BP2;RPL35;NUDT16;NCBP2;CNBP;METTL3;CIRBP;MRPS7;EIF2S2;PUM2;RPS26;HNRNPM;PKM;FUBP1;NCL;SERBP1;RBMS1;RPL26;PABPC1;SRSF6;NSRP1;RBMX;EIF4G2
