Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	7.085646e-16	2.536661e-13	0	0	1.020466e+01	3.559720e+02	RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPLP0;RPL11;MRPL17;RPL10A;RPL8;RPL9;RPL6;MRPL11;RPL7A;RPL18A;RPL14;RPL13;RPL37;RPL39;RPL17;RPL19;RPL23;RPL22;RPL7L1;RPL27A;RPL37A;RPL27;RPL29;RPL28
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	5.806191e-15	1.039308e-12	0	0	1.027264e+01	3.367357e+02	RPL4;RPL5;RPL3;RPL32;RPL10;RPL12;RPLP0;RPL11;RPL10A;RPL8;RPL9;RPL6;RPL7A;RPL18A;RPL14;RPL13;RPL37;RPL39;RPL17;RPL19;RPL23;RPL22;RPL7L1;RPL27A;RPL37A;RPL27;RPL29;RPL28
GO_Cellular_Component_2021	ribosome (GO:0005840)	2.263453e-14	2.701054e-12	0	0	8.869275e+00	2.786664e+02	RPL32;RPL11;RRBP1;RPL10A;RPL8;RPL9;RPL6;RPS4X;RPL7A;RPL18A;RPS18;DNAJC21;RPS11;RPL39;RPS10;RPL19;BTF3;RPS9;RPS7;RPL23;RPS5;EIF2AK2;LARP4B;MRPS7;RPS28;APEX1;EIF3H;RPL27;RPS23
GO_Cellular_Component_2021	lysosomal membrane (GO:0005765)	1.571542e-10	1.406530e-08	0	0	2.749185e+00	6.205954e+01	LPCAT1;LAMP5;GLIPR1;LAMP2;AP1S2;FLOT1;CPNE3;SLC39A8;AP1S3;ATP6V1E1;SNAP29;SPG11;UBXN6;AP2M1;HLA-DPA1;NSF;STARD3;ATP6V1G1;ATP6V0B;SEC13;ATP6V0E1;ANXA2;STARD3NL;GAA;NFAM1;STX7;NDUFC2;CYB561A3;CKAP4;VAMP8;EEF1A1;RRAGA;NPC1;TMEM9;UBA52;HLA-DQB2;HLA-DQB1;GRN;PRCP;TMEM165;AP3M1;NCSTN;SYNGR1;HLA-DMA;HLA-DMB;BLOC1S1;AP2S1;SLC15A3;HLA-DQA2;ATP6V1C1;HLA-DQA1;CD74;HLA-DRB5;CTNS;MCOLN1;BST2;GNB1;HLA-DPB1;HLA-DRA;LAMTOR2;LAMTOR1;LAMTOR4;HLA-DRB1;LAMTOR5
GO_Cellular_Component_2021	integral component of lumenal side of endoplasmic reticulum membrane (GO:0071556)	5.061447e-10	3.019997e-08	0	0	1.515978e+01	3.244830e+02	CD74;HLA-DRB5;HM13;HLA-B;SPPL3;CANX;HLA-DPB1;HLA-DRA;CALR;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	lumenal side of endoplasmic reticulum membrane (GO:0098553)	5.061447e-10	3.019997e-08	0	0	1.515978e+01	3.244830e+02	CD74;HLA-DRB5;HM13;HLA-B;SPPL3;CANX;HLA-DPB1;HLA-DRA;CALR;HLA-DQA2;HLA-DQA1;HLA-DQB2;HLA-DRB1;HLA-DPA1;HLA-DQB1
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	1.790710e-09	8.581664e-08	0	0	2.325155e+00	4.683013e+01	SLC25A3;NDUFA11;MRPS14;COX4I1;CISD2;MRPS10;MRPL34;COX6A1;COX7C;TOMM22;TSPO;UQCRFS1;ACADM;TMEM14B;COX8A;STARD7;NDUFC2;MRPS21;SDHD;MRPS7;SDHB;MRPS18C;COX6B1;RAB32;OXA1L;NDUFS6;NDUFS4;NDUFS3;TMBIM6;VDAC1;AURKAIP1;UBA52;SLC25A11;EXD2;NDUFB9;TOMM40;NDUFB10;NDUFB5;COX15;IFI6;MRPL17;MRPL14;MRPL15;TIMM10;PHB;AMBRA1;MRPS30;SPG7;MRPL12;COX5A;MRPL11;MRPL55;LDHB;RHOT2;SLC25A29;UBB;UCP2;MFN2;CYC1;BID;NDUFV2;MCL1;NDUFA8;TIMMDC1;NDUFA4;NDUFA2;MX1;NDUFA1;MRPL23;COX6C;CRLS1;TTC19;TIMM10B;UQCRQ;NDUFAB1;CYCS;BAX
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	1.917690e-09	8.581664e-08	0	0	2.507801e+00	5.033694e+01	RPL4;ITGB1;RPL5;RPL3;RPLP0;ITGB2;GDI2;ARPC5L;RPL8;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;CSRP1;RPS18;CAPN2;FLOT1;ITGB7;CPNE3;RAC1;RPS11;RPS10;RPS9;ANXA1;RPS7;RPS8;RPL23;RPS5;RPL22;RHOG;RPS3A;YWHAZ;RPL37A;NUMB;RPL27;ITGB1BP1;LCP1;LAP3;PFN1;ARHGEF7;MAPRE1;PPIB;PPIA;VCL;RPL12;IQGAP1;HSP90B1;SLC9A3R2;NCSTN;PACSIN2;RSU1;RPS2;CD99;RPL19;GSN;HSPA5;PTPRC;ARPC3;FES;PI4KA;CALR;VIM;LIMS1
GO_Cellular_Component_2021	lysosome (GO:0005764)	2.921892e-09	1.162264e-07	0	0	2.308557e+00	4.536554e+01	HEXA;LAMP5;LAMP2;AP1S2;FLOT1;MFSD1;SLC39A8;AP1S3;ATP6V1E1;GYG1;SPG11;AP2M1;CTSC;UBXN6;HLA-DPA1;CTSB;NSF;SRGN;STARD3;ATP6V1G1;ATP6V0B;SEC13;ATP6V0E1;ANXA2;STARD3NL;RNASET2;GAA;PRKCD;STX7;CYB561A3;VAMP8;RRAGA;NPC1;RRAGC;NPC2;TMEM9;UBA52;HLA-DQB2;HLA-DQB1;PCYOX1;GRN;CXCR4;TMEM165;AP3M1;NCSTN;HLA-DMA;HLA-DMB;BLOC1S1;SLC15A3;HLA-DQA2;HLA-DQA1;ATP6V1C1;CD164;UVRAG;CD74;HLA-DRB5;FUCA2;CTNS;GZMB;MYO5A;KLHL22;MCOLN1;TMEM59;GNB1;PPT1;HLA-DPB1;HLA-DRA;LAMTOR2;TPP1;MAN2B1;LAMTOR1;LAMTOR4;HLA-DRB1;LGMN;LAMTOR5;ITM2C
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	3.322889e-09	1.189594e-07	0	0	2.466537e+00	4.815280e+01	RPL4;ITGB1;RPL5;RPL3;RPLP0;ITGB2;GDI2;ARPC5L;RPL8;RPL10A;RPL9;RPL6;RPS15;RPS4X;RPL7A;RPS14;CSRP1;RPS18;CAPN2;FLOT1;ITGB7;CPNE3;RAC1;RPS11;RPS10;RPS9;ANXA1;RPS7;RPS8;RPL23;RPS5;RPL22;RHOG;RPS3A;YWHAZ;RPL37A;NUMB;RPL27;ITGB1BP1;LCP1;LAP3;PFN1;ARHGEF7;MAPRE1;PPIB;PPIA;VCL;RPL12;IQGAP1;HSP90B1;SLC9A3R2;NCSTN;PACSIN2;RSU1;RPS2;CD99;RPL19;GSN;HSPA5;PTPRC;ARPC3;FES;PI4KA;CALR;VIM;LIMS1
