Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	5.393684e-48	1.981640e-44	0	0	2.571371e+01	2.798650e+03	EIF4A2;RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;ETF1;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPL22L1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	9.514976e-47	1.636116e-43	0	0	2.595958e+01	2.750901e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	1.335968e-46	1.636116e-43	0	0	2.434046e+01	2.571065e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPS3A;RPSA;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	1.797144e-45	1.650676e-42	0	0	2.038832e+01	2.100611e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;SPCS2;RPS27;RPS29;RPL27A;SRPRB;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	2.234794e-43	1.642127e-40	0	0	1.638728e+01	1.609346e+03	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SMG7;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;ETF1;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;UPF3A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RNPS1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	4.607005e-31	2.821023e-28	0	0	8.652507e+00	6.043997e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS18A;RPL13A;RPSA;RPS3A;EEF1A1;RPL37A;RPL27;RPL26;RPL29;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	6.969234e-31	3.657852e-28	0	0	7.656814e+00	5.316787e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;SMG7;RPL9;RPL7;RPS15;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;UPF2;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPS3A;RPL37A;RPL27;ETF1;RPL26;RPL29;UBA52;DDX5;RPL10;RPL12;RPL11;ZFP36L1;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;UPF3A;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL27A;RNPS1;RPS20;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	2.455172e-30	1.127538e-27	0	0	6.770770e+00	4.616267e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPL7;RPS15;EEF1B2;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPS10;RPS13;RPS9;RPL21;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS18A;RPL13A;RPSA;RPS3A;QRSL1;EEF1A1;EEF1G;EEF1D;RPL37A;RPL27;ETF1;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;PTCD3;RPL35A;RPL23A;EEF2;RPS25;RPS28;RPS27;RPS29;RPL27A;RPS20;RPL22L1;ABCE1;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	8.225035e-27	3.357642e-24	0	0	4.704887e+00	2.825878e+02	RPL4;RPL5;RPL30;FEN1;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;PWP1;RPL9;RPL7;RPS15;EEF1B2;RPS4X;RPL7A;RPS16;RPL18A;RPS19;RPS18;TOP1MT;RPL36;RPL35;RPLP2;RPL38;RPL37;NBN;RPS11;RPS10;RPS13;MEF2A;RPS9;RFC4;RPL21;RPS7;RPS8;RFC2;RPL23;RPS5;RPL22;RPS6;DHPS;MRPS18A;RPL13A;RPSA;RPS3A;EEF1A1;EEF1G;EEF1D;RPL37A;RPL27;MCM5;RPL26;RPL29;PTMA;BLM;SET;RPL10;RPL12;GCNT1;RPL11;RPS15A;POLD2;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL17;RPL19;RPL35A;NAP1L1;RPL23A;EEF2;FAM111B;RPS25;RPS28;GOLPH3;RPS27;FUBP3;RPS29;RPL27A;RPA3;RAD17;RNPS1;RPS20;RPS21;RPS24;EIF4G2;RPS23
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	4.328724e-23	1.590373e-20	0	0	6.339550e+00	3.264500e+02	RPL4;RPL5;RPL30;RPL3;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPL7;RPS15;FBL;RPL7A;RPS16;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS9;RPL21;RPS7;PIH1D1;RPL23;RPL22;RPS6;WDR74;DDX10;RPL13A;DKC1;RPL37A;RPL27;RPL26;RPL29;UBA52;DDX27;RPL10;RPL12;RPL11;BMS1;RPL13;RPL15;RPS2;RPL18;RPL17;RPL19;UTP6;KRR1;RPL35A;RPL23A;RPS25;RPS28;RPS27;RPL27A;NOL11;RPS24
