Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	actin binding (GO:0003779)	7.633859e-07	5.740662e-04	0	0	3.188440e+00	4.491077e+01	ITGB1;TWF2;PDLIM1;CAPZB;CALD1;TMSB4X;TMSB4Y;COTL1;DAG1;TNNI2;EMD;PDLIM7;SNCA;DBNL;DMTN;GSN;MAP1S;TPM1;TNNC2;PARVB;SSH2;PTK2;MAP1A;MYH9;CORO7;FXYD5;ALDOA;VCL;DBN1;MSRB1
GO_Molecular_Function_2021	nucleoside-triphosphatase activity (GO:0017111)	5.349531e-06	2.011423e-03	0	0	2.346887e+00	2.848769e+01	GNAZ;VCP;RALB;ATL3;ATL1;CLU;RHOBTB1;EFTUD2;RAP1B;GNA13;GNA15;OPA1;MTG1;ARHGDIB;MFN1;RAB6B;RAB8A;RAB4A;TOR1A;RABL2A;RAB27B;RHOF;CHD1L;RHOC;TOR1B;GNG11;RHOA;RAB11A;VWA8;RAB32;DNM3;MYL6;LSG1;RAB31;KIF2A;RHEB;GNB1;GNAS;MYH9;RAB38;GNB5;RHOQ
GO_Molecular_Function_2021	guanyl ribonucleotide binding (GO:0032561)	2.771878e-05	4.547529e-03	0	0	2.430367e+00	2.550281e+01	ARF3;ARF1;RALB;ATL3;ATL1;RHOBTB1;RAP1B;TUBA1C;TUBA1B;TUBB6;TUBB1;PIP4K2B;ARL5A;RAB8A;RAB4A;PDE2A;RAB27B;RHOF;RHOC;TUBB4B;RHOA;TUBA4A;RAB32;RAB10;LSG1;TUBB2A;RAB31;RHEB;RAB13;RAPGEF2;RAB38;RHOQ;TUBA8
GO_Molecular_Function_2021	protein serine/threonine kinase inhibitor activity (GO:0030291)	3.256636e-05	4.547529e-03	0	0	6.968858e+00	7.200385e+01	CDKN2D;HEXIM2;CDKN1A;CDKN2B;PRKAR1B;PRKAR2B;CDKN2A;PRKAR1A;HSPB1;PKIG
GO_Molecular_Function_2021	GTP binding (GO:0005525)	3.397521e-05	4.547529e-03	0	0	2.481664e+00	2.553602e+01	ARF3;ARF1;RALB;ATL3;ATL1;RHOBTB1;RAP1B;TUBA1C;TUBB6;TUBA1B;TUBB1;PIP4K2B;ARL5A;RAB8A;RAB4A;RAB27B;RHOF;RHOC;TUBB4B;TUBA4A;RHOA;RAB32;RAB10;LSG1;RAB31;TUBB2A;RHEB;RAB13;RAB38;RHOQ;TUBA8
GO_Molecular_Function_2021	GTPase activity (GO:0003924)	3.628347e-05	4.547529e-03	0	0	2.391398e+00	2.445001e+01	GNAZ;RALB;ATL3;ATL1;RHOBTB1;EFTUD2;RAP1B;GNA13;GNA15;OPA1;MTG1;ARHGDIB;MFN1;RAB6B;RAB8A;RAB4A;RABL2A;RAB27B;RHOF;RHOC;GNG11;RHOA;RAB11A;RAB32;DNM3;LSG1;RAB31;RHEB;GNB1;GNAS;RAB38;GNB5;RHOQ
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	9.956041e-05	1.069563e-02	0	0	1.970274e+00	1.815558e+01	ITGB1;TWF2;ARHGAP18;PTPRJ;PARK7;F11R;GOLGA2;PDLIM1;LASP1;CAPZB;CALD1;PACSIN2;FLNA;SNX9;EMD;TMPO;SH3GL1;ACVR1;VASP;UNC45A;DBNL;JUP;TMOD3;PTPN11;EPS15L1;PRDX6;CKAP5;RAB10;PKM;CTTN;STK24;VAPA;CHMP4B;MYH9;TAGLN2;PKP4;FXYD5;TLN1;ALDOA;CD46;DBN1;VCL;EIF4G2;TJP2;PLEC
GO_Molecular_Function_2021	clathrin adaptor activity (GO:0035615)	1.790599e-04	1.683163e-02	0	0	9.043988e+00	7.802963e+01	DAB2;HIP1;AP2S1;AP2A1;STON2;LDLRAP1;AP2M1
GO_Molecular_Function_2021	ubiquitin-like protein conjugating enzyme binding (GO:0044390)	3.257263e-04	2.721624e-02	0	0	4.765846e+00	3.826713e+01	RNF144B;ANKIB1;SIAH2;TOLLIP;RNF217;AUP1;PARK7;ARIH1;RNF5;RNF185
GO_Molecular_Function_2021	tubulin binding (GO:0015631)	5.107178e-04	3.840598e-02	0	0	1.915490e+00	1.451883e+01	GPAA1;HDAC6;GOLGA2;POLB;IFT74;MAP1LC3B;KIF3B;OPA1;KIF5C;DAG1;GAS2L1;MARK4;EMD;CLASP1;CDK5RAP2;SNCA;GABARAPL2;GABARAPL1;MAP1S;HOOK3;CKAP5;RAB11A;AGBL5;DNM3;CLIP2;EML6;PSRC1;KIF2A;VAPA;CENPJ;MAP1A;TUBGCP5;TTLL12;EFHC2;ALDOA;MAPRE2;GAPDH;MDM1
GO_Molecular_Function_2021	protein kinase binding (GO:0019901)	7.343384e-04	5.020204e-02	0	0	1.637027e+00	1.181367e+01	ITGB1;ATF2;CDKN1A;GSK3A;IRS1;PLEK;HSPB1;ILK;AP2A1;PTPRJ;ACTB;GOLGA2;CCND3;DUSP10;CDK5RAP2;ACVR1;MAP4K2;PRKCB;PRKCD;AP1B1;AXIN1;TRAF2;RHOF;RHOC;SIRT1;DUSP6;TUBA4A;RHOA;DUSP7;CDC25B;DUSP22;PRKAR1B;PRKAR1A;CD226;TRIB1;SQSTM1;ATF4;HDAC5;TWF2;ADIPOR1;RHOBTB1;GRK5;IRAK1;PRKAR2B;PDCD10;RBBP6;CDKN2D;CDKN2B;CDKN2A;MSN;PTPN11;PTK2;CENPJ;CALM3;GRB2;LAT;LIMS1;BCL2L1;TJP2
GO_Molecular_Function_2021	cyclin-dependent protein serine/threonine kinase inhibitor activity (GO:0004861)	8.848808e-04	5.356042e-02	0	0	1.129118e+01	7.937764e+01	CDKN2D;HEXIM2;CDKN1A;CDKN2B;CDKN2A
GO_Molecular_Function_2021	nerve growth factor binding (GO:0048406)	9.971354e-04	5.356042e-02	0	0	inf	inf	SORT1;FURIN;PCSK6
GO_Molecular_Function_2021	neurotrophin binding (GO:0043121)	9.971354e-04	5.356042e-02	0	0	inf	inf	SORT1;FURIN;PCSK6
GO_Molecular_Function_2021	non-membrane spanning protein tyrosine phosphatase activity (GO:0004726)	1.264131e-03	5.931838e-02	0	0	1.805560e+01	1.204917e+02	DUSP22;PTPN18;PTPN11;PTPN12
GO_Molecular_Function_2021	P-type proton-exporting transporter activity (GO:0008553)	1.264131e-03	5.931838e-02	0	0	1.805560e+01	1.204917e+02	ATP2A3;ATP2A2;ATP2C1;ATP6V1E1
GO_Molecular_Function_2021	myosin binding (GO:0017022)	1.340974e-03	5.931838e-02	0	0	3.771430e+00	2.494559e+01	NCKIPSD;RAB10;GSN;CALD1;RAB27B;RAB6B;TRIOBP;RAB8A;RHOA;RAB11A
GO_Molecular_Function_2021	SH2 domain binding (GO:0042169)	1.526284e-03	6.310356e-02	0	0	4.071476e+00	2.640319e+01	RUFY1;AFAP1L2;IRS1;NUP62;DAG1;AFAP1;NLK;SQSTM1;PTK2
GO_Molecular_Function_2021	insulin-like growth factor receptor binding (GO:0005159)	1.624341e-03	6.310356e-02	0	0	9.032211e+00	5.801076e+01	SOCS2;IRS1;GNAS;ARRB1;YWHAH
GO_Molecular_Function_2021	pyrophosphate hydrolysis-driven proton transmembrane transporter activity (GO:0009678)	1.678286e-03	6.310356e-02	0	0	5.273522e+00	3.369771e+01	ATP2A3;ATP6V1B2;ATP2A2;TCIRG1;ATP2C1;ATP6V1E1;ATP6V1D
GO_Molecular_Function_2021	ubiquitin binding (GO:0043130)	2.507272e-03	8.978420e-02	0	0	2.565119e+00	1.536137e+01	FAF2;HSPB1;AUP1;RAD23B;GGA3;NPLOC4;UBXN11;TOLLIP;NUP62;RBCK1;UBAP1L;MARK4;SQSTM1;RNF185;VPS28
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	2.676052e-03	9.147233e-02	0	0	1.708193e+00	1.011833e+01	CDKN1A;VCP;RALB;FAF2;CUL2;RNF8;ARRB1;SMC6;AUP1;NLK;CLU;TRIOBP;HDAC6;ACTG1;MAP1LC3B;TUBA1B;UBB;PRKAR2B;SUMO3;UBC;SNX9;ARIH1;NAE1;GABARAPL2;GABARAPL1;UBE2B;UBE2C;AXIN1;TRAF2;STAM;PRDX6;RBX1;NPLOC4;PRKAR1A;LTBR;TRIB1;SQSTM1;BLZF1;VCL
GO_Molecular_Function_2021	protein tyrosine phosphatase activity (GO:0004725)	3.292987e-03	1.076664e-01	0	0	3.017157e+00	1.724595e+01	DUSP22;PTP4A2;PTPN18;PTPRA;EYA3;PTEN;PTPRJ;PTPN11;PTPN12;ACP1;CDC25B
GO_Molecular_Function_2021	microtubule binding (GO:0008017)	3.646789e-03	1.121776e-01	0	0	1.857526e+00	1.042798e+01	HDAC6;GOLGA2;POLB;MAP1LC3B;KIF3B;OPA1;KIF5C;GAS2L1;MARK4;CEP290;CLASP1;CDK5RAP2;GABARAPL2;MAP1S;HOOK3;CKAP5;RAB11A;DNM3;CLIP2;EML6;PSRC1;KIF2A;VAPA;MAP1A;TUBGCP5;MAPRE2;GAPDH;MDM1
