,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
0,RPS3,LYZ,CD74,GZMK,NKG7,FTL,CD74,PPBP
1,BRWD1,S100A9,HLA-DRA,NKG7,GNLY,LST1,HLA-DRA,PF4
2,RPS25,S100A8,RPL18A,S100A6,GZMB,ACTB,LYZ,GPX1
3,SELL,FTL,CD37,CCL5,PRF1,PRELID1,CST3,TMSB10
4,VIM,LGALS2,CD79A,TXNIP,FGFBP2,FTH1,HLA-DPA1,OAZ1
5,RBM39,RPL32,FTL,CST7,CTSW,RPLP2,HLA-DPB1,HIST1H2AC
6,MT-ND4,LGALS1,CD79B,PFN1,HLA-C,RPL28,HLA-DRB1,TMSB4X
7,RPL22,MT-ND1,HLA-DPB1,GZMA,B2M,HLA-B,GZMB,FTL
8,RPL7A,MT-ATP6,RPL12,UBB,TYROBP,RPL29,RPL10,FTH1
9,RPL21,RPS24,MS4A1,CTSW,HLA-E,C1orf162,RPL19,SDPR
10,RPS14,UBXN1,RPL21,CCT2,ARHGDIB,SRGN,SRGN,TSC22D1
11,NEMF,NEAT1,IGLL5,HLA-C,GZMA,RPL24,UBB,GRAP2
12,UBXN4,MT-CO1,RPS27,IL32,FCGR3A,RPL23,HLA-DQA1,GNG11
13,RPL30,DUSP1,IGJ,S100A4,C14orf166,RPS19,RPS18,ACRBP
14,RPLP2,RPS11,RPS19,CDC42EP3,CST7,ARPC1B,S100A9,MYL12A
15,RPS27A,RPL11,RPS23,COX6C,PHF14,SAT1,FCER1A,CD74
16,MT-ND2,CALM1,RPL10A,RPSA,RPL15,COTL1,VIM,NGFRAP1
17,RPL13A,FTH1,EEF1B2,TMEM222,RPS4X,TYROBP,RPS2,C2orf88
18,SRP14,HNRNPA1,RPS15A,PTPRCAP,DHRS7,FCGR3A,ANXA1,TUBA4A
19,RBM7,IER2,COX4I1,RPL28,FCER1G,MT-CYB,RPL6,CCL5
20,MALAT1,C4orf33,JUNB,PTPN4,RPS6,IFITM2,RPL11,TUBB1
21,NAP1L1,CFD,HLA-DPA1,PCSK7,TMX2,RPL10,RPL12,PTCRA
22,RPL3,ZNF394,LTB,SH3BGRL3,RPL23A,S100A4,GNB2L1,PTMA
23,TRAPPC1,NPC2,RPL18,RPL36,SRGN,IDH2,ARAP1,GSTO1
24,RPS28,EDF1,RPS18,RPLP0,ID2,WARS,WHAMM,ARPC5
25,RPS10,H3F3B,RPLP2,RPS12,SPON2,RPL35,RPS7,NRGN
26,NOSIP,RRS1,LAPTM5,RPL13A,PSMA7,ISG15,RPL3,TAGLN2
27,RPS20,ASAH1,RPL5,CCNI,ZNF32,GZMB,H3F3B,CFD
28,ATP5H,NBR1,HLA-DQA1,LRRFIP1,RPL29,MALAT1,HLA-DRB5,TMEM40
29,MT-ATP6,RPS9,RPL15,RPL17,HLA-B,SH3BGRL3,RPL5,RGS10
30,RGCC,RPS4X,CGRRF1,HMGB2,CLIC3,CDA,CEBPB,RPLP1
31,RPL35,TMSB10,HLA-DRB1,LEPROTL1,TTC3,SAMM50,NACA,PRUNE
32,SH3BGRL,ATP5G2,RPL11,ANKRA2,XCL2,CST3,RPL23,RUFY1
33,ATP5G2,RPS16,BTG1,FOS,TMSB10,ADI1,HLA-DMA,MPP1
34,ACTG1,JUNB,TPT1,B2M,MLLT11,UBE2D3,SRSF7,SAT1
35,FAM210B,GSTP1,TCL1A,CTC-444N24.11,PSMC4,RPL7A,RPS5,RPS19
36,PPDPF,BRI3,CD52,GZMH,CD7,PPBP,HLA-DQB1,EOGT
37,PLP2,LY6E,EIF5B,RIC3,NT5C,C1QB,RPS8,MMD
38,RPL38,PSMA7,HLA-DQB1,ANXA2R,PLAC8,MYL6,CYBA,RAP1B
39,PTMA,S100A10,RPL29,STOML2,GOSR2,FAM26F,EIF3K,RHEB
40,JUNB,STRA13,LINC00926,RPS3,SELL,ABI3,NPC2,GP9
41,TMEM50A,TMSB4X,RPL23A,NCR3,JUN,ATP5L,RPS15,CLU
42,TAF1D,MT-CO3,RPL35,MALAT1,CALM1,RPL18A,RPLP0,MT-ND1
43,RPS13,MS4A6A,RPL9,DUSP2,RPL24,RPL12,COMMD5,TALDO1
44,TMSB10,SNRPB,SAFB2,MRP63,CD63,RPS15,CUL4B,CA2
45,CD3D,NKIRAS2,HLA-E,SDCBP,IFITM2,MT2A,RPL10A,TPM4
46,CISH,FAU,CCDC107,RP5-1028K7.2,GZMM,PSAP,IRF7,ODC1
47,CRIP1,ATP5O,RPL7,GIMAP4,MYL12A,CCL5,TYROBP,CLDN5
48,JUN,C6orf48,RPL8,MT2A,ITGB2,EIF1,RNASET2,CALM3
49,N4BP2L1,RFXANK,RPLP1,RPL18A,NDUFB11,COX5B,SPCS1,CD9
50,RPS9,RPS27A,ISG20,RPL4,GZMH,TMSB4X,IFI6,H3F3B
51,EAPP,HLA-DPA1,GLG1,MT-CO2,EIF4A1,RHOC,S100A8,SH3BGRL3
52,SRSF3,FCN1,HLA-C,PPIA,CD247,RAB8A,PLAC8,RGS18
53,GLYCTK,TNFSF13B,RPL37A,RPS16,MT-CO1,DRAP1,RPS4X,C4orf3
54,IL32,ZNF106,CXCR4,RARRES3,RPS7,CSTB,IRF8,NAP1L1
55,GALT,FYB,KLF2,CD8A,HOPX,MVD,RPL8,RPL35A
56,MAL,FAM32A,CD48,HCST,KLRG1,C1QA,LSP1,FCER1G
57,VAMP8,S100A6,RPL34,POLR2L,CNBP,RPL37A,RPL14,MAX
58,FYB,PNRC1,EIF3I,HLA-E,PPIA,RPL30,PLD4,PTPN18
59,RPL31,OLA1,SLC25A3,UBC,KLF6,ISCU,LILRA4,SPARC
60,RBPJ,RPL27,RPL24,UBXN1,HLA-A,RPL21,S100A10,LIMS1
61,TCP1,SRSF5,PTPN6,GPSM3,CRTAP,PPDPF,ARPC3,MAP3K7CL
62,EIF3F,RHOA,EIF1,IFI44,IGFBP7,HLA-DRB1,RPL28,ITM2B
63,SKP1,RPL13,RPSA,RPL3,TTC8,LILRA3,CLEC10A,AC147651.3
64,TMEM123,RPL6,PWP1,RPS27A,REEP5,EFHD2,GSTP1,OST4
65,GPS1,CXCL10,HNRNPDL,LAMP2,BTG1,CYBA,SERPINF1,H3F3A
66,ARID4A,CD63,VPREB3,HLA-A,BST2,LDHA,GPX1,FERMT3
67,RPL18,TPT1,NACA,RPL14,XCL1,NDUFA11,RPL9,NFE2
68,APRT,CHMP1B,CAND1,MOCS2,SAAL1,RPL37,FKBP3,NCOA4
69,B2M,TNFRSF1A,RPS7,MT-CYB,XBP1,IFITM3,ITM2C,PPIB
70,POLR3GL,CTSS,PTPRCAP,RPL10,EEF2,LSM6,IL8,TIMP1
71,MT-ND1,FGR,WTAP,HNRNPA1,PSMB9,MT-ND4,TAGLN2,GPX4
72,GTF3A,ITM2B,RPS29,EIF1,PTGDR,NKG7,TMEM165,YWHAH
73,RPL11,CCL3,TSC22D3,HNRNPM,CTSD,RPS21,EEF1A1,PRDX6
74,DDX17,RPL36A,EVL,FXYD5,HSP90AA1,SERPINA1,LIMD2,ESAM
75,CD69,SUMO3,JUN,NDUFA4,RPL35A,YBX1,ZNF263,SRGN
76,HMGN1,CDC5L,RASGRP2,RPL27A,ANXA6,ADAR,VAMP8,DNAJB6
77,GIMAP7,C19orf43,PTMA,LDHA,IL2RB,SLC25A6,CFP,NT5C3A
78,CWC15,CD14,TINF2,ANXA1,ABI3,FKBP1A,ALDH2,CTSA
79,GAPDH,EIF3K,CD69,RPS3A,DYNLL1,SERF2,IL1B,RPS11
80,OCIAD2,TMEM208,EAF2,PGK1,PTPN7,CASC7,CAPNS1,YBX1
81,CCDC109B,S100A4,ARHGDIB,CFL1,CIRBP,CD44,OAZ1,H2AFJ
82,DBI,CSF3R,RPS6,NFKBIA,ANXA1,TPI1,FOS,ARF1
83,NEAT1,NOSIP,RPL31,IER2,PTMA,AP1S2,PPIA,HLA-C
84,RPS23,SELK,HLA-DRB5,ZRANB3,KLRD1,SQSTM1,ZFP36,PDLIM1
85,TRAF3IP3,MT-CO2,RPS5,RPL27,DEF6,GABARAP,DBI,MYL6
86,RPS19,GPSM3,RPS21,ATP5A1,GHITM,PSMC4,RNASE6,LYL1
87,NBEAL1,ARPC2,HLA-DMB,RPS24,LCP1,ZNF706,EIF4A1,PGRMC1
88,NDUFC2,PSMD4,HNRNPA2B1,CXCR4,CCL3,AIF1,TXN,SEPT5
89,HCLS1,DEDD,BANK1,ZAP70,EMP3,LAPTM5,GRN,LAMTOR1
90,RPL27A,THYN1,RPS11,PHACTR4,CCL4,TMEM176B,HERPUD1,PRDX5
91,CD3E,PPIL2,EEF2,GIMAP5,PSME1,ACTG1,ZNF330,TGFB1
92,RPL35A,TALDO1,POLD4,C9orf16,AKR1C3,TUBA1B,RPL4,MZB1
93,CD40LG,ZFP36,FCRLA,PACS1,ARPC5L,MT-CO2,RPL7A,CDC42SE2
94,NAP1L4,CTSZ,GUCD1,DDX46,S100B,MYL12B,MYL12A,RPL35
95,RPS29,EIF4A1,SNX2,AMICA1,DUSP1,ATP5I,RPL32,ILK
96,COMMD6,CHIC2,RPL27,ATP6V0E1,FNBP1,RPLP1,CHCHD2,FAM110A
97,RGS10,FOS,EIF4A2,PRDX3,RPS2,COX8A,EIF3L,CMTM5
98,TOMM20,WDR83OS,TOMM7,PRR5,PIM1,C19orf53,RPS9,MAPK14
99,H2AFZ,SNRNP35,TRPC4AP,UBE2D2,SIVA1,LGALS3,COMMD6,PPDPF
100,CR1,RPL23A,RPSAP58,ATP5E,PRDX5,RXRA,HLA-DQA2,ETFA
101,RRAGC,APOBEC3B,LY86,PFDN5,ACADM,APMAP,FCER1G,HIST1H2BJ
102,SH3GLB1,CD37,FAIM3,TMX2,NACA,PRR13,RPL27A,MIF
103,FERMT3,EIF3M,DDX56,PLA2G12A,SERF2,WDR1,ALOX5AP,TMEM140
104,EEF1A1,CD74,YBX1,C9orf142,ARPC3,ARPC1A,CLIC3,CCND3
105,EDF1,NCF2,SNX3,HSPA5,STX5,GIMAP4,LAMTOR1,TREML1
106,RPS15A,EMC10,DDX5,ITSN2,PRSS23,RPL36AL,AP2S1,VDAC3
107,SLC2A3,KLF6,MYCBP2,APOBEC3G,RPSA,BID,TYMP,CLEC1B
108,COX4I1,RPL31,SAT1,C12orf57,LIMD2,TPM3,CXCR3,SLC40A1
109,ITM2B,ANXA2,NCF1,STX18,SSR2,APH1B,ATP5G3,DMTN
110,POLR2E,RGS2,HLA-DQA2,CCDC91,IFITM1,RPL7,C1orf162,AP3S1
111,PRDX2,TRIM14,GNB2L1,ABT1,CD69,ATP1B3,ZNHIT1,NDUFB7
112,NSMCE1,RAC1,FAU,BLOC1S1,PABPC1,DNAJB11,CLEC4C,MYL9
113,RPS15,GRN,CD72,RPL7,EMG1,PGLS,DNASE1L3,CLIC1
114,LDHB,HIGD2A,CYB5A,RPL36AL,RHOC,ACAA1,AP1S2,CCDC85B
115,CPQ,RPL3,TXNIP,POLR1D,LAMTOR2,TBC1D10C,MZB1,UBL5
116,C1orf162,MRPL9,AL928768.3,TMED10,RPS20,PKM,ALDOA,PLA2G12A
117,GIT2,CST3,CLIC1,CD3D,RPL32,LRRC25,PTGDS,RPL36A
118,RPL36A,RPS14,FCER2,NME3,HCST,CASP4,ID2,CD99
119,NDUFA12,MYADM,P2RX5,ATP5L,MRPL23,EEF1D,PPP1R14B,FKBP1A
120,RPL41,CEBPD,STX7,RORA,RPS14,ARL6IP5,SRP14,RBX1
121,GUSB,APOBEC3A,EVI2B,USP8,RPL10,COPE,SEP15,ICAM2
122,NOL7,GABARAPL2,SMIM14,METTL9,CHMP2A,TMED5,APP,GLA
123,BIN2,CPPED1,UBA52,UBA52,SLC25A5,FXN,GABARAP,SMOX
124,SH3BP5,CD99,RPL19,CLPP,RPS15A,ATP6V0D1,SSR4,RASGRP2
125,STK17B,VPS29,GNG7,RPS26,ICAM2,S100A6,EEF1B2,TSC22D3
126,TRIT1,POLR2G,COQ7,NFE2L2,MATK,MT-CO1,ARF5,TUBA1C
127,BTG1,NAAA,RPL17,MZT2A,GPR56,UFC1,LILRB4,PARVB
128,RPL9,GPX4,HLA-F,ATXN10,CLIC1,EVL,SCT,ITGA2B
129,PTGES3,EVI2B,GLTSCR2,GLRX3,CCDC12,HCLS1,H2AFY,AP001189.4
130,TRABD2A,ST20,TAGLN2,RPL13,SCP2,FCER1G,CIR1,FXYD5
131,RNASET2,MPEG1,ISCU,FUS,APMAP,ATP5H,COX6A1,MTPN
132,SOCS3,ZBP1,COMTD1,EID1,RPL3,NDUFA2,SRSF2,HIST1H2BK
133,LAT,HLA-DMA,AKNA,RPL26,GMFG,CHCHD10,UBA52,PNMA1
134,TBCC,SGK1,RTFDC1,SPSB3,H3F3B,UBC,DBNL,MFSD1
135,RTN4,COX7A2L,HMGB1,MT-ND5,DRAP1,HCST,MRPL14,RP11-367G6.3
136,RGS1,HSD17B11,RPL22L1,ATP5J,SLC25A3,UBE2L6,RPL18A,C19orf24
137,ATXN7L3B,POLR2J,HVCN1,UBE2D3,RPL6,RPS26,TMED2,FAM212A
138,SNRPD2,CD48,ANAPC16,PRDX5,TMEM141,PABPC1,ANXA2,SERF2
139,TTC39C,EXOC6,PPA1,RPS4X,LSM6,VAMP8,ARL4C,TLN1
140,C6orf48,TOMM7,PNOC,RPL15,ARF5,MRPS26,RPS10,FAM212B
141,ANXA5,RPL23,SRSF5,NPM1,CTSC,TIMM13,C9orf142,ARPC1B
142,LYPLA1,NHP2L1,SNHG7,POLR3K,APH1A,CSNK2B,COX8A,HSP90AA1
143,MLLT11,MRPL20,C15orf57,NDUFV2,PPP2R5C,CEP85L,RNF130,VAPA
144,CEBPB,ST13,STK17A,PRMT2,NDUFB2,LAP3,NDUFAB1,CDKN2D
145,LY6E,GNG5,PEBP1,MX2,SF3B5,ARF6,BST2,NDUFAF3
146,LDLRAP1,SAT2,FAM65B,TBCB,RPS3A,IFITM1,PLSCR1,LGALSL
147,MED28,SRSF2,MEF2C,NDUFA5,LSM1,RASSF5,SPCS2,RPS12
148,IGBP1,PCGF1,LAMTOR4,INTS12,MRPS7,GNAI2,GADD45B,TMEM91
149,COX7C,NANS,ADA,AHSA1,ACTB,GLUD1,CSTB,RPS28
150,ERP29,METTL9,HNRNPK,RPS8,EFHD2,RNH1,RPL29,HIST1H1C
151,SOD1,RPL34,RPL30,RPS2,TTC38,C9orf142,COX6B1,MARCH2
152,CAPZB,RPL7,FAM26F,GZMM,ICAM3,COX7C,BAG1,RAB32
153,DNAJA1,FPR1,SCAND1,TMEM165,PGK1,ENO1,CALM2,TPM1
154,LZTS2,ATP6V1G1,LRRFIP1,TIGIT,PTPRC,ISOC2,RNF181,CALM1
155,ATAD1,UBE2D1,RPL36,RALY,FIS1,TSPO,CEBPD,GFI1B
156,FTH1,LINC00936,MARCH1,CD48,GLRX,GNAI3,CCDC50,LY6G6F
157,RPS8,AP2S1,PKIG,LDHB,RBL2,SLA,PLP2,BBC3
158,ENTPD3-AS1,CLNS1A,HSP90AB1,GUK1,EIF4A2,RP11-792A8.4,RPL17,C9orf89
159,MRPS36,RWDD1,TYMP,MT-ND3,CD164,OAS1,NDUFS3,ERV3-1
160,CORO1B,LILRA5,PNISR,RPL34,GIMAP7,PRDX1,RNH1,RAB10
161,NDUFS5,EIF3F,MARCKSL1,RAD51B,SCFD1,GDI2,WDR61,RBBP6
162,GSTK1,COX4I1,RP1-313I6.12,CTNNB1,TMBIM6,NINJ1,KLF4,PYCR2
163,STAT1,PYCARD,PLEKHF2,LINC00152,BIN2,POLR2I,TGFBI,RHOC
164,EGLN2,BTF3,RHOA,CITED2,WAS,MNDA,ATP6V1G1,C9orf16
165,RPL23A,TMEM219,RAN,RNF14,SNX3,C5AR1,GDI2,POLR2L
166,UBA52,MZT2B,ARL4A,ADRM1,PNRC1,NME3,CYB561A3,ASAH1
167,RGL4,HSPA5,CXXC5,MLX,ALOX5AP,H2AFY,MT-ND6,ACTN1
168,DERL1,C1QBP,RBBP7,HNRNPR,SRSF3,STXBP2,UCP2,CD82
169,TFG,HMGB2,BBX,MMADHC,PLEKHF1,HLA-F,NCF2,STXBP2
170,EIF4H,SELT,PSMB8,ANXA2,VAMP2,DCTN3,ATP6V0E1,GMPR
171,XXbac-BPG299F13.17,RPL41,RPS25,ACTB,CSNK2B,MS4A7,SERF2,EFTUD2
172,PPP1CA,ATP5J,TANK,TMEM147,MRPS34,PLAC8,SEC61B,MKRN1
173,RPL5,PFDN5,ARPC3,MKRN1,PTPN6,PDCD2,DNAJC8,RHOA
174,ABRACL,LY86,ZCCHC7,ARL4C,HSPA8,ATP5E,BID,ATF4
175,TCEA1,CNPY3,IFT57,IL7R,HINT1,G0S2,GAA,RPL37A
176,CYLD,UBXN4,SWAP70,DPY30,PSMB8,TCEB2,RPL37,PTBP1
177,MRPL21,SRSF9,SP140,SMIM7,WDR45,PSME2,TMED10,SPOCD1
178,LUC7L3,NDUFB1,NBEAL1,MSI2,SUN2,LSP1,PSME1,NDUFB9
179,RPL13,THEMIS2,SMAP2,ATP5J2,PCMT1,CTSS,GSN,DYNLL1
180,ATP1A1,UCP2,PDLIM1,GNAS,PSME2,METTL13,GLIPR1,GP1BA
181,DARS,ATP5E,QRSL1,OCIAD1,CD300A,CSK,RAC1,TMEM219
182,PAIP2,CYBA,CD53,NDUFB3,ARHGDIA,NDUFA1,CD302,WDR1
183,SBDS,RABAC1,ELOVL5,FDPS,EEF1D,GIMAP2,CAPG,SUPT4H1
184,COTL1,UBXN11,LAT2,NAA20,RPL10A,SLC16A3,CHMP5,AATK
185,TAGAP,IFI27,SYPL1,NKTR,NOP58,CHMP4B,RPS23,STX11
186,CCR7,TMEM256,CD22,STK17A,EIF3I,DUSP23,CNPY3,LMNA
187,MYL12A,ORMDL2,GABARAPL2,SLC3A2,C5orf56,EIF3G,GRINA,DAB2
188,PASK,GSTK1,KIF5B,NDUFB8-1,RPL41,CST7,COA5,MT-ND2
189,CHMP4A,CTD-2035E11.3,SYNGR2,HNRNPC,TMEM230,PNISR,FCGRT,RABGAP1L
190,TIMP1,NDUFB11,CCNI,SYNE1,C1orf162,SOD1,CYCS,WBSCR22
191,C14orf80,S100A11,IFIT5,SNRPF,C19orf43,CCT7,RPS3A,CAPN1
192,TMEM66,CARD16,PFDN5,RABAC1,PPP1R18,MTCH1,FAM49B,HHEX
193,FKBP1A,MRP63,SNRPD2,BSG,NDUFB10,STX7,ANTXR2,TPST2
194,EMC7,PHACTR1,ORAI2,XRCC6,RPS24,SLC7A7,DDX5,DAPP1
195,CD52,PDIA6,FCRL1,HIST1H1C,ORAI1,SRSF3,S100A6,SNAP23
196,NDFIP1,BLVRB,NSA2,TMEM248,CFL1,KARS,PSME2,NENF
197,TMSB4X,ZNF703,AES,TIAL1,RPS19,ANKZF1,POMP,GLUL
198,ARVCF,DYNLT1,RPL37,RSF1,TPST2,VASP,ATP6V0B,F13A1
199,FLT3LG,RHOG,BTK,RAB8A,CAST,PPIB,PPIB,RAB37
200,THRAP3,RANBP1,SP100,TAF7,SEPT7,PCBP2,CYC1,ADIPOR1
201,ISG20,ALDH2,LYST,ENO1,JAK1,DERL1,CTSC,EIF1B
202,SREK1IP1,CLTB,WIPF1,SERBP1,KLRC1,DTYMK,LCP1,RP11-879F14.2
203,SF3B1,MGMT,SDCBP,EEF1B2,ORMDL3,STK10,OS9,TUBA8
204,AES,HSD17B10,RAC2,SDHAF2,GYPC,VMP1,CYTH4,PAIP2
205,RPL14,NENF,CD82,TGFB1,RAP1B,SNHG15,MRPL17,CHCHD10
206,ACAP1,COMMD6,ZFP36L1,RPLP1,COX5B,ZMAT2,EIF3J,NDUFS5
207,SCML4,HLA-DRB5,HLA-DOB,ZBTB8OS,SELM,OST4,VIMP,UQCRH
208,U2AF1,ANAPC16,CD55,HSD17B11,SRSF2,CD3G,H1FX,AMD1
