,CD4 T_names,CD4 T_scores,CD4 T_pvals,CD4 T_pvals_adj,CD4 T_logfoldchanges,CD14 Monocytes_names,CD14 Monocytes_scores,CD14 Monocytes_pvals,CD14 Monocytes_pvals_adj,CD14 Monocytes_logfoldchanges,B_names,B_scores,B_pvals,B_pvals_adj,B_logfoldchanges,CD8 T_names,CD8 T_scores,CD8 T_pvals,CD8 T_pvals_adj,CD8 T_logfoldchanges,NK_names,NK_scores,NK_pvals,NK_pvals_adj,NK_logfoldchanges,FCGR3A Monocytes_names,FCGR3A Monocytes_scores,FCGR3A Monocytes_pvals,FCGR3A Monocytes_pvals_adj,FCGR3A Monocytes_logfoldchanges,Dendritic_names,Dendritic_scores,Dendritic_pvals,Dendritic_pvals_adj,Dendritic_logfoldchanges,Megakaryocytes_names,Megakaryocytes_scores,Megakaryocytes_pvals,Megakaryocytes_pvals_adj,Megakaryocytes_logfoldchanges
0,RPS12,32.109062,3.2948010128909954e-226,4.518490109078711e-222,66.59754,LYZ,33.72102,2.844372281787836e-249,3.900772147243838e-245,251.52191,CD74,28.874624,2.4871450354007882e-183,3.410870701548641e-179,187.25932,CCL5,23.945787,1.0222909318960345e-126,1.4019697840022216e-122,62.260128,NKG7,20.800077,4.321025256797833e-96,5.925854037172548e-92,163.17091,LST1,19.88982,4.985426083333079e-88,6.837013330682984e-84,65.76756,HLA-DPA1,9.400656,5.422417410052873e-21,5.205738240689619e-17,71.52768,PF4,6.228046,4.722885531370455e-10,7.725968615950534e-07,244.83368
1,LDHB,31.852373,1.2204131778895502e-222,8.368373160788645e-219,14.364327,S100A9,33.51778,2.654879511419164e-246,1.8204508809801205e-242,191.71706,CD79A,27.834099,1.6779479806941797e-170,1.150568930361999e-166,34.850376,NKG7,21.940832,1.0594654343351978e-106,7.26475448323645e-103,53.51741,GNLY,19.893412,4.6407318191711245e-88,2.3808793707902113e-84,154.5414,FCER1G,19.48573,1.4510021665176372e-84,9.949521855811437e-81,49.63931,HLA-DPB1,9.365183,7.591859764750793e-21,5.205738240689619e-17,96.44022,GNG11,6.2276807,4.733899413238275e-10,7.725968615950534e-07,154.84598
2,RPS25,30.398174,5.806680518789908e-203,1.592656332693696e-199,33.467358,S100A8,32.92802,8.731315153388848e-238,3.9913752004524886e-234,113.062645,HLA-DRA,27.53371,6.93511118202102e-167,3.170270491674542e-163,119.56878,CST7,19.372932,1.3060063955864485e-83,5.9701905696908514e-80,14.010746,GZMB,19.887627,5.208282129481285e-88,2.3808793707902113e-84,68.69608,AIF1,19.295675,5.839647143402334e-83,2.669497364153987e-79,52.189617,HLA-DRA,9.059811,1.3067679399654167e-19,5.973671842895242e-16,153.43564,SDPR,6.2276807,4.733899413238275e-10,7.725968615950534e-07,123.84719
3,RPS27,29.46831,7.336530954053933e-191,1.4373312214842233e-187,60.200226,TYROBP,31.714521,9.799313973575738e-221,3.3596947958404414e-217,65.28008,CD79B,26.463242,2.5691351201918606e-154,8.808279759577793e-151,26.468523,B2M,18.796324,8.093619141823573e-79,2.7748973227742117e-75,156.7503,CTSW,19.729544,1.2025135068662545e-86,4.122817558290954e-83,31.623579,COTL1,19.136147,1.2627143733145148e-81,4.329216228908814e-78,52.53849,HLA-DRB1,9.020924,1.8651042174813593e-19,6.39450980963484e-16,68.71749,PPBP,6.227316,4.744938361686981e-10,7.725968615950534e-07,673.90594
4,RPS6,29.210304,1.434758617900967e-187,2.4595349607367325e-184,73.343475,FTL,31.307611,3.6760348020296355e-215,1.0082628255006885e-211,428.1195,HLA-DPB1,25.924025,3.570126207970979e-148,9.792142163222803e-145,47.69133,GZMA,18.617273,2.3276910146930064e-77,6.384390915099978e-74,13.209754,PRF1,19.53961,5.0566391618904174e-85,1.3869349893233037e-81,37.44638,FCGR3A,18.58063,4.610697512546874e-77,1.2646221137413566e-73,29.788057,CD74,8.894787,5.853160620287338e-19,1.344489147662796e-15,183.67216,NRGN,6.2254906,4.800511051963354e-10,7.725968615950534e-07,45.09797
5,RPS3,29.12608,1.6785912358102232e-186,2.5578000231001555e-183,59.738583,FCN1,31.098637,2.5128897177473613e-212,5.743628264864552e-209,35.55755,MS4A1,25.273188,6.299036341936536e-141,1.4397497398886276e-137,18.927225,CTSW,17.56536,4.5381370802161615e-69,1.0372668653014073e-65,13.155991,GZMA,18.665909,9.37652982087891e-78,2.1431621660588897e-74,30.289099,FTH1,18.37183,2.2083650513102426e-75,5.047586385611445e-72,332.2631,HLA-DQA1,8.894236,5.88226256816157e-19,1.344489147662796e-15,33.982193,GPX1,6.220745,4.947989758718316e-10,7.725968615950534e-07,210.96417
6,RPS14,28.31401,2.323331741089164e-176,2.8965610452087997e-173,47.912865,CST3,30.988928,7.600150545480711e-211,1.4889780654388925e-207,72.33577,HLA-DQA1,25.263664,8.015931775242311e-141,1.5704355480810436e-137,21.927078,IL32,17.285368,6.063341685026582e-67,1.1878952552636362e-63,20.572962,CST7,18.619833,2.2190517412809833e-77,4.347439368561057e-74,32.522366,IFITM3,18.20193,4.98224281749457e-74,9.760925428445791e-71,22.602499,CST3,8.859975,8.003225558759849e-19,1.567946218754751e-15,101.744446,SPARC,6.220745,4.947989758718316e-10,7.725968615950534e-07,57.251842
7,RPL31,27.739231,2.35016908447003e-169,2.6858515687018327e-166,28.073187,S100A6,30.407425,4.3818055033325143e-203,7.511510084087762e-200,51.0182,CD37,24.385695,2.425691317137249e-131,4.1582413404025287e-128,33.419125,HLA-C,16.949736,1.933230134661097e-64,3.314039758342785e-61,39.42006,HLA-C,18.23418,2.7636091318890105e-74,4.737516954340736e-71,65.155495,SAT1,17.9887,2.388954937008037e-72,4.0952660007660273e-69,48.06654,FCER1A,8.552179,1.2078568209574999e-17,2.070568555326394e-14,25.145641,TPM4,6.2141747,5.159512646947618e-10,7.725968615950534e-07,49.19701
8,CD3D,27.48947,2.3460484280148703e-166,2.144913876119729e-163,10.9872265,FTH1,30.280243,2.0868604554913568e-201,2.8619204286608468e-198,266.03357,HLA-DRB1,24.356552,4.941026473824257e-131,7.529026340225095e-128,33.929295,GZMK,15.583601,9.410054737208579e-55,1.4338832296230937e-51,15.8640995,B2M,17.944027,5.343839697718154e-72,8.14282417938964e-69,245.89604,IFITM2,17.870337,2.0078086508669943e-71,3.0594542042211065e-68,38.290936,HLA-DRB5,8.462948,2.607031576071473e-17,3.9725367815826865e-14,28.439943,RGS18,6.2130795,5.195614032364577e-10,7.725968615950534e-07,34.422527
9,TPT1,27.367579,6.671789698168149e-165,5.718557745042375e-162,33.03121,LGALS2,30.22408,1.1434148614237297e-200,1.425526491778639e-197,26.99876,HLA-DQB1,24.306189,1.6861714073849571e-130,2.3124154680877303e-127,21.461756,HLA-A,15.513563,2.8085243981701646e-54,3.851610359650564e-51,27.58592,FGFBP2,17.858244,2.493615899688546e-71,3.4197448448328724e-68,35.779045,PSAP,17.662457,8.160992499054863e-70,1.119198511320384e-66,25.349628,HLA-DMA,7.962036,1.6923123930292695e-15,2.3208372158003404e-12,10.26614,CALM3,6.185337,6.196999764872093e-10,7.725968615950534e-07,40.398705
10,RPL3,27.341196,1.3743082841411805e-164,1.1086625769830676e-161,54.797905,LGALS1,29.789618,5.3246367081400946e-195,6.085172317952771e-192,46.826912,HLA-DPA1,23.71558,2.4904754879030597e-124,3.1049437128275056e-121,33.239525,CD3D,14.90244,3.1775763983713004e-50,3.9615711570240015e-47,11.767047,HLA-A,16.227732,3.2111005277789726e-59,3.38746404907391e-56,48.729023,FTL,17.477968,2.1088112238012257e-68,2.6291124657463645e-65,417.0406,HLA-DQB1,7.933944,2.122931638891062e-15,2.6467167723410934e-12,20.999472,RGS10,6.1112347,9.886322693278598e-10,9.992881560052564e-07,65.326195
11,RPL30,27.267689,1.0254084121518321e-163,7.812472757916792e-161,30.09336,GSTP1,28.443233,5.908828226167617e-178,6.233359253358669e-175,22.605999,HLA-DRB5,19.837755,1.4060033132517945e-87,1.377280674138222e-84,15.045234,PTPRCAP,13.489993,1.7911758797857005e-41,2.047015501281758e-38,12.4611025,CD247,15.632612,4.365339707582394e-55,4.2761620535560676e-52,18.353899,SERPINA1,17.15637,5.63261742088714e-66,6.437142942503854e-63,15.095769,HLA-DQA2,7.3119636,2.6326623947040697e-13,3.008694340080968e-10,9.861411,TAGLN2,6.068526,1.2908982105660859e-09,9.992881560052564e-07,76.93027
12,RPS27A,26.73689,1.7541518930940246e-157,1.2661283716784976e-154,45.389492,S100A4,28.353416,7.596244647653041e-177,7.441064221279557e-174,66.520935,TCL1A,18.304682,7.593477324714468e-75,6.508559251945888e-72,21.02996,LYAR,12.285511,1.0835785975881948e-34,1.143092068255731e-31,5.488948,FCGR3A,15.315544,6.020558186819507e-53,5.16037093587767e-50,15.6960125,CTSS,17.015965,6.253507522989086e-65,6.596969397713255e-62,31.8243,LSP1,7.217554,5.293099951994246e-13,5.184969481546363e-10,7.877727,MYL6,5.8907537,3.844385405560246e-09,2.1088760580741285e-06,74.32725
13,RPL32,26.729572,2.1337230322243838e-157,1.46309388319626e-154,51.37682,AIF1,28.154787,2.0939261117912637e-174,1.9144068464736928e-171,30.456263,RPL18A,17.357111,1.7427435939006776e-67,1.4058815086325819e-64,47.071827,HCST,12.150625,5.692838580844244e-34,5.57654202126414e-31,7.217712,SPON2,14.686876,7.823779391234917e-49,5.364765528569783e-46,16.992002,S100A11,16.973286,1.2947912318151893e-64,1.2683404966509646e-61,27.40557,LYZ,7.1857166,6.685548473257012e-13,6.112374117483112e-10,137.76099,OAZ1,5.8502345,4.908799997693448e-09,2.3213545920126877e-06,151.85445
14,RPS15A,26.68343,7.329741049337816e-157,4.786669940505658e-154,39.087852,TYMP,27.998096,1.7138252406074362e-172,1.4689624593556487e-169,20.825178,LINC00926,16.704102,1.223564521749082e-62,8.831559921719427e-60,13.7126665,CD8A,12.059499,1.7283202026913062e-33,1.5801455506472384e-30,7.0768204,HLA-B,14.676632,9.100009688537989e-49,5.942739660409999e-46,27.92623,OAZ1,16.850492,1.0404506119821507e-63,9.512493128482143e-61,42.938152,CLEC10A,7.0512075,1.7737148788797854e-12,1.520295365559836e-09,11.417195,GP9,5.7471123,9.07804721604925e-09,3.5570382720256976e-06,56.930393
15,RPLP2,26.646688,1.9550321030597726e-156,1.2186959209709874e-153,39.80354,OAZ1,27.815845,2.7903758938586468e-170,2.2510126475516166e-167,39.25782,HLA-DMA,16.568403,1.1791663206587082e-61,7.700517581673106e-59,10.642068,GZMM,12.014888,2.9677110730221414e-33,2.5436993534641027e-30,5.2436285,GZMM,14.4519825,2.4357393315574325e-47,1.452336051868636e-44,11.883078,CD68,16.242357,2.5301433818112463e-59,2.041081549303496e-56,10.565874,AP1S2,7.0250993,2.1391442126005644e-12,1.725660219506126e-09,8.513846,HIST1H2AC,5.7337885,9.82118103446561e-09,3.707430786241578e-06,90.46468
16,RPL9,26.613401,4.749814942072417e-156,2.8321287876339616e-153,33.70601,LST1,27.74065,2.2593587625191797e-169,1.7213803371771128e-166,25.18367,RPS23,15.119027,1.2132110397061936e-51,6.162213406863236e-49,29.376509,KLRG1,11.260769,2.049623816788919e-29,1.561585612413513e-26,5.5434246,CD7,13.934684,3.8992516479797877e-44,2.056705273092108e-41,13.846432,S100A4,16.07159,4.035973853277778e-58,2.9131234433606023e-55,71.08718,GRN,6.967484,3.2265964566742e-12,2.458307989268332e-09,6.5406723,CD9,5.7306857,1.0002547695124573e-08,3.707430786241578e-06,93.18675
17,EEF1A1,26.161285,7.332917871482754e-151,4.1901514870631036e-148,41.852,GPX1,27.706036,5.905784692400432e-169,4.262733224819975e-166,20.664698,RPS11,15.013538,5.986670802875959e-51,2.932185835380032e-48,17.468298,HLA-B,11.178078,5.220876017685383e-29,3.7683733529756494e-26,13.050437,CCL4,13.623933,2.885986390409687e-42,1.3647730123475327e-39,27.229471,CST3,15.8180065,2.337764254038463e-56,1.5266713799944513e-53,55.374397,GPX1,6.9206643,4.495300659587967e-12,3.2446606971362834e-09,12.694709,MYL12A,5.692722,1.2502986129337168e-08,4.2866487944432485e-06,80.53244
18,RPS18,26.068714,8.255116222859491e-150,4.528426555211803e-147,54.137783,CTSS,27.631172,4.69931915560597e-168,3.2223231449990135e-165,26.557102,RPS5,14.756845,2.7798164624563384e-49,1.270746765537541e-46,25.341969,MALAT1,10.821154,2.73315902949305e-27,1.8741271465233846e-24,145.55559,PLAC8,13.604451,3.767868729647957e-42,1.7224183919464027e-39,14.412786,TIMP1,15.765226,5.397836099835636e-56,3.3648147396884505e-53,16.834326,VIM,6.903369,5.078353456091121e-12,3.4822269648416817e-09,32.61867,CCL5,5.6826835,1.3259748137648543e-08,4.3296234752312406e-06,107.38331
19,RPS29,25.813002,6.336347777179907e-147,3.3421797467786634e-144,17.129217,SAT1,26.292082,2.3623515164070618e-152,1.4726040316366566e-149,29.856754,VPREB3,14.55383,5.522252008318506e-48,2.3666301263149996e-45,11.354374,PRF1,9.940341,2.7787534638109295e-23,1.6568619566392647e-20,3.789235,UBB,13.536716,9.493860245764478e-42,4.199961271303679e-39,16.092495,RP11-290F20.3,15.760527,5.8146426793516325e-56,3.46704390020123e-53,9.552482,GSTP1,6.846084,7.589888505363531e-12,4.956558617264546e-09,14.688932,ITM2B,5.577371,2.441808327271717e-08,6.351513867316113e-06,47.62824
20,RPL13,25.513336,1.402133400205891e-143,7.12179905571244e-141,72.48654,S100A11,26.116726,2.3543320357306176e-150,1.4037960668699864e-147,21.851728,HLA-DQA2,14.388606,6.1012988060624775e-47,2.535551873525479e-44,8.199208,CD99,9.78684,1.2824097648457274e-22,7.327903131289295e-20,4.7145414,SRGN,13.193479,9.56667992582103e-40,3.5458769865597186e-37,15.798166,CFD,15.662205,2.7422254453318815e-55,1.5669533232200592e-52,12.949234,CPVL,6.551618,5.691691703283171e-11,3.547993637219337e-08,6.116969,SH3BGRL3,5.5764585,2.45464660177741e-08,6.351513867316113e-06,113.235016
21,RPL27A,25.158482,1.1412958919927307e-139,5.397148918202865e-137,31.50991,COTL1,25.929667,3.083736103660633e-148,1.6916142770240768e-145,26.258589,HLA-DMB,13.895106,6.782266837245726e-44,2.7356472766467026e-41,7.4993315,LCK,9.776904,1.4147159754030714e-22,7.760565954671089e-20,3.873125,ITGB2,13.175006,1.2221845278295184e-39,4.410799635435267e-37,12.483484,CEBPB,15.597161,7.610340925478648e-55,4.174728618080568e-52,14.933642,HLA-DMB,6.389458,1.6647459910348504e-10,9.926228922196495e-08,4.867428,ACTB,5.394671,6.864926943982724e-08,1.448393970919678e-05,432.66562
