Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytoplasmic translation (GO:0002181)	2.427728e-29	9.191377e-26	0	0	1.236834e+01	8.149255e+02	EIF4A2;RPL5;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL21;RPS7;RPS5;RPS6;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPL18;RPL17;ZC3H15;RPL19;RWDD1;RPL41;RPL23A;RPS25;RPS28;RPS27;RPS29;EIF3I;RPL22L1;RPS21;RPL26L1;RPS24;RPS23
GO_Biological_Process_2021	protein targeting to ER (GO:0045047)	5.861507e-27	1.109583e-23	0	0	1.030025e+01	6.221494e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL21;RPS7;RPS5;RPS6;RPSA;RPL37A;CHMP4B;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPL18;RPL17;RPL19;RPL41;SGTA;RPL23A;RPS25;RPS28;SPCS2;RPS27;RPS29;SRPRB;RPS21;RPS24;RPS23
GO_Biological_Process_2021	cotranslational protein targeting to membrane (GO:0006613)	3.777580e-26	4.767306e-23	0	0	1.082689e+01	6.337861e+02	RPL5;RPL30;ARL6IP1;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;SEC62;RPL21;RPS7;RPS5;RPS6;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPL18;RPL17;RPL19;RPL41;RPL23A;RPS25;RPS28;RPS27;RPS29;RPS21;RPS24;RPS23
GO_Biological_Process_2021	SRP-dependent cotranslational protein targeting to membrane (GO:0006614)	6.018072e-25	5.696105e-22	0	0	1.062607e+01	5.926142e+02	RPL5;RPL30;RPL10;RPL31;RPL34;RPLP1;RPL12;RPL11;RPL10A;RPL8;RPL9;RPL7;RPS15;RPS15A;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL13;RPL38;RPL37;RPL15;RPS11;RPL18;RPL17;RPL19;RPL41;RPL21;RPS7;RPS5;RPS6;RPSA;RPL23A;RPS25;RPS28;RPS27;RPS29;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RPS21;RPS24;RPS23
GO_Biological_Process_2021	translation (GO:0006412)	9.513723e-25	7.203791e-22	0	0	5.756744e+00	3.184164e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL8;RPL10A;RPL9;RPL7;RPS15;EEF1B2;MRPL42;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RARS2;RPL21;RPS7;PABPC4;RPS5;RPS6;MRPS18A;MRPL47;RPSA;QRSL1;MRPL43;MRPL52;PPA1;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;MRRF;RPL10;RPL12;RPL11;SRBD1;MRPL16;RPS15A;RPL13;RPL15;RPL18;RPL17;ZC3H15;RPL19;ABCF1;PTCD3;RWDD1;RPL41;MRPL28;RPL23A;EEF2;AIMP1;RPS25;RPS28;RPS27;COPS5;RPS29;RPL22L1;RPS21;RPS24;RPL26L1;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay (GO:0000184)	3.673618e-24	2.318053e-21	0	0	8.372367e+00	4.517802e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;UPF2;RPL21;RPS7;NCBP1;RPS5;RPS6;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;RBM8A;RPL10;RPL12;RPL11;RPS15A;RPL13;RPL15;RPL18;RPL17;RPL19;RPL41;UPF3A;RPL23A;RPS25;RPS28;RPS27;RPS29;RNPS1;RPS21;RPS24;RPS23
GO_Biological_Process_2021	gene expression (GO:0010467)	1.096437e-21	5.930158e-19	0	0	3.798780e+00	1.833375e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL8;RPL10A;PWP1;RPL9;RPL7;RPS15;DUSP11;MRPL42;RBM4;HHEX;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RBM5;DDX17;UPF2;RPL21;RPS7;NCBP1;PABPC4;RPS5;RPS6;MRPS18A;RPSA;CDC40;MRPL43;WDR33;MRPL52;DDX39A;HNRNPH1;SARNP;XRN2;RPL37A;RPL24;RPL27;SRSF4;NUP54;RPL26;SRSF5;RPL29;MRRF;PTMA;SLU7;RPL10;RBM8A;RPL12;RPL11;SRBD1;U2AF1;TSPAN33;NXF1;RBM15B;RPS15A;POLR2C;RPL13;NUP88;POLR2G;RPL15;RPL18;RPL17;RPL19;ABCF1;RANBP2;RPL41;GALNT2;CPSF3;MRPL28;RPL23A;RPS25;RPS28;GOLPH3;TSPAN14;HNRNPK;RPS27;COPS5;RPS29;HNRNPA2B1;RNPS1;STUB1;RPS21;RPS24;RPS23
GO_Biological_Process_2021	peptide biosynthetic process (GO:0043043)	1.700283e-21	8.046588e-19	0	0	6.255761e+00	2.991724e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;MRPL42;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL21;RPS7;RPS5;PABPC4;RPS6;MRPS18A;RPSA;MRPL43;MRPL52;RPL37A;RPL24;RPL27;RPL26;RPL29;MRRF;RPL10;RPL12;RPL11;SRBD1;RPS15A;RPL13;RPL15;RPL18;RPL17;ABCF1;RPL19;RPL41;MRPL28;RPL23A;RPS25;RPS28;COPS5;RPS27;RPS29;RPS21;RPS24;RPS23
GO_Biological_Process_2021	nuclear-transcribed mRNA catabolic process (GO:0000956)	4.706956e-21	1.980059e-18	0	0	5.588243e+00	2.615591e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;UPF2;RPL21;RPS7;NCBP1;RPS5;RPS6;RPSA;CSDE1;XRN2;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;DCP2;DDX5;RBM8A;RPL10;RPL12;RPL11;ZFP36L1;EXOSC10;RPS15A;EXOSC8;RPL13;POLR2G;RPL15;RPL18;RPL17;RPL19;RPL41;UPF3A;RPL23A;RPS25;RPS28;RPS27;RPS29;RNPS1;RPS21;RPS24;RPS23
GO_Biological_Process_2021	rRNA metabolic process (GO:0016072)	1.767065e-18	6.690107e-16	0	0	5.331695e+00	2.179448e+02	RPL5;RPL30;RPL31;POP4;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL21;RPS7;RPS6;WDR74;XRN2;C1D;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;DDX27;RPL10;RPL12;RPL11;NOLC1;NOL8;RPF1;RRP7A;EXOSC10;EXOSC8;RPL13;RPL15;EXOSC3;RPL18;RPL17;DCAF13;RPL19;RPL41;NOP58;RPL23A;RPS25;RPS28;RPS27;NOL11;RPS24
GO_Biological_Process_2021	rRNA processing (GO:0006364)	2.031940e-18	6.993568e-16	0	0	5.004302e+00	2.038629e+02	RPL5;RPL30;RPL31;POP4;RPL34;RPLP1;THUMPD1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL21;RPS7;RPS6;WDR74;NSA2;XRN2;C1D;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;DDX27;RPL10;RPL12;RPL11;NOLC1;NOL8;RPF1;RRP7A;EXOSC10;EXOSC8;RPL13;RPL15;EXOSC3;RPL18;RPL17;DCAF13;RPL19;RPL41;NOP58;RPL23A;RPS25;RSL1D1;RPS28;RPS27;NOL11;RPS24
GO_Biological_Process_2021	cellular protein metabolic process (GO:0044267)	1.834937e-16	5.789226e-14	0	0	3.352606e+00	1.214795e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;ARAF;UBE2L6;RPL8;RPL10A;RPL9;SPPL3;RPL7;RPS15;MRPL42;SERP1;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;CTSH;RPL38;RPL37;RPS11;RPL21;RIPK3;RPS7;RPS5;PABPC4;RPS6;MRPS18A;RPSA;MRPL43;MRPL52;RPL37A;RPL24;YME1L1;RPL27;RPL26;RPL29;UBA52;MRRF;PIGH;RPL10;RPL12;RPL11;SRBD1;HTRA2;PARL;TGOLN2;RPS15A;ST8SIA4;RPL13;LTA4H;RPL15;RPL18;RPL17;SEC11A;RPL19;ABCF1;RPL41;UBE2I;SIAH2;CCDC59;MRPL28;WWP2;RPL23A;UBE2G1;MSRA;RPS25;RPS28;SPCS2;IL6;COPS5;RPS27;RPS29;RPS21;RPS24;RPS23
GO_Biological_Process_2021	ribosome biogenesis (GO:0042254)	2.006178e-16	5.842608e-14	0	0	4.388634e+00	1.586277e+02	RPL5;RPL30;RPL31;POP4;RPL34;RPLP1;RPL10A;RPL8;RPL9;RPL7;RPS15;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL21;RPS7;RPS6;WDR74;XRN2;C1D;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;DDX27;RPL10;RPL12;RPL11;NOLC1;NOL8;SDAD1;RPF1;RRP7A;EXOSC10;EXOSC8;RPL13;RPL15;EXOSC3;RPL18;RPL17;DCAF13;RPL19;RPL41;NOP58;RPL23A;RPS25;RPS28;RPS27;NOL11;RPS24;RAN;RPL26L1
GO_Biological_Process_2021	ncRNA processing (GO:0034470)	3.409418e-15	9.220040e-13	0	0	4.107217e+00	1.368206e+02	RPL5;RPL30;RPL31;POP4;RPL34;RPLP1;RPL8;RPL10A;RPL9;RPL7;RPS15;RPL18A;RPS19;RPL36;RPL35;RPLP2;RPL38;RPL37;RPL21;RPS7;RPS6;WDR74;XRN2;C1D;RPL37A;RPL24;RPL27;RPL26;RPL29;UBA52;DDX27;RPL10;RPL12;RPL11;NOLC1;NOL8;RPF1;RRP7A;EXOSC10;EXOSC8;RPL13;RPL15;EXOSC3;RPL18;RPL17;DCAF13;RPL19;RPL41;NOP58;RPL23A;RPS25;RPS28;RPS27;HNRNPA2B1;INTS6;NOL11;RPS24
GO_Biological_Process_2021	cellular macromolecule biosynthetic process (GO:0034645)	2.708619e-14	6.836554e-12	0	0	3.217963e+00	1.005284e+02	RPL5;RPL30;RPL31;RPL34;RPLP1;RPL8;RPL10A;PWP1;RPL9;RPL7;RPS15;EEF1B2;MRPL42;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;TIPIN;RPL21;RPS7;PABPC4;RPS5;RPS6;MRPS18A;RPSA;MRPL43;MRPL52;RPL37A;RPL24;RPL27;MCM5;RPL26;RPL29;MRRF;PTMA;BLM;RPL10;RPL12;RPL11;SRBD1;RPS15A;POLR2C;RPL13;POLR2G;RPL15;RPL18;RPL17;RPL19;ABCF1;RPL41;TREX1;MRPL28;RPA2;NAP1L1;RPL23A;EEF2;RPS25;RPS28;GOLPH3;RPS27;COPS5;RPS29;RNPS1;RPS21;RPS24;RPS23;RAD9A
GO_Biological_Process_2021	B cell activation (GO:0042113)	1.372241e-08	3.247064e-06	0	0	5.575200e+00	1.009347e+02	FCRL1;TPD52;CD40;MEF2C;ITGA4;PRKCB;HDAC9;RASGRP1;MALT1;LAT2;CD79B;LYL1;CD79A;HHEX;KLF6;BANK1;GPR183;BLNK;BTK;DNAJB9;MS4A1;CD22
