Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Cellular_Component_2021	intracellular membrane-bounded organelle (GO:0043231)	2.163959e-11	6.469984e-09	0	0	1.498193e+00	3.679038e+01	RPL4;ITSN2;VPS29;RPL30;CHIC2;RPL3;TFRC;EHMT1;HNRNPR;ENO1;RPL6;RPL7;DCAF6;PSMD8;HENMT1;PSMD3;CREB3L2;IER2;TSPYL2;WDR74;SND1;HCFC1;EID1;RNF126;DDIT3;RPL27;UBA52;RHNO1;ATF4;SLBP;LRPAP1;URI1;SET;PRKDC;IQGAP1;AKAP17A;RPS4Y1;MTDH;LDHA;PRDX5;NTHL1;PTPMT1;LTA4H;S100A11;BTF3;NAA50;CDK17;ARL14EP;F8A1;CREBBP;TIPARP;NFATC3;TMEM192;PA2G4;NR1D1;PBX4;MAGOHB;EIF1;CS;HNRNPM;PPP5C;HNRNPK;EHD4;HNRNPC;SETD4;DENND1B;GMEB2;RPLP0;CLTB;ASH2L;ZNF44;ECSIT;OSBPL11;UBL5;TUBA1C;MED13;TUBA1A;TMSB4X;TSPO;AP3S2;AP3S1;JARID2;JAK1;APPL1;DUSP2;ANXA1;ANXA2;FOS;TERF2;GNL3;ITPKB;NCOR1;PPARA;VAMP2;RPL10;ZNF518B;WDR24;TMEM165;PSMB6;GGA1;PSMB2;PSMB3;PSMB1;UBN1;RPS3;AP2S1;USP1;SPOP;RPL13;FLNA;ANKRD54;BRD9;RPS2;RPS27A;RPL17;NKTR;ZNF101;PCGF5;MGMT;USP9X;CDKN2A;MCRS1;RRP1B;DEF6;GATAD2A;NUDT21;PSMC5;PSMC3;SNX17;RFWD3;SERBP1;GID8;PKN2;LAMTOR4;UBE2D2;UBE2D3;PDCD5;RORA;MSI2;MPC2;RUVBL2;CFL1;PAPOLA;ZNF207;PIM1;KPNA6;CLCC1;TXNL4A;MAP3K7;TLE4;MAP2K1;MAP2K2;RPS8;RPS6;UBE2E1;RPSA;VRK1;TC2N;ILF2;THOC7;CDC25B;MAF;S100A6;SNRPG;S100A4;STAMBP;SNRPF;SQSTM1;KPNB1;ZNF792;ARL2;PHB;CORO1A;HSP90B1;ATXN3;BAG5;SMYD4;MCL1;OSBPL8;AKIRIN2;TOR1A;FUS;ZBTB16;OSBPL2;NSG1;FBXO32;HOPX;NSFL1C;PTPRE;BCL9;LSM7;STK24;MAFG;MDM2;OGT;NFE2L2;RNF14;PTEN;ZC3H8;SYNE1;TNFSF13B;SUMO1;SIN3A;SUMO2;UBTF;TRIM69;LBR;METTL18;ILKAP;ACTR3;EIF5B;HSP90AA1;RFC2;ATRX;RPL13A;VPS37A;PLRG1;REXO4;TSN;ARL4C;METTL23;PTP4A2;PPM1A;ZNF639;TMBIM1;TMBIM6;BIRC6;MCM5;SLC25A5;GAPDH;CRK;SMARCD1;PRKAA1;MGRN1;VPS4B;CXXC5;PPM1G;MLLT6;DNAJB1;IFI16;SH3BP1;U2AF2;POLR2B;VPS53;POLR2F;HNRNPA1;POLR2I;POLR2K;POLR2L;CYB5B;CYB5A;DUT;RNGTT;GPKOW;GZMA;MAP1LC3B2;GZMH;PFKM;TPT1;CCNI;CCNH;SLC35B1;UBE2L6;PWP1;ACTB;CCAR2;NUDT3;TIAL1;MT2A;RPL36AL;BSG;KAT8;FBXO7;RPS12;ABT1;SP110;IFRD2;IFRD1;THAP2;JMJD6;SRRM1;NEIL2;THAP7;ZNF836;SUB1;HECA;KDELR2;PFN1;ANKRA2;CCDC82;CES2;LLGL2;MT1E;BEX2;TEX264;SP140;MGST3;PEX11B;TXN;HTATSF1;GMCL1;FXR1;ZNHIT1;PCBP1;DHX38;SNX5;TRMT1L;DECR1;XRCC6;APOBEC3G;GADD45B;CRADD;XRCC5;BCL11A;MICAL2;MANF;RPS27;ID2;ID1;ZNF813;INTS5;CALR;CALM1;CALM2;RPS24;INTS12;TENM1;CITED2;TECR;NKAP;RSF1;MIA3;WASL;COIL;SYNCRIP;HINT1;C1QBP;MLX;CLIC1;HTATIP2;PRMT2;PRMT1;TUBB;PABPC4;NCOA3;TUBG2;COMMD1;COMMD4;RHOA;SUPT3H;MLF1;MLF2;RAD51B;SLTM;HNRNPH1;HNRNPH2;ALDOA;SATB1;AKAP8;PURA;TCEAL3;EXOSC9;METTL5;SCAND1;EPS15;RAE1;TSNAX;SVIL;NPM1;RANBP3;GCH1;GBF1;XPO7;KRT10;BATF;STK17A;CCNG1;CTNNB1;CRTC3;UBXN2A;HDLBP;NUCKS1;EEF1B2;DOCK10;CWC22;G6PD;PCID2;BORA;TRAPPC2L;ADAM10;WBP11;DPM1;DOK1;SLFN11;CMPK1;PPIH;PPIB;PPIA;ATP6V1A;DDX5;TMED10;PSMD11;UBA5;ZFP36L2;UBB;DEAF1;UBC;SMAD2;PRNP;CPSF4;TGFB1;UBE2I;CPSF6;HSPA5;MLKL;NONO;ASPSCR1;CHCHD10;USB1;CLK3;NFKBIA;DIAPH1;EIF2S3;TCF3;SERGEF;DDX3X;DDX46;CHD8;HMGB2;DPY30;ADAR;RBM4;MYBL1;TTC37;RBM14;SUN1;GLRX3;NCBP1;PPP2R5A;ABHD14B;RPS3A;TRNAU1AP;EPN1;DDX19A;SFPQ;LMBRD1;IRF3;RABEP2;IRF1;MYH9;PFDN2;USP40;ZMYND11;OTUB1;KDM3A;POLDIP2;RGS14;NAA20;DCTN1;POMP;TGFBRAP1;WIZ;RNF4;TOB2;TOB1;ADD1;TFPT;TRA2B;RALY;KLRG1;NAA10;MX2;DTNBP1;DDX31;REST;KANSL1;ERCC4;KATNBL1;PITHD1;BAX;SSBP1;RAN;SSBP4;NUP37;FAM50A
GO_Cellular_Component_2021	cytosolic large ribosomal subunit (GO:0022625)	3.645061e-11	6.469984e-09	0	0	7.565625e+00	1.818403e+02	RPL4;RPL30;RPL3;RPL10;RPL31;RPL34;RPLP1;RPLP0;RPL13A;RPL8;RPL6;RPL7;RPL18A;RPL36AL;RPL27A;RPL36;RPL14;RPL13;RPL27;RPL26;RPL28;RPL17;RSL24D1;RPL19
GO_Cellular_Component_2021	focal adhesion (GO:0005925)	1.057802e-10	1.251732e-08	0	0	2.661204e+00	6.112695e+01	RPL4;RPL30;RPL3;RPL31;CD81;YWHAB;ARPC1B;RPLP1;RPLP0;ARPC5L;SLA;ILK;RPL8;RPL6;ACTB;DCAF6;RPL7;TNFSF13B;RPS4X;RPS16;MPRIP;YWHAQ;CFL1;BSG;FLOT1;B2M;JAK1;ACTR3;CAP1;MAP2K1;ANXA1;MAP2K2;RPS8;RRAS2;RPL13A;ADAM10;IL16;RPS3A;RHOA;MYH9;RPL27;LCP1;PFN1;PPIB;MAPRE2;PPIA;CD44;FBLN7;ARL2;IQGAP1;ADD1;HSP90B1;CNN2;RPS3;FLNA;RSU1;RPS2;RPL19;ARL14EP;SVIL;NPM1;YES1;HSPA5;HNRNPK;PTPRC;CTNNB1;P4HB;CALR;LIMS2
GO_Cellular_Component_2021	cell-substrate junction (GO:0030055)	1.925327e-10	1.682456e-08	0	0	2.616891e+00	5.854182e+01	RPL4;RPL30;RPL3;RPL31;CD81;YWHAB;ARPC1B;RPLP1;RPLP0;ARPC5L;SLA;ILK;RPL8;RPL6;ACTB;DCAF6;RPL7;TNFSF13B;RPS4X;RPS16;MPRIP;YWHAQ;CFL1;BSG;FLOT1;B2M;JAK1;ACTR3;CAP1;MAP2K1;ANXA1;MAP2K2;RPS8;RRAS2;RPL13A;ADAM10;IL16;RPS3A;RHOA;MYH9;RPL27;LCP1;PFN1;PPIB;MAPRE2;PPIA;CD44;FBLN7;ARL2;IQGAP1;ADD1;HSP90B1;CNN2;RPS3;FLNA;RSU1;RPS2;RPL19;ARL14EP;SVIL;NPM1;YES1;HSPA5;HNRNPK;PTPRC;CTNNB1;P4HB;CALR;LIMS2
GO_Cellular_Component_2021	large ribosomal subunit (GO:0015934)	2.369656e-10	1.682456e-08	0	0	6.646420e+00	1.473053e+02	RPL4;RPL30;RPL3;RPL10;RPL31;RPL34;RPLP1;RPLP0;RPL13A;RPL8;RPL6;RPL7;RPL18A;RPL36AL;RPL27A;RPL36;RPL14;RPL13;RPL27;RPL26;RPL28;RPL17;RSL24D1;RPL19
GO_Cellular_Component_2021	nucleus (GO:0005634)	6.470027e-10	3.828099e-08	0	0	1.472467e+00	3.115545e+01	RPL4;RPL30;RPL3;EHMT1;HNRNPR;ENO1;RPL6;RPL7;DCAF6;PSMD8;HENMT1;PSMD3;CREB3L2;IER2;TSPYL2;WDR74;SND1;HCFC1;EID1;RNF126;DDIT3;RPL27;UBA52;RHNO1;ATF4;SLBP;URI1;SET;PRKDC;IQGAP1;AKAP17A;RPS4Y1;MTDH;LDHA;PRDX5;NTHL1;PTPMT1;LTA4H;S100A11;BTF3;NAA50;CDK17;F8A1;CREBBP;TIPARP;NFATC3;TMEM192;PA2G4;NR1D1;PBX4;MAGOHB;EIF1;CS;HNRNPM;PPP5C;HNRNPK;EHD4;HNRNPC;SETD4;GMEB2;RPLP0;ASH2L;ZNF44;ECSIT;UBL5;TUBA1C;MED13;TUBA1A;TMSB4X;JARID2;JAK1;APPL1;DUSP2;ANXA1;ANXA2;FOS;TERF2;GNL3;ITPKB;NCOR1;PPARA;RPL10;ZNF518B;PSMB6;PSMB2;PSMB3;PSMB1;UBN1;RPS3;USP1;SPOP;RPL13;FLNA;ANKRD54;BRD9;RPS2;RPS27A;RPL17;NKTR;ZNF101;PCGF5;MGMT;USP9X;CDKN2A;MCRS1;RRP1B;DEF6;GATAD2A;NUDT21;PSMC5;PSMC3;RFWD3;SERBP1;GID8;PKN2;UBE2D2;UBE2D3;PDCD5;RORA;MPC2;RUVBL2;CFL1;PAPOLA;ZNF207;PIM1;KPNA6;TXNL4A;MAP3K7;TLE4;MAP2K1;MAP2K2;RPS8;RPS6;UBE2E1;RPSA;VRK1;TC2N;ILF2;THOC7;CDC25B;MAF;S100A6;SNRPG;S100A4;STAMBP;SNRPF;KPNB1;ZNF792;ARL2;PHB;CORO1A;HSP90B1;ATXN3;BAG5;SMYD4;MCL1;AKIRIN2;FUS;ZBTB16;NSG1;FBXO32;HOPX;NSFL1C;PTPRE;LSM7;STK24;MAFG;MDM2;OGT;NFE2L2;RNF14;PTEN;ZC3H8;SYNE1;SUMO1;SIN3A;SUMO2;UBTF;TRIM69;LBR;METTL18;ILKAP;ACTR3;EIF5B;HSP90AA1;RFC2;ATRX;RPL13A;PLRG1;REXO4;TSN;ARL4C;METTL23;PTP4A2;PPM1A;ZNF639;TMBIM6;BIRC6;MCM5;SLC25A5;GAPDH;CRK;SMARCD1;PRKAA1;MGRN1;VPS4B;CXXC5;PPM1G;MLLT6;DNAJB1;IFI16;SH3BP1;U2AF2;POLR2B;POLR2F;HNRNPA1;POLR2I;POLR2K;POLR2L;DUT;RNGTT;GPKOW;GZMA;PFKM;TPT1;CCNI;CCNH;UBE2L6;PWP1;ACTB;CCAR2;NUDT3;TIAL1;MT2A;RPL36AL;KAT8;FBXO7;ABT1;SP110;IFRD2;IFRD1;THAP2;JMJD6;SRRM1;THAP7;ZNF836;SUB1;HECA;PFN1;ANKRA2;CCDC82;MT1E;BEX2;TEX264;SP140;TXN;HTATSF1;GMCL1;FXR1;ZNHIT1;PCBP1;DHX38;TRMT1L;DECR1;XRCC6;APOBEC3G;GADD45B;CRADD;XRCC5;BCL11A;MICAL2;MANF;RPS27;ID2;ID1;ZNF813;INTS5;CALR;CALM1;CALM2;RPS24;INTS12;TENM1;CITED2;TECR;NKAP;RSF1;WASL;COIL;SYNCRIP;HINT1;C1QBP;MLX;CLIC1;HTATIP2;PRMT2;PRMT1;TUBB;PABPC4;NCOA3;TUBG2;COMMD1;SUPT3H;MLF1;MLF2;RAD51B;SLTM;HNRNPH1;HNRNPH2;ALDOA;SATB1;AKAP8;PURA;TCEAL3;EXOSC9;METTL5;SCAND1;RAE1;TSNAX;SVIL;NPM1;RANBP3;GCH1;XPO7;KRT10;BATF;STK17A;CCNG1;CTNNB1;CRTC3;NARF;UBXN2A;HDLBP;NUCKS1;EEF1B2;DOCK10;CWC22;PCID2;BORA;TRAPPC2L;ADAM10;WBP11;DPM1;DOK1;SLFN11;CMPK1;PPIB;PPIA;DDX5;PSMD11;ZFP36L2;UBB;DEAF1;UBC;SMAD2;PRNP;TGFB1;UBE2I;CPSF6;HSPA5;MLKL;NONO;CHCHD10;USB1;CLK3;NFKBIA;DIAPH1;EIF2S3;TCF3;SERGEF;DDX3X;DDX46;CHD8;HMGB2;DPY30;ADAR;RBM4;MYBL1;TTC37;RBM14;GLRX3;NCBP1;PPP2R5A;ABHD14B;RPS3A;TRNAU1AP;DDX19A;SFPQ;IRF3;IRF1;MYH9;PFDN2;USP40;ZMYND11;OTUB1;KDM3A;POLDIP2;RGS14;NAA20;DCTN1;POMP;WIZ;RNF4;TOB2;TOB1;ADD1;TFPT;TRA2B;RALY;NAA10;MX2;DTNBP1;DDX31;REST;KANSL1;ERCC4;KATNBL1;PITHD1;BAX;SSBP1;RAN;SSBP4;NUP37;FAM50A
GO_Cellular_Component_2021	mitochondrial membrane (GO:0031966)	1.790710e-09	9.081456e-08	0	0	2.325155e+00	4.683013e+01	MRPS16;NDUFA11;MRPS14;CISD1;MRPS10;MRPL36;ECSIT;MRPL34;COX6A1;MRPL32;MRPL41;MRPL3;MTG2;TIMM17A;TSPO;PMPCB;MPV17;MRPL9;TMEM14C;STARD7;VPS13A;MRPS5;HADHA;SMDT1;MRPL51;IFI27;NDUFS6;YME1L1;TMBIM6;UQCRC2;SLC25A5;UBA52;DAP3;STOML2;NDUFB7;TOMM40;MTFP1;NDUFB10;NDUFB5;NDUFB3;TIMM13;MRPL14;PHB;UQCR10;MFF;MRPL55;HSPD1;PGS1;LDHB;MRPL20;ATXN3;CYB5R3;RHOT1;UBB;UBC;RPS3;RPS27A;NDUFV2;NDUFV1;MCL1;CYB5B;CYB5A;NDUFA6;NDUFA5;NDUFA4;BAD;MX2;MRPL28;IMMT;COX6C;CRLS1;UQCRQ;NDUFAF4;TOMM7;BAX;SLC25A33;TOMM5
GO_Cellular_Component_2021	small ribosomal subunit (GO:0015935)	7.251913e-08	3.218036e-06	0	0	6.302405e+00	1.036079e+02	MRPS16;MRPS14;RPS8;RPS6;RPS3A;RPSA;RPS4Y1;RPS4X;RPS26;RPS16;RPS27;RPS3;RPS2;RPS27A;UBA52;RPS24;EIF2A;RPS12
GO_Cellular_Component_2021	organelle inner membrane (GO:0019866)	3.367886e-07	1.328444e-05	0	0	2.274487e+00	3.389852e+01	MRPS16;NDUFA11;MRPS14;MRPS10;MRPL36;ECSIT;MRPL34;COX6A1;MRPL32;MRPL41;MRPL3;MTG2;TIMM17A;PMPCB;MPV17;MRPL9;LBR;ARL6IP6;TMEM14C;MRPS5;HADHA;SMDT1;MRPL51;IFI27;NDUFS6;YME1L1;UQCRC2;SLC25A5;DAP3;STOML2;TOMM40;NDUFB7;NDUFB10;MTFP1;NDUFB5;NDUFB3;TIMM13;MRPL14;UQCR10;PHB;MRPL55;HSPD1;PGS1;LDHB;MRPL20;RPS3;NDUFV2;NDUFV1;NDUFA6;NDUFA5;NDUFA4;MRPL28;IMMT;COX6C;CRLS1;UQCRQ;NDUFAF4
GO_Cellular_Component_2021	cytosolic small ribosomal subunit (GO:0022627)	5.587428e-07	1.983537e-05	0	0	6.061009e+00	8.726384e+01	RPS8;RPS6;RPS3A;RPSA;RPS4Y1;RPS4X;RPS26;RPS16;RPS27;RPS3;RPS2;RPS27A;UBA52;RPS24;EIF2A;RPS12
