Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	4.720788e-06	3.488662e-03	0	0	2.194613e+00	2.691371e+01	ITGB1;PTPRJ;ENO1;F11R;CLINT1;CRKL;GOLGA2;MPRIP;CLIC1;EMD;TBC1D10A;TMPO;ACVR1;UNC45A;DBNL;IST1;TMOD3;EPS15L1;YWHAZ;PKM;CTTN;NUMB;RPL24;MYH9;TAGLN2;TLN1;ALDOA;PLEC;MACF1;ARHGAP18;ASAP1;PDLIM1;PUF60;PACSIN2;FLNA;SNX9;SPTBN1;VASP;RANBP1;PTPN1;PRDX6;RAB11B;RAB10;EIF5;VAPA;FXYD5;EIF4G2;PFKP;TJP2
GO_Molecular_Function_2021	actin binding (GO:0003779)	2.208370e-05	6.016636e-03	0	0	2.766001e+00	2.965339e+01	ITGB1;MACF1;FLII;HNRNPU;PDLIM1;TMSB4X;TMSB4Y;COTL1;TNNI2;TMSB10;EMD;PDLIM7;SNCA;DBNL;DMTN;GSN;TPM1;TNNC2;PARVB;SSH2;PTK2;MYH9;CORO7;FXYD5;P4HB;ALDOA;MSRB1
GO_Molecular_Function_2021	nucleoside-triphosphatase activity (GO:0017111)	2.940686e-05	6.016636e-03	0	0	2.204521e+00	2.300259e+01	GNAZ;VCP;RALB;CLU;RHOBTB1;EFTUD2;RAP1B;CDC42;GNA13;SMCHD1;GNA15;OPA1;RAC1;RAB6B;RAB8A;RAB2A;TOR3A;RAB4A;HSP90AA1;TOR1A;MX1;RAB27B;RHOC;GTPBP1;GNG11;GPN1;RHOA;RAB11A;RAB11B;DNM2;RAB32;MYL6;LSG1;KIF2A;RHEB;GNB1;GNAS;MYH9;GNB5;ARL8B
GO_Molecular_Function_2021	protein serine/threonine kinase inhibitor activity (GO:0030291)	3.256636e-05	6.016636e-03	0	0	6.968858e+00	7.200385e+01	CDKN2D;HEXIM1;HEXIM2;CDKN1A;PRKAR2B;CDKN2A;PRKAR1A;HSPB1;CIB1;PKIG
GO_Molecular_Function_2021	GTP binding (GO:0005525)	8.564051e-05	1.265767e-02	0	0	2.378757e+00	2.227790e+01	ARF3;ARF4;ARF1;RALB;RHOBTB1;RAP1B;CDC42;TUBA1C;TUBB6;TUBB1;RAC1;ARL5A;RAB8A;RAB2A;RAB4A;RAB27B;RHOC;TUBB4B;TUBA4A;RHOA;DNM2;RAB11B;RAB32;RAB10;LSG1;TUBB2A;RHEB;ARF5;ARL8B;TUBA8
GO_Molecular_Function_2021	serine-type endopeptidase inhibitor activity (GO:0004867)	1.707503e-04	1.713704e-02	0	0	7.238738e+00	6.279829e+01	APP;SERPINB1;SERPINA1;SERPINE2;SERPINE1;FURIN;SPINT2;SERPINB6
GO_Molecular_Function_2021	clathrin adaptor activity (GO:0035615)	1.790599e-04	1.713704e-02	0	0	9.043988e+00	7.802963e+01	DAB2;HIP1;AP1G2;AP2S1;AP2A1;LDLRAP1;AP2M1
GO_Molecular_Function_2021	GTPase activity (GO:0003924)	2.064932e-04	1.713704e-02	0	0	2.207702e+00	1.873289e+01	GNAZ;RALB;RHOBTB1;EFTUD2;RAP1B;CDC42;GNA13;GNA15;OPA1;RAC1;RAB6B;RAB8A;RAB2A;RAB4A;MX1;RAB27B;RHOC;GTPBP1;GNG11;GPN1;RHOA;RAB11A;RAB11B;DNM2;RAB32;LSG1;RHEB;GNB1;GNAS;GNB5;ARL8B
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	2.318950e-04	1.713704e-02	0	0	4.529779e+00	3.791075e+01	NDUFB9;NDUFA13;NDUFB7;NDUFA6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFS5;NDUFA2;NDUFB2
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	2.318950e-04	1.713704e-02	0	0	4.529779e+00	3.791075e+01	NDUFB9;NDUFA13;NDUFB7;NDUFA6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFS5;NDUFA2;NDUFB2
GO_Molecular_Function_2021	guanyl ribonucleotide binding (GO:0032561)	3.723213e-04	2.442285e-02	0	0	2.151879e+00	1.699070e+01	ARF3;ARF4;ARF1;RALB;RHOBTB1;RAP1B;CDC42;TUBA1C;TUBB6;TUBB1;RAC1;ARL5A;RAB8A;RAB2A;RAB4A;RAB27B;RHOC;TUBB4B;RHOA;TUBA4A;RAB11B;DNM2;RAB32;RAB10;LSG1;TUBB2A;RHEB;ARF5;ARL8B;TUBA8
