Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	6.103451e-24	2.554294e-20	0	0	3.376463e+00	1.804827e+02	IFITM1;IFITM2;CCL4L1;SLA;RORA;IFI35;SLA2;PSMD8;PSMD6;MT2A;PSMD7;IL18RAP;PSMD4;CFL1;PIM1;MAP3K8;B2M;SKP1;IFNAR2;HLA-B;HLA-C;ACTN4;HLA-A;MIF;HLA-F;HLA-E;CSNK2B;PSME1;PSME2;SQSTM1;PPIA;PSMD14;PSMD13;ADIPOR1;HSP90B1;RAP1B;SOCS2;IRAK1;UBB;IRAK2;INPP5D;UBC;IP6K2;HSPA9;HSPA8;TGFB1;MSN;ISG15;BST2;HNRNPF;UBE2N;XAF1;BCL2L1;ARF1;ITGAM;ITGB2;ILK;FASLG;TMSB4X;CASP1;JAK1;EIF5A;HSP90AA1;JAGN1;ANXA1;FCER1G;TNFRSF18;IRAK4;COMMD7;YWHAZ;TNFRSF1A;PSMA5;PSMA6;PSMA4;IFNG;IRF3;LCK;IRF1;TCP1;CANX;XCL2;IRF7;XCL1;LCP1;IRF9;SP100;CEBPD;IL2RG;SAMHD1;PSMA7;RELA;PSMB10;PSMB6;CDC42;PSMB7;PSMB2;PSMB3;CCL5;PSMB1;CCL4;STAT4;CCL3;PTK2B;STX4;CSK;FYN;NCAM1;IL12RB1;GBP2;IL32;IL10RA;PSMB8;PSMB9;BATF;POMC;PSMC3;PSMC4;IL2RB;HNRNPA2B1;PTPN6;P4HB
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	1.025298e-19	2.145436e-16	0	0	3.218107e+00	1.407090e+02	TMEM179B;GMFG;SRP14;STK10;PSMD6;PSMD7;LAMP1;TBC1D10C;CAPN1;OSTF1;GYG1;B2M;GOLGA7;NHLRC3;CD300A;HLA-B;HLA-C;CYBA;MIF;TYROBP;BIN2;RAB37;CSNK2B;PPIE;ADAM8;PPIA;KPNB1;KMT2E;RAB5C;PSMD14;PSMD13;IQGAP1;IQGAP2;PLAC8;RAP1B;SYNGR1;NEU1;SLC15A4;HMOX2;GSDMD;HSPA8;TRAPPC1;XRCC5;RAB27A;ARPC5;BST2;DIAPH1;PTPRC;SELL;ARHGAP9;ITGAM;SLC44A2;HEXB;ITGB2;LPCAT1;MAGT1;HMGB1;ITGAL;RAC1;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;DBNL;FCER1G;PGAM1;TUBB;ATP6AP2;RHOG;NDUFC2;RHOF;IRAK4;DYNLL1;DDOST;RHOA;PSMA5;VAMP8;FGR;VAMP7;TMBIM1;CD47;VAMP2;RAB7A;CD63;GSTP1;PRCP;PSMB7;PSMB1;ORMDL3;MAPK1;STOM;LAIR1;GSN;CMTM6;PDAP1;ERP44;PSMC3;VAPA;PTPN6;LAMTOR3;ACTR10
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	2.801531e-19	3.908136e-16	0	0	3.204750e+00	1.369036e+02	TMEM179B;GMFG;SRP14;STK10;PSMD6;PSMD7;LAMP1;TBC1D10C;CAPN1;OSTF1;GYG1;B2M;GOLGA7;NHLRC3;CD300A;HLA-B;HLA-C;CYBA;MIF;TYROBP;BIN2;RAB37;CSNK2B;PPIE;ADAM8;PPIA;KPNB1;RAB5C;PSMD14;PSMD13;IQGAP1;IQGAP2;PLAC8;RAP1B;SYNGR1;NEU1;SLC15A4;HMOX2;GSDMD;HSPA8;TRAPPC1;XRCC5;RAB27A;ARPC5;BST2;DIAPH1;PTPRC;SELL;ARHGAP9;ITGAM;SLC44A2;HEXB;ITGB2;LPCAT1;MAGT1;HMGB1;ITGAL;RAC1;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;DBNL;FCER1G;PGAM1;TUBB;ATP6AP2;RHOG;NDUFC2;RHOF;DYNLL1;DDOST;RHOA;PSMA5;VAMP8;FGR;VAMP7;TMBIM1;CD47;VAMP2;RAB7A;CD63;GSTP1;PRCP;PSMB7;PSMB1;ORMDL3;MAPK1;STOM;LAIR1;GSN;CMTM6;PDAP1;ERP44;PSMC3;VAPA;PTPN6;LAMTOR3;ACTR10
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	5.995535e-19	6.272829e-16	0	0	3.161807e+00	1.326634e+02	TMEM179B;GMFG;SRP14;STK10;PSMD6;PSMD7;LAMP1;TBC1D10C;CAPN1;OSTF1;GYG1;B2M;GOLGA7;NHLRC3;CD300A;HLA-B;HLA-C;CYBA;MIF;TYROBP;BIN2;RAB37;CSNK2B;PPIE;ADAM8;PPIA;KPNB1;RAB5C;PSMD14;PSMD13;IQGAP1;IQGAP2;PLAC8;RAP1B;SYNGR1;NEU1;SLC15A4;HMOX2;GSDMD;HSPA8;TRAPPC1;XRCC5;RAB27A;ARPC5;BST2;DIAPH1;PTPRC;SELL;ARHGAP9;ITGAM;SLC44A2;HEXB;ITGB2;LPCAT1;MAGT1;HMGB1;ITGAL;RAC1;CTSD;CTSC;CAP1;CD53;CCT2;SERPINB1;HSP90AA1;DBNL;FCER1G;PGAM1;TUBB;ATP6AP2;RHOG;NDUFC2;RHOF;DYNLL1;DDOST;RHOA;PSMA5;VAMP8;FGR;VAMP7;TMBIM1;CD47;VAMP2;RAB7A;CD63;GSTP1;PRCP;PSMB7;PSMB1;ORMDL3;MAPK1;STOM;LAIR1;GSN;CMTM6;PDAP1;ERP44;PSMC3;VAPA;PTPN6;LAMTOR3;ACTR10
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	3.613370e-17	3.024391e-14	0	0	9.486186e+00	3.591404e+02	PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;B2M;PDIA3;HLA-B;HLA-C;TAP1;CYBA;HLA-A;HLA-F;PSMB8;HLA-E;TAPBP;PSMB9;PSMA5;VAMP8;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2;CALR
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	7.167297e-17	4.999190e-14	0	0	8.713182e+00	3.239075e+02	PSMD14;PSMD13;PSMA7;PSMB10;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;PSMB2;PSMB3;PSMB1;B2M;PDIA3;FCER1G;HLA-B;HLA-C;TAP1;CYBA;HLA-A;HLA-F;PSMB8;HLA-E;TAPBP;PSMB9;PSMA5;VAMP8;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;PSME2;CALR
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	1.171934e-15	7.006489e-13	0	0	4.935695e+00	1.696898e+02	IFITM1;SPPL2A;ITGB2;ICAM2;ICAM3;SLA2;ITGAL;SPN;FCGR3A;CASP8;ITGB7;B2M;CD96;CD300A;HLA-B;HLA-C;HLA-A;HLA-F;HLA-E;FGR;NCR1;NCR3;TYROBP;IRF1;KLRF1;IRF7;HCST;KLRB1;SAMHD1;KIR2DL3;SLAMF7;LAIR2;SLAMF6;CSK;KLRC1;CD99;LAIR1;LYN;CD160;SH2D1A;SH2D1B;PILRB;KIR3DL1;KIR3DL2;CLEC2B;SELL;KLRD1;CD247;SIGLEC7
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	1.164472e-13	6.091642e-11	0	0	8.061013e+00	2.400677e+02	NDUFB9;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB2;COX6A1;COX5B;COX5A;UQCRFS1;NDUFV1;COX8A;NDUFA9;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;SDHC;SDHD;SDHA;NDUFS8;SDHAF2;NDUFAB1;NDUFS2;CYCS
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	1.953590e-13	9.084194e-11	0	0	7.823288e+00	2.289402e+02	NDUFB9;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB2;COX6A1;COX5B;COX5A;UQCRFS1;NDUFV1;COX8A;NDUFA9;NDUFA8;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;SDHC;SDHD;SDHA;NDUFS8;SDHAF2;NDUFAB1;NDUFS2;CYCS
GO_Biological_Process_2021	cellular response to interleukin-1 (GO:0071347)	2.545136e-13	1.065140e-10	0	0	4.910712e+00	1.424078e+02	PSMD14;CCL4L1;PSMD13;PSMA7;PSMB10;RELA;PSMD8;PSMB6;PSMB7;PSMD6;PSMD7;PSMD4;IRAK1;UBB;PSMB2;IRAK2;PSMB3;CCL5;UBC;CCL4;PSMB1;CCL3;MAP3K8;GBP2;SKP1;IRAK4;PSMB8;MAPK13;PSMB9;PSMA5;PSMA6;PSMA4;PSMC3;PSMC4;PSME1;UBE2N;XCL2;PSME2;XCL1;CD47;SQSTM1
