Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Molecular_Function_2021	RNA binding (GO:0003723)	5.553491e-12	4.203992e-09	0	0	1.828990e+00	4.740118e+01	TES;HNRNPU;ENO1;NUDT5;NOC2L;GPATCH8;UBE2L3;PNN;LGALS1;PSMD4;SNRPD1;MAGOH;ARL6IP4;SRRM2;ABT1;DDX17;MBNL1;IMP3;SCAF11;CIRBP;HLA-A;ACTN4;JMJD6;DDX39A;SUB1;UNC50;PFN1;ANP32A;RTF1;MRPL10;MTDH;HELZ2;MRPL20;LYAR;APOBEC3C;SRPK2;PRPF38A;APOBEC3G;XRCC5;APOBEC3H;MRPL28;UPF3B;MANF;BST2;HNRNPL;HNRNPM;HNRNPK;EIF5;HNRNPF;RNPS1;CALR;ARF1;MRPS11;MRPS12;CCDC124;CLTC;SRP54;AATF;ZCCHC17;TUBA1B;TMSB4X;SEC61B;LRRC47;PRPF40A;PPHLN1;SRP9;UCHL5;PSMA6;SLTM;TCP1;RPUSD3;FRG1;CANX;ARHGEF1;HNRNPH2;MAPRE1;SF3B4;FYTTD1;SF3B5;RPS27L;EXOSC9;PPP1R8;FLNA;SF3B1;RAE1;SRSF11;YTHDF2;MDH2;RSRC2;PHF5A;HNRNPA2B1;SERBP1;SRP19;ACAA2;PARK7;SRP14;BZW1;YY1;ZNF207;SNRNP35;KPNA2;PDIA3;CAST;ZBP1;PDIA4;SRSF2;SNRPG;SRSF3;PPIE;ERH;SRSF4;S100A4;PPIB;PPIA;SRSF7;FKBP3;KPNB1;SRSF9;SNRPB;DDX6;DDX5;RBM8A;RPS19BP1;PEF1;CORO1A;RTN4;HSP90B1;STIP1;UBC;BRIX1;HSPA9;FDPS;HSPA8;CHTOP;TIA1;CPSF6;LSM1;MSN;HELZ;EIF2S1;DIAPH1;SON;UBE2N;PIN4;NOP10;CELF2;HMGB1;ELAVL1;SYNE1;RBM3;SUMO1;SNRNP70;SUMO2;TNPO1;LBR;EIF5A;HSP90AA1;TRNAU1AP;SAFB;YWHAZ;DDX50;PATL2;DDX19B;SYF2;THRAP3;LUC7L3;MYH9;SLC25A11;HDAC2;SLC3A2;RRBP1;SAMHD1;HSD17B10;ADD1;TBRG4;IFI16;PUF60;TRA2A;EIF4H;SAP18;POLR2G;RALY;RBM39;HNRNPA3;TAF15;CNBP;PDAP1;CDC5L;DEK;SNRNP40;EIF3I;EIF3G;P4HB;RAN;EIF3A
GO_Molecular_Function_2021	oxidoreduction-driven active transmembrane transporter activity (GO:0015453)	1.308773e-11	4.953706e-09	0	0	8.127361e+00	2.036664e+02	COX8A;NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;COX6A1;COX5B;COX5A;CYB561D2;NDUFS8;UQCRFS1;NDUFS2;NDUFV1
GO_Molecular_Function_2021	NADH dehydrogenase (quinone) activity (GO:0050136)	2.140903e-10	4.051658e-08	0	0	1.093392e+01	2.434397e+02	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFS2;NDUFV1
GO_Molecular_Function_2021	NADH dehydrogenase (ubiquinone) activity (GO:0008137)	2.140903e-10	4.051658e-08	0	0	1.093392e+01	2.434397e+02	NDUFA9;NDUFB9;NDUFA8;NDUFB7;NDUFA6;NDUFB10;NDUFB6;NDUFA5;NDUFA12;NDUFA4;NDUFA3;NDUFA2;NDUFB2;NDUFA1;NDUFC2;NDUFS8;NDUFS2;NDUFV1
GO_Molecular_Function_2021	cadherin binding (GO:0045296)	8.845828e-07	1.339258e-04	0	0	2.310569e+00	3.220505e+01	TES;YWHAB;ENO1;PARK7;BZW1;PCMT1;LASP1;CAPZB;KIF5B;BSG;EFHD2;CLIC1;NCK1;CAST;SH3GLB1;LYPLA2;NUDC;ANXA1;DBNL;AHSA1;CSNK1D;YWHAZ;MYH9;TAGLN2;PFN1;MAPRE1;CHMP5;DDX6;SLC3A2;IQGAP1;RTN4;ADD1;PSMB6;LDHA;PUF60;EIF4H;FLNA;STX5;VASP;RANBP1;HSPA8;HSPA5;PPP1CA;EHD1;CCS;EIF5;HNRNPK;VAPA;ABI1;SERBP1;RAN
GO_Molecular_Function_2021	protein homodimerization activity (GO:0042803)	1.605460e-06	2.025555e-04	0	0	1.926280e+00	2.570062e+01	PDCD6;SPPL2A;PLEK;ENO1;PARK7;NUDT5;GIMAP7;ELAVL1;SYNE1;STK10;PSMD7;GLIPR2;CHMP1A;CYP2R1;BANF1;GYG1;B2M;SH3GLB1;GBP5;STARD3;HSP90AA1;G6PD;TPI1;PRMT2;STARD3NL;TAP1;ACTN4;TERF1;DCK;NRBP1;NAALADL1;TPST2;TYROBP;IRF3;DDIT3;XCL1;MYH9;CHMP4A;MVD;VPS25;PRPS1;GTF2A2;VPS4B;ZBTB1;RNF8;ADRB2;CST7;CORO1A;RELA;ADD1;IRAK1;PDCD10;PPCS;IRAK2;CCL5;FLNA;BAK1;MGAT2;GBP2;GBP4;SNX6;GADD45A;CARD8;ZBTB16;GZMA;SNF8;S100B;USF1;BST2;GNPTG;GRHPR;BHLHE40;BAX;STUB1;BCL2L1
GO_Molecular_Function_2021	ubiquitin protein ligase binding (GO:0031625)	4.284755e-06	4.633656e-04	0	0	2.269109e+00	2.804721e+01	ABCB1;DERL1;RNF8;UBE2L6;PRR5L;AUP1;UBE2J2;RELA;RTN4;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CASP8;UBB;SUMO1;CASP10;UBC;SUMO2;PRKACB;JAK1;HSPA9;CCT2;HSPA8;MOAP1;HSP90AA1;TPI1;HSPA5;XRCC5;PYHIN1;TUBB;MAP1LC3B2;RPA2;ISG15;YWHAZ;DNAJA1;SYT11;TCP1;UBE2N;TXNIP;NDUFS2;TMBIM6;STUB1;CALR;SQSTM1;OTUB1
GO_Molecular_Function_2021	ubiquitin-like protein ligase binding (GO:0044389)	1.072207e-05	1.014576e-03	0	0	2.155291e+00	2.466344e+01	ABCB1;DERL1;RNF8;UBE2L6;PRR5L;AUP1;UBE2J2;RELA;RTN4;UBE2L3;ACTG1;MAP1LC3B;TUBA1B;CASP8;UBB;SUMO1;CASP10;DDRGK1;UBC;SUMO2;PRKACB;JAK1;HSPA9;CCT2;HSPA8;MOAP1;HSP90AA1;TPI1;HSPA5;XRCC5;PYHIN1;TUBB;MAP1LC3B2;RPA2;ISG15;YWHAZ;DNAJA1;SYT11;TCP1;UBE2N;TXNIP;NDUFS2;TMBIM6;STUB1;CALR;SQSTM1;OTUB1
GO_Molecular_Function_2021	guanyl ribonucleotide binding (GO:0032561)	2.771878e-05	2.331457e-03	0	0	2.430367e+00	2.550281e+01	ARF1;RAB5C;SRP54;RHOBTB3;GIMAP7;RAB22A;RAP1B;CDC42;TUBA1B;ANXA6;RAC2;RAC1;GBP2;RAB8A;GBP4;RAB8B;RAB2A;GBP5;EIF2B2;TUBB;RHOG;RAB27A;RRAS2;RAB27B;RHOF;RHOC;RHOA;DNM2;ARL4C;DRG1;RAN;ARF6;RAB7A
GO_Molecular_Function_2021	GTP binding (GO:0005525)	3.397521e-05	2.571923e-03	0	0	2.481664e+00	2.553602e+01	ARF1;RHOBTB3;SRP54;GIMAP7;RAB22A;RAP1B;CDC42;TUBA1B;ANXA6;RAC2;RAC1;GBP2;RAB8A;GBP4;RAB2A;GBP5;EIF2B2;TUBB;RHOG;RAB27A;RRAS2;RAB27B;RHOF;RHOC;RHOA;DNM2;ARL4C;DRG1;RAN;ARF6;RAB7A
GO_Molecular_Function_2021	protein heterodimerization activity (GO:0046982)	6.036162e-05	3.577691e-03	0	0	2.527045e+00	2.455064e+01	GTF2A2;PEF1;HEXA;SUPT4H1;ZBTB1;KATNB1;SRI;ADD1;PPP2CA;TRMT112;IRAK1;PPP2R1A;IRAK2;KATNA1;ERBB2;BAK1;XBP1;GADD45A;CYBA;USF1;VAPA;DDIT3;BHLHE40;UBA2;BAX;P4HB;RAN;BCL2L1
GO_Molecular_Function_2021	non-membrane spanning protein tyrosine kinase activity (GO:0004715)	6.036727e-05	3.577691e-03	0	0	5.538194e+00	5.380391e+01	LYN;CLK1;FGR;ZAP70;LCK;TXK;MATK;SLA;PTK2B;CSK;FYN
GO_Molecular_Function_2021	calcium ion binding (GO:0005509)	6.143988e-05	3.577691e-03	0	0	2.282536e+00	2.213478e+01	CETN2;PDCD6;PRF1;CIB1;IQGAP1;AOAH;SRI;HSP90B1;ANXA6;EFHD2;IDS;SDF4;BNIP2;CAPN1;ANXA1;GSN;HSPA5;ANXA4;S100B;NAALADL1;RCN1;RCN2;SELL;SYT11;CANX;NDUFAB1;NUCB1;ADAM8;S100A4;CALR;ESYT1;LCP1;CALM1;CD320
