,CD4 T,CD14 Monocytes,B,CD8 T,NK,FCGR3A Monocytes,Dendritic,Megakaryocytes
0,RPS3,LYZ,CD74,NKG7,NKG7,FTL,CD74,PPBP
1,BRWD1,FTL,HLA-DRA,GZMK,GNLY,LST1,HLA-DRA,TMSB4X
2,VIM,S100A9,RPL18A,CCL5,PRF1,FTH1,LYZ,PF4
3,SELL,S100A8,CD37,S100A6,GZMB,PRELID1,CST3,GPX1
4,RPS25,LGALS2,CD79A,PFN1,FGFBP2,ACTB,HLA-DPA1,OAZ1
5,NUDT16L1,RPL32,FTL,TXNIP,B2M,RPLP2,HLA-DPB1,TMSB10
6,RPL22,LGALS1,CD79B,PTPRCAP,CTSW,RPL28,HLA-DRB1,SDPR
7,RPL21,MT-ND1,HLA-DPB1,CST7,HLA-C,HLA-B,GZMB,GNG11
8,RPS14,MT-ATP6,MS4A1,GZMA,RPL15,C1orf162,RPL10,HIST1H2AC
9,NEMF,MT-CO1,IGLL5,HLA-C,CST7,RPS19,UBB,FTH1
10,RPLP2,NEAT1,RPL12,HLA-E,RPL23A,RPL29,RPL19,CCL5
11,RBM39,RPL11,RPS27,COX6C,FCGR3A,COTL1,SRGN,MYL12A
12,SRP14,UBXN1,RPL21,CTSW,GZMA,SAT1,HLA-DQA1,FTL
13,MT-ND4,RPS24,RPS23,RPL13A,TYROBP,TYROBP,RPS18,TUBB1
14,RBM7,DUSP1,HLA-DPA1,RPSA,C14orf166,RPL24,S100A9,TSC22D1
15,TMSB10,FTH1,RPL10A,RPLP0,PHF14,FCGR3A,RPL12,C4orf3
16,UBXN4,RPS11,COX4I1,CCT2,TMX2,SRGN,ANXA1,GRAP2
17,ACTG1,CALM1,IGJ,UBB,SPON2,RPL23,ARAP1,CD74
18,NAP1L1,C4orf33,RPS19,TMEM222,DHRS7,ARPC1B,FCER1A,CLU
19,RPL38,IER2,RPL18,CDC42EP3,HLA-B,IFITM2,VIM,ACRBP
20,RPL30,HNRNPA1,EEF1B2,PCSK7,PSMA7,WARS,RPL6,TAGLN2
21,RPL7A,CFD,RPLP2,LRRFIP1,NDUFB11,S100A4,CEBPB,TUBA4A
22,RPL3,NPC2,RPS18,IL32,SRGN,MT-CYB,RPL11,NGFRAP1
