,CD4 T_names,CD4 T_scores,CD4 T_pvals,CD4 T_pvals_adj,CD4 T_logfoldchanges,CD14 Monocytes_names,CD14 Monocytes_scores,CD14 Monocytes_pvals,CD14 Monocytes_pvals_adj,CD14 Monocytes_logfoldchanges,B_names,B_scores,B_pvals,B_pvals_adj,B_logfoldchanges,CD8 T_names,CD8 T_scores,CD8 T_pvals,CD8 T_pvals_adj,CD8 T_logfoldchanges,NK_names,NK_scores,NK_pvals,NK_pvals_adj,NK_logfoldchanges,FCGR3A Monocytes_names,FCGR3A Monocytes_scores,FCGR3A Monocytes_pvals,FCGR3A Monocytes_pvals_adj,FCGR3A Monocytes_logfoldchanges,Dendritic_names,Dendritic_scores,Dendritic_pvals,Dendritic_pvals_adj,Dendritic_logfoldchanges,Megakaryocytes_names,Megakaryocytes_scores,Megakaryocytes_pvals,Megakaryocytes_pvals_adj,Megakaryocytes_logfoldchanges
0,RPS12,32.101803,4.160705340075446e-226,5.705991303379466e-222,66.53797,LYZ,33.72102,2.844372281787836e-249,3.900772147243838e-245,251.52191,CD74,28.874624,2.4871450354007882e-183,3.410870701548641e-179,187.25932,CCL5,23.888237,4.0586570506879946e-126,5.566042279313516e-122,62.517235,NKG7,20.475077,3.5917822184174805e-93,4.925770134337732e-89,162.91693,LST1,19.88982,4.985426083333079e-88,6.837013330682984e-84,65.76756,HLA-DPA1,9.400656,5.422417410052873e-21,5.205738240689619e-17,71.52768,PF4,6.228046,4.722885531370455e-10,7.725968615950534e-07,244.83368
1,LDHB,31.912489,1.7918559970246317e-223,1.2286756571597899e-219,14.372303,S100A9,33.51778,2.654879511419164e-246,1.8204508809801205e-242,191.71706,CD79A,27.834099,1.6779479806941797e-170,1.150568930361999e-166,34.850376,NKG7,22.33948,1.5281179295918946e-110,1.047830464321162e-106,56.216106,GZMB,19.819193,2.03341201656127e-87,1.394310619756063e-83,69.363556,FCER1G,19.48573,1.4510021665176372e-84,9.949521855811437e-81,49.63931,HLA-DPB1,9.365183,7.591859764750793e-21,5.205738240689619e-17,96.44022,SDPR,6.2276807,4.733899413238275e-10,7.725968615950534e-07,123.84719
2,RPS25,30.481012,4.65214269498636e-204,1.2759896983808589e-200,33.532898,S100A8,32.92802,8.731315153388848e-238,3.9913752004524886e-234,113.062645,HLA-DRA,27.53371,6.93511118202102e-167,3.170270491674542e-163,119.56878,CST7,19.607582,1.332168051048126e-85,6.089784217358001e-82,14.154277,GNLY,19.515356,8.130222973978885e-85,3.7165959288382143e-81,153.58507,AIF1,19.295675,5.839647143402334e-83,2.669497364153987e-79,52.189617,HLA-DRA,9.059811,1.3067679399654167e-19,5.973671842895242e-16,153.43564,GNG11,6.2276807,4.733899413238275e-10,7.725968615950534e-07,154.84598
3,RPS27,29.537737,9.43848249115887e-192,1.849133555482182e-188,60.31819,TYROBP,31.714521,9.799313973575738e-221,3.3596947958404414e-217,65.28008,CD79B,26.463242,2.5691351201918606e-154,8.808279759577793e-151,26.468523,B2M,18.79301,8.615107505994278e-79,2.953689608430138e-75,156.17372,CTSW,19.405422,6.944632424567953e-84,2.3809672267631224e-80,31.486052,COTL1,19.136147,1.2627143733145148e-81,4.329216228908814e-78,52.53849,HLA-DRB1,9.020924,1.8651042174813593e-19,6.39450980963484e-16,68.71749,PPBP,6.227316,4.744938361686981e-10,7.725968615950534e-07,673.90594
4,RPS6,29.241478,5.762771006182821e-188,9.878830197348901e-185,73.35481,FTL,31.307611,3.6760348020296355e-215,1.0082628255006885e-211,428.1195,HLA-DPB1,25.924025,3.570126207970979e-148,9.792142163222803e-145,47.69133,GZMA,18.764261,1.480430123480272e-78,4.06052374268169e-75,13.4220915,PRF1,19.361794,1.6214213679801614e-83,4.447234528095987e-80,38.177547,FCGR3A,18.58063,4.610697512546874e-77,1.2646221137413566e-73,29.788057,CD74,8.894787,5.853160620287338e-19,1.344489147662796e-15,183.67216,NRGN,6.2254906,4.800511051963354e-10,7.725968615950534e-07,45.09797
5,RPS3,29.070477,8.480839924961596e-186,1.2922915414547035e-182,59.586853,FCN1,31.098637,2.5128897177473613e-212,5.743628264864552e-209,35.55755,MS4A1,25.273188,6.299036341936536e-141,1.4397497398886276e-137,18.927225,CTSW,17.888065,1.4609290011993023e-71,3.339196720407872e-68,13.693723,CST7,18.588165,4.0064482883114815e-77,9.157405304317276e-74,33.167282,FTH1,18.37183,2.2083650513102426e-75,5.047586385611445e-72,332.2631,HLA-DQA1,8.894236,5.88226256816157e-19,1.344489147662796e-15,33.982193,SPARC,6.220745,4.947989758718316e-10,7.725968615950534e-07,57.251842
6,RPS14,28.296246,3.843833865043107e-176,4.792212511381925e-173,47.916897,CST3,30.988928,7.600150545480711e-211,1.4889780654388925e-207,72.33577,HLA-DQA1,25.263664,8.015931775242311e-141,1.5704355480810436e-137,21.927078,HLA-C,17.323547,3.1249138300920105e-67,6.12215260941169e-64,40.145046,GZMA,18.484804,2.7369251708186156e-76,5.3620273989437846e-73,30.581047,IFITM3,18.20193,4.98224281749457e-74,9.760925428445791e-71,22.602499,CST3,8.859975,8.003225558759849e-19,1.567946218754751e-15,101.744446,GPX1,6.220745,4.947989758718316e-10,7.725968615950534e-07,210.96417
7,RPL31,27.72248,3.7419081188158404e-169,3.947425226264649e-166,28.039175,S100A6,30.407425,4.3818055033325143e-203,7.511510084087762e-200,51.0182,CD37,24.385695,2.425691317137249e-131,4.1582413404025287e-128,33.419125,IL32,17.110048,1.2489767384838085e-65,2.141058373945869e-62,20.345724,HLA-C,18.012968,1.5413702316202285e-72,2.6422939195549766e-69,65.65504,SAT1,17.9887,2.388954937008037e-72,4.0952660007660273e-69,48.06654,FCER1A,8.552179,1.2078568209574999e-17,2.070568555326394e-14,25.145641,TPM4,6.2141747,5.159512646947618e-10,7.725968615950534e-07,49.19701
8,CD3D,27.593153,1.3444341100058876e-167,1.2291712923080496e-164,11.0610485,FTH1,30.280243,2.0868604554913568e-201,2.8619204286608468e-198,266.03357,HLA-DRB1,24.356552,4.941026473824257e-131,7.529026340225095e-128,33.929295,HLA-A,15.706938,1.355700787216923e-55,2.065786732876987e-52,27.897076,FGFBP2,17.919409,8.320723878346819e-72,1.2413708161793295e-68,36.68487,IFITM2,17.870337,2.0078086508669943e-71,3.0594542042211065e-68,38.290936,HLA-DRB5,8.462948,2.607031576071473e-17,3.9725367815826865e-14,28.439943,RGS18,6.2130795,5.195614032364577e-10,7.725968615950534e-07,34.422527
9,TPT1,27.42952,1.2196286185099098e-165,1.0453741796403064e-162,33.04687,LGALS2,30.22408,1.1434148614237297e-200,1.425526491778639e-197,26.99876,HLA-DQB1,24.306189,1.6861714073849571e-130,2.3124154680877303e-127,21.461756,GZMK,15.62441,4.964994868348068e-55,6.80899396245254e-52,15.902404,B2M,17.914722,9.051850781532226e-72,1.2413708161793295e-68,249.5384,PSAP,17.662457,8.160992499054863e-70,1.119198511320384e-66,25.349628,HLA-DMA,7.962036,1.6923123930292695e-15,2.3208372158003404e-12,10.26614,CALM3,6.185337,6.196999764872093e-10,7.725968615950534e-07,40.398705
